09年 7月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾗｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 2,Ｈシゲルオカメノカタ, 31,赤木高, 3.1, 29, -10, -35,12,420.0, ⑪⑪,12, 6, エｰシンアライアン,---,渡辺薫, 0.6, 39, -28,  -3, 9, 52.6, ⑨⑩,12, 4,Ｏフリｰジャズ, 53,小牧太, 1.3, 70,  -1,   7,13,102.9,⑬⑮⑮,12, 4,Ｉマルタｰズロビン, 76,赤木高, 2.3, 60,  -1,  -7,10, 46.6, ⑧⑨
,,,,,,,,,,,,13, 1, ラヴアズギフト,---,佐藤哲, 0.8, 36, -31,  -2,12, 72.0, ⑮⑮,13, 5,Ｎコンゴウテンリュオ, 56,熊沢重, 1.4, 64,   4, -12,10, 78.1,⑤⑤④,,,,,,,,,,,,
,,,,,,,,,,,,14, 8, ドリｰムセｰリング,---,福永祐, 1.0, 34, -31,  -4, 5, 13.0, ⑫⑬,14, 1,Ｍテイエムイタンジ, 56,幸英明, 1.5, 65,   2,  -8, 9, 48.1,⑦⑥⑦,,,,,,,,,,,,
,,,,,,,,,,,,15, 4, マイネルアクア,---,幸英明, 1.2, 34, -36,  -1,11, 71.1, ⑯⑯,15,10,Ｊサンジョバンニ, 58,藤岡康, 1.8, 64,   2,  -7,15,237.3,⑮⑪⑩,,,,,,,,,,,,
,,,,,,,,,,,,16,13, エｰシンテンモク,---,鮫島良, 1.9, 21, -28, -19,17,179.3, ⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,15, タイキエイワン,---,太宰啓, 3.5,  4, -40, -25,13, 74.5, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,
単勝:160円 複勝:10=110円 08=260円 07=120円 枠連:190円,,,,,,,,,,,,"単勝:390円 複勝:17=180円 12=1,940円 09=410円 枠連:1,270円",,,,,,,,,,,,"単勝:300円 複勝:03=120円 11=1,090円 06=110円 枠連:7,240円",,,,,,,,,,,,単勝:550円 複勝:08=170円 01=130円 03=310円 枠連:470円,,,,,,,,,,,
"馬連:1,190円 ワイド:08-10=360円 07-10=150円 07-08=530円",,,,,,,,,,,,"馬連:27,920円 ワイド:12-17=6,020円 09-17=1,170円 09-12=13,390円",,,,,,,,,,,,"馬連:13,020円 ワイド:03-11=1,950円 03-06=140円 06-11=1,870円",,,,,,,,,,,,"馬連:660円 ワイド:01-08=280円 03-08=1,080円 01-03=640円",,,,,,,,,,,
