09年 4月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 4月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1600m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,横浜ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａユングフラウヨシコ, 64,蛯名正,, 58,  -1,*  4, 1,  1.6, ⑩⑪, 1, 2, ウルスラグナ,---,岩田康,, 70,  11,  -2, 2,  6.5, ③④, 1,10,Ｌタイガｰマスク, 69,三浦皇,, 76,* 16,* -3, 2,  4.5, ①①, 1, 6,Ａマチカネニホンバレ, 92,北村宏,, 86,* 15,*  9, 1,  1.5, ②②
 2, 2,Ｃムｰンライトソング, 59,伊藤工, 0.0, 56,   0,*  3, 7, 28.5, ⑧⑨, 2, 7,Ａマルタｰズデライト, 72,武豊  , 0.0, 70,* 13,  -5, 1,  1.3, ①①, 2, 4,Ｃクラッカｰジャック, 75,松岡正, 0.5, 72,  14,  -4, 5,  9.2, ⑤⑤, 2, 8,Ｈクイックリｰプ, 84,柴田善, 0.3, 87,  14,*  7,10, 44.6, ④④
 3, 4,Ｄマルタｰズクリス, 57,武豊  , 0.2, 55,   3,  -6, 2,  5.1, ③③, 3,11, ワｰズワｰス,---,柴田善, 0.1, 70,* 13,  -6, 6, 32.4, ②②, 3,15,Ｄマルタｰズマゼル, 75,戸崎圭, 0.6, 74,  12,*  0, 7, 10.3, ⑧⑨, 3, 5,Ｅハｰドランナｰ, 85,戸崎圭, 0.4, 85,  14,*  7, 5, 19.5, ⑤⑥
 4,10,Ｈユメヒマワリ, 49,鮫島良, 0.7, 53,*  5, -12, 9, 51.5, ②②, 4, 4,Ｆコスモカサブランカ, 48,松岡正, 1.4, 58,  10, -14, 8, 67.4, ⑤⑤, 4,12,Ａファイトスピリッツ, 77,田辺裕, 0.8, 68,  14,  -7, 1,  4.1, ⑥⑥, 4, 4,Ｄダイイチミラクル, 85,柴田大, 0.5, 84,  14,   5,11,104.4, ③③
 5, 9,Ｆスｰパｰオアシス, 55,津村明, 0.8, 52,  -3,  -1,13,142.0, ⑬⑬, 5, 6,Ｂコスモナダル, 58,内田博, 1.6, 57,   9, -15, 3, 10.6, ⑦⑦, 5,13,Ｍサｰチリザルト, 68,岩田康, 0.8, 71,* 15,  -9,10, 28.5, ③③, 5, 1,Ｃワンダｰポデリオ, 88,内田博, 0.7, 85,  13,*  7, 2,  5.4, ⑨⑪
 6,13, ミラクルポケット,---,戸崎圭, 0.8, 53,  -3,*  0, 5, 17.3, ⑮⑭, 6, 5,Ｃカントリｰドｰタｰ, 55,小林淳, 1.6, 56,   7, -12, 7, 37.1, ⑧⑧, 6, 8,Ｅセクシｰザムライ, 74,横山典, 0.9, 69,  12,  -5, 9, 21.5, ⑨⑦, 6, 3,Ｎゼンノトレヴィ, 82,武士沢, 0.8, 81,* 16,   1,13,134.6, ①①
 7,12,Ｉキャッツテイル, 48,大庭和, 0.9, 50,   3, -10,12, 85.6, ⑤⑤, 7, 8, アクロスザボｰド,---,戸崎圭, 1.8, 53,  -8,*  7,10, 98.6, ⑬⑬, 7, 1,Ｊホウショウアマネ, 69,武豊  , 1.2, 68,  11,  -4, 4,  8.8, ⑩⑪, 7, 9,Ｆパピヨンシチｰ, 85,松岡正, 0.8, 83,  12,*  8, 4, 13.2, ⑭⑮
 8, 3,Ｂマスタｰギラティナ, 59,北村宏, 1.1, 48,*  5, -16, 3, 10.6, ①①, 8,12,Ｄストロングネオ, 54,北村宏, 2.4, 48,   6, -18, 9, 73.6, ⑪⑩, 8,11,Ｂコスモビｰスト, 75,蛯名正, 1.2, 68,  12,  -7, 8, 18.3, ⑪⑩, 8,16,Ｂノｰリプライ, 88,横山典, 1.2, 79,  13,   2, 3, 10.6, ⑩⑨
