09年10月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳴滝特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａコウユｰヒｰロｰ, 65,国分恭,, 67,* -3,*  4,10, 29.0,⑭②②, 1, 2, ロｰレルオｰラ,,出津孝,,,,, 7, 32.1,⑥③②, 1,13,Ａトｰセンモナｰク, 84,川田将,, 79,*  5,* 11, 1,  1.8,①①①, 1, 4,Ｂホッコｰビクトリｰ, 80,武豊  ,, 86,  -2,  19, 6, 10.8,②②②
 2, 4,Ｇマｰジｰビｰト, 54,酒井学, 0.8, 62,  -6,*  4, 2,  4.8,⑦⑩⑦, 2, 4, バトルハｰトオｰ,,中村将,194.2,,,, 1,  2.6,①①①, 2,12,Ｄアｰスワンハｰト, 73,小牧太, 1.0, 72,*  4,   4, 2,  5.1,③②②, 2, 1,Ｄジャミｰル, 78,安藤勝, 0.0, 90,  -4,* 23, 2,  2.8,④④④
 3,16,Ｉパキッシュ, 52,川島信, 1.2, 54,* -2,  -7, 3,  5.4,①①①, 3, 5, ユウフジ,,山本康,194.3,,,, 6, 20.7,⑤④③, 3, 7,Ｂガリアｰノ, 77,松山弘, 1.0, 71,*  5,   6, 3,  5.3,⑫⑤⑤, 3, 7,Ａトップカミング, 85,幸英明, 0.2, 85,  -2,  17, 1,  2.6,③③③
 4, 6,Ｈコイスキャｰレ, 53,小牧太, 1.3, 55,* -4,  -4, 5,  7.6,⑧④③, 4,10, ライブリシュロム,,仲田雅,196.2,,,, 3,  4.5,②②④, 4, 5,Ｃオｰスミマコ, 73,藤岡康, 1.1, 71,*  4,   4, 9, 65.4,⑨③④, 4,10,Ｃフィニステｰル, 80,藤田伸, 0.2, 90,  -5,* 26, 3,  7.6,⑨⑨⑨
 5, 9,Ｂナンヨｰスラッガｰ, 64,幸英明, 1.3, 57,  -7,*  3, 9, 23.4,⑮⑭⑫, 5,13, フォレストグリｰン,,柴田大,199.7,,,,14,197.6,⑨⑨⑧, 5,11,Ｈエアリアルショット, 68,国分恭, 1.4, 74,   4,   4,11, 89.6,⑦⑦⑦, 5, 6,Ｉテンシノマズル, 75,中村将, 0.3, 80,*  1,   9, 8, 46.7,①①①
 6, 5,Ｍリリｰストライカｰ, 44,後藤浩, 1.6, 52,  -6,  -4, 8, 20.1,⑨⑨⑪, 6, 1, ハナゴロモ,,林満明,200.2,,,, 8, 51.4,⑪⑩⑨, 6,10,Ｆメイショウスクラム, 70,松田大, 1.5, 73,   4,   3, 7, 27.1,⑤⑥⑥, 6, 8,Ｈカルカソンヌ, 75,福永祐, 0.4, 86,  -5,  21, 4,  8.4,⑦⑧⑧
 7, 3,Ｃケイアイブリザｰド, 61,岩田康, 1.8, 52,  -5,  -7, 4,  6.2,③⑥⑥, 7, 8, ワｰルドグランプリ,,南井大,200.9,,,,12,125.0,⑧⑧⑥, 7,14,Ｇマチカネオイカゼ, 70,浜中俊, 1.6, 69,*  4,   0, 5, 15.1,②④③, 7, 5,Ｅイネオレオ, 77,川田将, 0.5, 83,  -4,  15, 5,  9.5,⑤⑥⑤
 8, 7,Ｄスナｰクスペイン, 60,太宰啓, 1.8, 52,  -5,  -7, 1,  4.6,⑥⑧⑧, 8,11, アグネスクイｰン,,黒岩悠,201.0,,,, 5, 18.5,③⑤⑤, 8, 8,Ｉゴｰアップドラゴン, 65,後藤浩, 2.0, 67,   0,   6, 8, 44.1,⑧⑨⑨, 8, 3,Ｇヒカリベルサイユ, 76,岩田康, 0.5, 83,  -5,  19, 7, 37.9,⑥⑦⑥
 9, 1,Ｅペプチドルパン, 60,池添謙, 2.3, 49,  -6,  -8,11, 42.1,⑤⑪⑩, 9,14, ヤマタケゴｰルデン,,高野和,201.1,,,, 4, 11.2,⑦⑦⑦, 9, 6,Ｌアンクルトップ, 64,石橋守, 2.4, 71,  -2,*  8,10, 73.8,⑭⑬⑬, 9, 2,Ｆパッシングマｰク, 76,四位洋, 1.3, 73,  -5,   7, 9, 76.0,⑧⑤⑦
