09年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,16,Ｋジョｰセレス, 54,藤岡康, 1.6, 31, -10, -24,13, 37.9, ⑬⑩,,,,,,,,,,,,,13, 3,Ｍトウショウエルスト, 35,川田将, 4.0, 44,  -9,  -7,13,134.7,⑮⑭⑭,,,,,,,,,,,,
14,18,Ｑマルタカボｰイス, 49,小坂忠, 2.4, 22,  -6, -37,12, 30.5, ⑩⑧,,,,,,,,,,,,,14, 2, フライングチェンジ,---,田中健, 4.4, 43, -18,*  6,10, 73.2,⑭⑮⑮,,,,,,,,,,,,
15, 3,Ｇクォｰク, 57,安藤光, 3.0, 19, -11, -38,16,136.9, ⑭⑰,,,,,,,,,,,,,15,10,Ｋスカｰレットシチｰ, 46,上村洋, 4.7, 38,   1, -31,12,115.4,⑥⑨⑫,,,,,,,,,,,,
16, 2,Ｐコｰトスタｰ, 50,鮫島克, 3.7, 10,  -6, -52,14, 58.3, ⑪⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, 7,Ｃマルセイユシチｰ, 62,上村洋, 4.4, -4,  -5, -62, 7, 15.4, ⑧⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,Ｌピｰチパトラ, 54,太宰啓, 5.2,-11,*  1, -79,17,466.6, ④⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:不良(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:不良(指数:-7),,,,,,,,,,,
"単勝:2,020円 複勝:05=520円 11=410円 10=840円 枠連:2,010円",,,,,,,,,,,,単勝:160円 複勝:09=110円 02=130円 11=240円 枠連:300円,,,,,,,,,,,,単勝:310円 複勝:08=130円 01=170円 15=270円 枠連:640円,,,,,,,,,,,,"単勝:360円 複勝:02=150円 08=250円 01=150円 枠連:1,400円",,,,,,,,,,,
"馬連:13,700円 ワイド:05-11=4,210円 05-10=5,480円 10-11=4,570円",,,,,,,,,,,,馬連:380円 ワイド:02-09=170円 09-11=390円 02-11=620円,,,,,,,,,,,,馬連:770円 ワイド:01-08=300円 08-15=580円 01-15=990円,,,,,,,,,,,,"馬連:2,040円 ワイド:02-08=630円 01-02=260円 01-08=620円",,,,,,,,,,,
"馬単:28,930円 3連複:99,760円 3連単:835,030円",,,,,,,,,,,,"馬単:520円 3連複:1,200円 3連単:3,120円",,,,,,,,,,,,"馬単:1,530円 3連複:2,890円 3連単:11,340円",,,,,,,,,,,,"馬単:4,030円 3連複:2,320円 3連単:13,480円",,,,,,,,,,,
