09年 9月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐世保ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂスギノブロッサム, 64,田中健,, 72,  -1,*  6, 2,  3.2, ⑥⑥, 1, 7,Ａカスガ, 69,松山弘,, 66,  -2,* 12, 1,  2.3,⑧④③, 2,13,Ａボウイナイフ, 69,酒井学, 0.0, 66,*  0,   2, 2,  4.2,③②②, 1, 2,Ｈグッドキララ, 79,福永祐,, 80,*  0,  13, 9, 20.1, ③②
 2,13,Ａヴェリタスロｰズ, 67,渡辺薫, 0.3, 67,   3,  -2, 1,  3.0, ④④, 2, 1,Ｅストｰムツイスタｰ, 65,福永祐, 0.6, 65,*  0,   4, 2,  3.1,①①①, 1,10,Ｌトｰセンバタｰル, 47,幸英明,, 67,  -6,*  9,13,138.3,⑦⑩⑧, 2, 6,Ａオｰルタイムベスト, 83,幸英明, 0.0, 80,  -2,* 14, 3,  7.2, ⑤⑤
 3, 9,Ｄアグネスクルｰガ, 55,和田竜, 0.3, 67,  -4,   4, 4,  4.7, ⑧⑧, 3, 3,Ｂスルｰジエアｰ, 65,田中健, 0.7, 64,* -1,   4, 4, 10.1,④②②, 3,14,Ｅトｰホウホｰプ, 63,和田竜, 0.4, 64,  -2,   1, 5,  9.1,⑤④③, 3,14,Ｏベイリングボｰイ, 74,渡辺薫, 0.1, 80,  -5,* 17,10, 26.1, ⑬⑭
 4, 6,Ｃトゥニｰポｰト, 64,鮫島良, 0.4, 66,   1,  -2, 3,  3.8, ⑤⑤, 4,15,Ｃタガノスティｰド, 65,幸英明, 0.9, 62,* -1,   2, 5, 11.3,⑭③④, 4, 8,Ｄヒカリアライブ, 64,福永祐, 0.4, 65,  -3,   2, 1,  2.9,⑧⑥⑥, 4,12,Ｌアマノチェリｰラン, 77,角田晃, 0.2, 77,*  1,   9, 7, 17.6, ②③
 5,11,Ｉクニサキロンチｰ, 45,幸英明, 0.6, 63, -12,*  8, 6, 38.2, ⑬⑪, 5, 9,Ｇミステリアスオｰラ, 63,浜中俊, 1.0, 65,  -3,*  7, 3,  6.9,⑥⑧⑤, 5,15,Ｂザバトルクラシック, 66,浜中俊, 0.6, 65, -10,* 12, 4,  6.3,⑮⑮⑭, 5,13,Ｇゼットカｰク, 80,松山弘, 0.4, 74,  -3,  10,12, 41.3, ⑪⑩
 6,12,Ｌリズミカルステップ, 27,浜中俊, 0.6, 63,  -7,   3, 8, 43.3, ⑩⑩, 6,12,Ｈカバｰドブリッジ, 63,太宰啓, 1.7, 58,  -3,   0,10, 58.5,⑮⑦⑥, 6, 7,Ｆシンゼンライク, 60,飯田祐, 0.6, 60,*  0,  -6, 6, 19.0,①①①, 6,15,Ｉビｰチアイドル, 78,鮫島良, 0.4, 75,  -5,  13, 2,  5.0, ⑭⑮
 7, 8,Ｊテイエムアコガレ, 40,田嶋翔, 0.8, 61,  -4,  -2, 7, 39.0, ⑦⑦, 7,16,Ｆブルｰパフュｰム, 63,藤岡康, 2.0, 58,  -7,   6, 9, 41.5,⑬⑮⑪, 7,11,Ｊラファエロ, 48,小牧太, 0.6, 62,  -5,   2, 7, 19.3,⑩⑨⑩, 7, 8,Ｃブラックシャドウ, 81,熊沢重, 0.6, 71,  -3,   8,15,133.0, ⑨⑥
 8,10,Ｇペガサスガｰル, 45,国分恭, 0.8, 60,*  5, -11,11,234.7, ③③, 8, 4,Ｌエリモシャトレｰゼ, 51,大下智, 2.2, 54,  -3,  -4,13,123.8,③⑥⑦, 8, 1,Ｃドロップミアライン, 66,佐藤哲, 0.7, 58,  -5,   0, 3,  5.2,⑨⑧⑨, 8, 9,Ｂテｰオｰギャング, 82,浜中俊, 0.7, 71,*  0,   4, 1,  3.4, ④④
