09年 8月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 7,Ｑネオスペチアｰレ,-15,和田竜, 1.6, 30, -10, -24, 5, 16.4, ⑫⑭,,,,,,,,,,,,,13,14,Ｏガｰデンクォｰツ, 40,太宰啓, 2.2, 45,  -9, -12,13,303.7,⑮⑯⑪,,,,,,,,,,,,
14, 9,Ｌヴォｰタン, 28,角田晃, 2.5, 22, -11, -35,13,181.4, ⑭⑮,,,,,,,,,,,,,14,13,Ｍスカイボｰイング, 41,真島正, 2.4, 43,  -7, -17,18,589.4,⑬⑭⑬,,,,,,,,,,,,
15, 6,Ｎアイラインハヤブサ, 27,高野容, 2.6, 19,  -6, -41,15,233.8, ⑩⑪,,,,,,,,,,,,,15,16,Ｉメイショウテノｰル, 53,高橋亮, 2.6, 43,  -5, -21,12,205.8,⑯⑬⑮,,,,,,,,,,,,
16, 8, リバｰレッド,---,山口勲, 2.9,  6, -15, -36,12,180.0, ⑰⑰,,,,,,,,,,,,,16,15,Ｎシルバｰロマンス, 40,幸英明, 2.7, 41, -10, -16,17,470.2,⑰⑰⑰,,,,,,,,,,,,
17,17,Ｏカシノストライカｰ, 26,赤木高, 3.7,-17, -33, -30,18,364.0, ⑱⑱,,,,,,,,,,,,,17, 2,Ｑバサラキング, 35,佐久間, 4.1, 31,  -4, -47,15,449.1,⑥⑧⑯,,,,,,,,,,,,
18, 5,Ｊヨシノモモ, 29,野元昭, 4.0, -6, -12, -52,17,301.7, ⑮⑯,,,,,,,,,,,,,18, 6,Ｊアスタｰジャッジ, 52,赤木高, 9.8,-30, -25, -77,14,393.0,⑱⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:1,820円 複勝:16=400円 03=170円 11=130円 枠連:3,630円",,,,,,,,,,,,"単勝:1,160円 複勝:08=200円 02=110円 04=160円 枠連:280円",,,,,,,,,,,,単勝:200円 複勝:10=120円 05=140円 01=460円 枠連:470円,,,,,,,,,,,,"単勝:3,640円 複勝:07=750円 01=630円 02=110円 枠連:15,580円",,,,,,,,,,,
"馬連:6,610円 ワイド:03-16=1,650円 11-16=970円 03-11=320円",,,,,,,,,,,,馬連:820円 ワイド:02-08=360円 04-08=740円 02-04=250円,,,,,,,,,,,,"馬連:520円 ワイド:05-10=210円 01-10=910円 01-05=1,160円",,,,,,,,,,,,"馬連:13,960円 ワイド:01-07=3,170円 02-07=1,090円 01-02=870円",,,,,,,,,,,
"馬単:11,020円 3連複:4,250円 3連単:50,460円",,,,,,,,,,,,"馬単:2,360円 3連複:1,280円 3連単:10,370円",,,,,,,,,,,,"馬単:850円 3連複:5,430円 3連単:16,110円",,,,,,,,,,,,"馬単:37,960円 3連複:11,640円 3連単:125,480円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｪﾆｯｸｽ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａジニオマッジョｰレ, 77,武豊  ,, 70,*  4,*  3, 1,  1.8, ①①, 1, 6,Ｄアウラスタｰ, 64,小牧太,, 68,   1,*  6, 5, 22.9,⑪⑩⑨, 1, 2,Ｆカレンナホホエミ, 38,武豊  ,, 66,  -3,*  5, 2,  3.2, ⑥①, 1,12,Ａブラックカシミｰル, 78,野元昭,, 71,*  5,   4, 1,  3.8, ①①
 2, 5,Ｆレインボｰスタｰ, 62,鮫島克, 0.6, 64,*  1,   1, 3,  8.1, ②③, 2,10,Ｈリバティｰフロｰ, 56,川田将, 0.0, 66,* 10, -10, 3,  5.1,②②②, 2, 7,Ａエｰシンホワイティ, 70,福永祐, 0.3, 63,  -1,  -1, 1,  1.9, ⑤⑥, 2, 3,Ｃグリッタｰアイス, 69,田中健, 0.2, 68,  -4,*  8, 5,  6.4, ⑥⑤
 3, 2,Ｃオｰトクチュｰル, 66,国分恭, 0.9, 59,  -5,   2, 4, 10.1, ⑥⑤, 3, 8,Ａジョｰシンドバッド, 72,武豊  , 0.1, 65,* 10, -11, 2,  3.0,①①①, 3, 6,Ｂオレンジティアラ, 69,小牧太, 0.4, 66,*  6,  -9, 3,  4.0, ①②, 3,11,Ｅテイエムハヤテオｰ, 64,小牧太, 0.8, 62,  -8,   6, 3,  5.3, ⑫⑪
 4,14,Ｅリキドｰ, 63,川田将, 1.0, 61,*  2,  -3, 8, 31.5, ③②, 4,14,Ｆトモダチ, 59,生野賢, 0.5, 63,   6,  -6, 8, 70.2,⑨⑦⑤, 4, 3,Ｃドリｰムフォワｰド, 55,川田将, 0.4, 62,  -1,  -2, 4, 13.6, ③③, 4, 5,Ｇマルタｰズクラシカ, 63,浜中俊, 0.8, 62,  -1,   1, 9, 35.6, ③③
 5, 1,Ｊボｰセジュｰル, 52,赤木高, 1.3, 54, -17,*  5,12,290.8, ⑫⑫, 5,11,Ｅブルｰパフュｰム, 62,藤岡康, 0.9, 62,   6,  -9,11,121.9,⑩⑥④, 5, 9,Ｄコスモディエス, 54,和田竜, 1.1, 51,  -5,  -8, 5, 32.1, ⑧⑧, 5,14,Ｌアベニｰルシチｰ, 56,角田晃, 0.9, 61, -16,* 10,10, 36.4, ⑬⑬
 6, 4,Ｄメイショウフレアｰ, 65,福永祐, 1.4, 54,  -7,  -2, 2,  3.5, ⑧⑦, 6,15,Ｂゴルデンシュライン, 72,国分恭, 1.1, 58,* 10, -19, 1,  2.1,③③③, 6, 8, ゴｰルドルミナス,---,真島正, 1.5, 46,  -6, -12, 7, 65.5, ⑦⑦, 6, 4,Ｂケイティマイヒメ, 71,太宰啓, 0.9, 62,  -4,   2, 4,  5.5, ⑦⑦
 7,11,Ｂチェンジ, 67,大下智, 1.4, 54,  -5,  -3, 5, 15.4, ⑦⑥, 7,12,Ｋシェヴァルフォルテ, 53,幸英明, 1.4, 56,   3, -10,15,411.2,⑫⑧⑧, 7, 4, フレｰザｰハクユウ,---,山口勲, 1.7, 47,*  4, -25, 6, 48.0, ②④, 7, 6,Ｈアルファトリリオン, 63,国分恭, 1.0, 61,*  2,  -3,13, 79.0, ②②
