09年10月24日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月24日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小名浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂオリオンザポラリス, 58,丸山元,, 65,  -8,*  7, 3,  4.8, ⑨⑦, 1, 1,Ｆアイルビｰバウンド, 68,田中博,, 75,   2,  13, 2,  4.8,⑥⑤⑤, 1, 7,Ｐキアラ, 60,嘉藤貴,, 78,  -3,* 16, 2,  5.2,⑫⑬⑫, 1,10,Ａキャッツインブｰツ, 81,上村洋,, 79,* 10,   8, 2,  5.0,⑩③②
 2,12,Ｊロｰドセイバｰ, 47,藤岡康, 0.1, 64,  -4,   2, 7, 32.6, ⑦⑥, 2, 8,Ｋアンプレシオネ, 61,中舘英, 0.1, 70,*  5,   4, 1,  2.4,②②②, 2,10,Ｋファｰレサルティ, 66,藤岡康, 0.3, 68,*  1,   2, 8, 17.8,②②②, 2, 7,Ｂロｰレルレガリス, 80,中舘英, 0.1, 78,* 10,   7, 1,  1.9,②①①
 3,11,Ａプリンシプルレディ, 65,宮崎北, 0.5, 58,  -3,  -5, 2,  3.9, ④③, 3, 5,Ｍクリノマックス, 60,松田大, 0.2, 74,   2,   8, 6, 18.9,⑤④③, 3,12,Ｄユｰピロンユｰ, 72,田辺裕, 0.3, 71,   0,   5, 6, 10.9,⑤⑤⑤, 3, 6,Ｇオｰシャンクルｰズ, 75,柴原央, 0.2, 80,   3,* 19,13, 97.6,⑮⑮⑪
 4, 1,Ｅアップルミント, 49,丸田恭, 0.7, 56,  -4,  -6,10, 43.6, ⑥④, 4, 3,Ｇポレンティｰナ, 66,丸田恭, 0.3, 72,  -1,* 13, 9, 39.9,⑨⑨⑥, 4, 2,Ｉテｰマソング, 67,鮫島良, 0.3, 73,  -2,   9, 9, 17.9,⑥⑧⑦, 4,12,Ｉマイネルパルティア, 73,津村明, 0.4, 76,   8,   7, 5, 18.7,⑪⑤③
 5, 6,Ｄシゲルタカウジ, 51,飯田祐, 0.8, 54, -18,*  6, 8, 34.8, ⑮⑮, 5, 9,Ｉメルシｰヨｰク, 64,小林徹, 0.3, 71,*  5,   3, 5, 13.3,①①①, 5, 4,Ｎブルｰムインハｰト, 62,郷原洋, 0.5, 70,  -4,   7,15, 96.1,⑪⑪⑪, 5, 4,Ｋヘリオスシチｰ, 70,長谷川, 0.7, 78,   8,   8, 7, 27.0,⑤⑨⑥
 6,16,Ｉマイネルマルシェ, 48,中舘英, 0.9, 55,  -3, -10, 1,  2.9, ⑤⑧, 6,12,Ｃメイショウコレット, 72,古川吉, 0.4, 72,  -2,* 14, 4,  7.0,⑫⑫⑫, 6,14,Ｅスタｰリｰスカイ, 71,柴原央, 0.5, 70,  -2,   6, 4,  7.9,⑨⑩⑬, 6, 1,Ｈナイスシャトル, 74,古川吉, 0.8, 76,   5,* 10, 4, 16.7,⑥⑪⑩
 7, 7,Ｋレイディオドリｰム, 44,大庭和, 0.9, 54, -10,  -2,13, 59.6, ⑪⑪, 7,15,Ｂトウカイファミリｰ, 73,荻野琢, 0.6, 69,*  3,   4, 3,  5.2,④③④, 7, 5,Ｂエメラルドミスト, 76,川島信, 0.5, 71,  -4,* 12, 3,  7.8,⑭⑯⑩, 7,15,Ｊティグフォルテ, 73,大庭和, 0.9, 69,*  9,   2, 8, 31.8,①④④
 8,13,Ｐハイタッチクイｰン, 34,田面木, 1.0, 53,  -9,  -5,15, 72.6, ⑩⑩, 8,13,Ａセイウンハレルヤ, 74,宮崎北, 0.7, 69,  -4,* 16, 8, 39.1,⑭⑮⑮, 8, 1,Ａアオゾラペダル, 78,小野次, 0.6, 67,  -1,   0, 1,  3.7,③④④, 8, 5,Ｍメガチュｰズデｰ, 60,田辺裕, 1.1, 73,   7,   4, 9, 34.1,⑨⑩⑨
 9, 5,Ｌカシノカルミア, 41,二本柳, 1.0, 52, -20,*  6,14, 60.2, ⑯⑯, 9,10,Ｅネイチャｰトレイル, 68,小野寺, 0.9, 68,  -3,  11, 7, 32.4,⑮⑭⑬, 9,13,Ｍエストシャイン, 63,木幡初, 0.7, 64,*  1,  -3,10, 19.8,⑦⑥⑥, 9, 2,Ｆブチカマシ, 76,宮崎北, 1.2, 70,   8,   3, 6, 21.4,⑧⑦⑦
10, 2,Ｃシリウスリジル, 55,赤木高, 1.0, 51, -15,   0, 5, 13.0, ⑭⑭,10, 6,Ｄカリキュレイタｰ, 70,草野太, 1.0, 67,  -3,  11,12, 58.1,⑩⑬⑩,10, 6,Ｇマヤノマヤ, 69,津村明, 0.7, 63,*  2,  -7,11, 26.1,①①①,10, 8,Ｏカンファｰリｰド, 53,嘉藤貴, 2.1, 66,   4,   1,15,198.9,⑬⑬⑫
11, 8,Ｇクリノキンバリｰ, 49,高橋亮, 1.0, 53,*  0, -13, 9, 41.6, ②②,11,11,Ｌミフユ, 61,難波剛, 1.2, 64,   1,   2,10, 45.1,⑦⑥⑦,11, 9,Ｏトラックワンダｰ, 62,丸田恭, 1.0, 62,  -4,   2,14, 52.7,⑬⑭⑭,11, 9,Ｄセクシｰザムライ, 77,田中博, 2.1, 67,   5,   0,10, 43.4,⑭⑭⑬
12, 9,Ｏアブサン, 36,津村明, 1.5, 46, -11, -10,11, 57.6, ⑫⑫,12, 4,Ｏシャルマンロｰテ, 57,丸山元, 1.5, 63,  -2,   4,14,177.7,⑧⑪⑭,12, 8,Ｈカヤドｰモトヒメ, 69,田中博, 1.0, 63,  -4,   0,12, 49.1,⑮⑫⑮,12,14,Ｃエイブルベガ, 78,丸田恭, 2.7, 61,   7, -10, 3,  5.7,⑫⑧⑧
