09年 5月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,府中ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａイグナイトカフェ, 65,柴田善,, 62,* -3,   1, 1,  2.9, ①①, 1, 7, セイウンエポック,,大庭和,,,,, 2,  4.3,⑤④③, 1,12,Ｂノｰフォｰクパイン, 76,横山典,, 75,  -2,* 14, 2,  3.1, ⑫⑬, 1, 9,Ｋニシノブルｰムｰン, 78,後藤浩,, 83,  12,   5, 6,  9.1,③④④
 2, 2,Ｅタイキシムｰン, 61,田中勝, 0.0, 61,  -7,*  6, 2,  3.9, ⑥⑦, 2, 2, マイネルネオス,,宗像徹,202.7,,,, 1,  1.8,⑨⑩⑨, 2,17,Ｇアイスカｰビング, 68,岩田康, 0.0, 75,  -2,* 14, 7, 25.0, ⑬⑭, 2, 3,Ｅアペリティフ, 82,岩田康, 0.1, 83,  10,* 11,10, 23.9,⑬⑪⑨
 3,12,Ｆニホンピロピンキｰ, 60,内田博, 0.0, 62,  -6,*  4, 3,  6.4, ④⑤, 3,13, キョウエイライジン,,五十嵐,203.3,,,, 9, 52.6,⑩⑨⑧, 3,10,Ｎドリｰムラプチャｰ, 63,柴山雄, 0.3, 71,*  6,  -1, 8, 27.4, ④③, 3,13,Ｆメイショウベルｰガ, 81,田中勝, 0.2, 85,   7,* 17, 7, 12.4,⑯⑮⑯
 4, 4,Ｂナドレ, 63,藤田伸, 0.1, 59,* -4,   1, 4,  6.7, ②②, 4, 8, マルブツバンダリｰ,,西谷誠,203.5,,,, 3,  6.5,②①②, 4, 4,Ｆカツヨカムトゥルｰ, 69,武士沢, 0.3, 72,   1,   6,10, 32.2, ⑩⑩, 4, 1,Ｊブルｰマｰテル, 78,北村宏, 0.3, 79,  11,   5, 9, 23.9,⑨⑧⑦
 5,11,Ｄシｰオブザスタｰズ, 61,北村宏, 0.4, 58,  -5,   2, 5, 11.4, ⑦⑥, 5, 5, ニュｰヨｰカｰ,,高野和,203.8,,,, 5, 15.2,⑥⑥⑥, 5, 7,Ｌボタニカルアｰト, 65,松岡正, 0.4, 70,*  4,  -1, 3,  8.6, ③④, 5,16,Ｐドリｰムノクタｰン, 74,松岡正, 0.5, 77,* 15, -10, 8, 12.7,②②②
 6, 8,Ｃケイズパステル, 61,松岡正, 0.5, 57,* -5,  -1, 8, 25.1, ⑤③, 6, 9, ユウタｰジャック,,穂苅寿,204.1,,,, 6, 25.1,⑦⑦⑦, 6,16,Ｃサトノウインク, 72,北村宏, 0.4, 69,   2,   3, 9, 31.1, ⑪⑪, 6,15,Ｉスｰパｰプライド, 79,内田博, 0.6, 79,   8,   7, 5,  8.5,⑫⑬⑬
 7, 1,Ｇサニｰストリｰト, 60,勝浦正, 0.9, 55,  -8,   0, 7, 21.1, ⑨⑧, 7, 1, ウエルアップ,,平沢健,204.2,,,, 4, 12.1,①②①, 7, 3,Ｄカレンナサクラ, 71,江田照, 0.5, 69,  -1,   5, 5, 15.7, ⑯⑫, 7,14,Ｈテラノファントム, 80,藤田伸, 0.7, 78,  11,   1, 1,  5.3,⑧⑨⑧
 8,13,Ｉアトムスパンカｰ, 47,横山典, 1.7, 49,  -7,  -8, 6, 15.3, ⑧⑪, 8, 3, ハルノドトウｰ,,柴田大,204.7,,,, 7, 26.2,④⑤⑤, 8, 9,Ｅハングインゼア, 70,菊沢隆, 0.5, 68,   4,   0,17,244.8, ⑥⑤, 8,17,Ｏスペシャルフロｰト, 75,坂井英, 0.7, 76,* 15,  -9,15,128.4,④③③
