09年 2月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御堂筋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂフレｰバｰティｰ, 55,三浦皇,, 57,* -7,* 10, 5, 14.8,①①①, 1, 7, テイケイプリオｰル,,熊沢重,,,,, 1,  1.6,①①①, 1, 6,Ｃバンガロｰル, 68,佐藤哲,, 70,   1,   1, 1,  3.2, ⑤⑤, 1, 7,Ｆアｰネストリｰ, 81,佐藤哲,, 91,* 13,* 10, 1,  2.6,③③③
 2,15,Ａクリノサンデｰママ, 59,武豊  , 0.2, 59,* -8,* 11, 1,  1.6,④④④, 2, 2, カシノオウジャ,,林満明,201.9,,,, 7, 36.3,②④④, 2,13,Ｄカイシュウボナンザ, 67,安藤勝, 0.2, 68,  -7,*  9, 3,  5.5, ⑬⑭, 2,10,Ｂナムラクレセント, 85,和田竜, 0.4, 89,* 13,   6, 3,  5.3,⑤⑤⑤
 3, 9,Ｅフィｰリングトｰン, 53,安藤勝, 0.2, 56, -10,* 12, 4,  8.8,⑦⑦⑥, 3,10, スナｰクマイハｰト,,出津孝,201.9,,,, 9, 48.6,⑧②②, 3,10,Ｂフェイズシフト, 70,和田竜, 0.2, 69,  -2,   3, 6, 16.6, ⑦⑦, 3, 5,Ｇケンブリッジレｰザ, 81,岩田康, 0.7, 85,  11,*  8,10, 37.1,⑨⑧⑧
 4, 5,Ｏアドマイヤバｰゼル, 43,川田将, 1.0, 53, -10,   6, 7, 26.4,⑤⑤⑤, 4, 9, スリｰアトラス,,小坂忠,202.0,,,, 6, 14.7,⑦⑥⑤, 4, 9,Ｆアグネスナチュラル, 62,武豊  , 0.3, 66,*  3,  -5, 4,  6.0, ③③, 4, 3,Ｄメトロシュタイン, 82,福永祐, 0.9, 84,  12,   0, 5, 11.1,④④④
 5, 7,Ｃピサノプリヴェ, 55,岩田康, 1.0, 51,* -9,   4, 2,  6.0,③③③, 5,11, メイショウアンドレ,,西谷誠,202.4,,,, 2,  5.7,④③③, 5, 7,Ａドリｰムゼニス, 77,内田博, 0.3, 67,  -2,   1, 2,  4.4, ⑧⑧, 5,11,Ｅタニノディキディキ, 81,デムｰ, 0.9, 85,  11,   7, 7, 14.6,⑫⑫⑩
 6, 6,Ｄマスタｰエンプレス, 55,小牧太, 1.4, 51, -11,   6, 6, 15.8,⑩⑨⑨, 6, 8, マンノダイヤモンド,,今村康,202.8,,,, 5, 14.3,⑤⑦⑦, 6, 3,Ｌナリタシリカ, 57,川島信, 0.3, 68,*  3,  -5, 9, 27.6, ②②, 6, 6,Ｌロｰドアンセム, 75,武豊  , 0.9, 84,   9,* 10, 6, 14.3,⑪⑩⑪
 7, 2,Ｆフミノタカラ, 52,池添謙, 1.4, 51, -12,   8,13,196.7,⑫⑪⑬, 7, 4, マｰベラスウイル,,高野容,202.9,,,, 8, 39.3,⑨⑨⑧, 7, 8,Ｊユｰセイヤマトオｰ, 57,田村太, 0.5, 66,  -9,*  8,14,308.0, ⑭⑬, 7, 1,Ｈピサノエミレｰツ, 80,安藤勝, 1.2, 80,  11,   0, 2,  4.7,⑦⑦⑦
 8, 1,Ｊカスガ, 48,木村健, 1.5, 51, -14,* 10,14,207.2,⑭⑭⑭, 8, 1, スズカトップ,,北沢伸,203.4,,,, 3,  8.6,③⑤⑥, 8,12,Ｍワンズガｰホッド, 52,武幸四, 0.5, 66,   1,  -5, 7, 17.1, ⑥⑥, 8, 8,Ｉマイネルネオス, 80,幸英明, 1.8, 79,   8,   0,11, 98.7,⑬⑬⑬
 9,14,Ｈアッサイ, 50,小林徹, 1.7, 51, -12,   6,15,342.1,⑪⑬⑪, 9, 6, クリノラブダンス,,白坂聡,205.8,,,,11,126.4,⑥⑧⑨, 9,11,Ｇセイウンリファイン, 60,三浦皇, 0.6, 65,  -5,   1,10, 56.3, ⑫⑪, 9,12,Ｃミッキｰチアフル, 83,内田博, 1.8, 76,  12, -12, 4,  8.8,⑥⑥⑥
10,13,Ｇモスキャンピオン, 51,和田竜, 1.8, 44,* -8,  -4, 8, 40.0,②②②,10, 5, レｰザｰウイング,,黒岩悠,209.4,,,,10, 56.8,⑩⑩⑩,10, 1,Ｈトｰセンピュリニｰ, 59,岩田康, 0.9, 59,*  4, -14, 5,  8.7, ①①,10, 9,Ｋロックスピリッツ, 77,三浦皇, 2.0, 76,  11, -10,12,100.5,⑩⑨⑨
11, 4,Ｐパｰプルスタｰ, 19,幸英明, 1.9, 46, -14,   6,10,126.6,⑯⑯⑯,11, 3, ヤマカツマドンナ,,高田潤,212.1,,,, 4, 12.2,⑪⑪⑪,11,15,Ｅヒカルジョディｰ, 63,秋山真, 1.0, 60,  -1,  -9, 8, 24.2, ⑨⑨,11, 2,Ｊアルカザン, 78,四位洋, 2.0, 75,   9,  -4, 8, 20.8,⑧⑪⑫
12,16,Ｌユメヒマワリ, 44,内田博, 1.9, 45, -10,  -2, 3,  8.6,⑥⑥⑦,,,,,,,,,,,,,12, 2, ホワイトイチ,---,木村健, 1.2, 58,  -5,  -5,15,317.1, ⑪⑫,12,13,Ａアラタマサモンズ, 85,小牧太, 2.0, 74,* 14, -21, 9, 29.6,②②②
13,12,Ｋチムドンドン, 46,佐藤哲, 2.7, 41, -12,  -3,12,175.4,⑬⑫⑩,,,,,,,,,,,,,13,14,Ｋアドマイヤサムライ, 57,川田将, 1.3, 56,  -3,  -8,12,136.5, ⑩⑩,13, 4,Ｍビｰオブザバン, 69,木村健, 2.9, 67,* 15, -34,13,203.4,①①①
14, 3,Ｎアラタマデジタル, 44,石橋守, 2.8, 42, -10,  -6,16,371.8,⑨⑧⑧,,,,,,,,,,,,,14, 4,Ｎリｰティラ, 41,福永祐, 1.4, 55,   0, -15,11, 76.1, ④④,,,,,,,,,,,,
15,11,Ｍタムロブライト, 44,酒井学, 2.9, 39, -14,  -3, 9,125.9,⑮⑮⑮,,,,,,,,,,,,,15, 5, タマキチャン,---,荻野要, 2.2, 47, -11, -10,13,157.0, ⑯⑯,,,,,,,,,,,,
