09年12月12日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月12日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,鳴海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 4,Ｉヤマカツセイリュウ, 40,角田晃, 2.7, 39, -17,   4,10, 68.6,⑬⑬⑬,12,10, ミスズエルドラド,---,北村友, 2.9, 44, -13,  -8,13, 58.1,⑫⑬⑬,12, 3,Ｋカゼノグッドボｰイ, 70,村田一, 1.9, 65,   4,  -2, 7, 22.6,⑪⑭⑫,11,10,Ｃラバｰソウル, 80,梶晃啓, 2.6, 69,   5,   1,11, 77.5,⑤⑧⑨
13,10,Ｌリバｰソナタ, 37,丸山元, 4.3, 23, -11, -20,12,161.7,⑪⑩⑪,13, 6, メイショウヤクドウ,---,田中克, 3.0, 41, -12, -14, 8, 25.9,⑮⑪⑪,13,16,Ｍカリズマクレスト, 64,田中健, 1.9, 63,   7,  -9,16,185.7,⑥⑤⑧,12,11,Ｏスタｰノｰブルマン, 70,木幡初, 3.0, 63,*  7,  -8,13,109.5,①①②
,,,,,,,,,,,,14,12, ウォｰタｰアルマダ,---,松山弘, 3.0, 42, -13, -10,15,123.5,⑬⑫⑫,14,14,Ｎマルブツハッピｰ, 64,松山弘, 1.9, 62,   6,  -8,15,177.2,④④⑨,13, 8,Ｐピイエフドルチェ, 63,松田大, 3.0, 69,   2,   2,16,563.8,⑪⑮⑯
,,,,,,,,,,,,15, 8, メイケイオｰシャン,---,太宰啓, 3.2, 44, -17,  -3,10, 44.4,⑪⑮⑮,15, 7,Ｐメイショウダイスギ, 59,北村友, 3.1, 53,   4, -15,13,120.4,①⑩⑮,14,14,Ｍダノンヒデキ, 70,福永祐, 3.3, 64,   3,  -3, 4, 10.6,⑨⑪⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-7),,,,,,,,,,,
単勝:500円 複勝:09=140円 01=110円 06=160円 枠連:460円,,,,,,,,,,,,"単勝:360円 複勝:14=130円 15=170円 03=140円 枠連:1,300円",,,,,,,,,,,,単勝:440円 複勝:09=200円 11=170円 10=300円 枠連:800円,,,,,,,,,,,,"単勝:160円 複勝:03=110円 12=1,510円 04=340円 枠連:2,330円",,,,,,,,,,,
馬連:510円 ワイド:01-09=220円 06-09=410円 01-06=260円,,,,,,,,,,,,"馬連:1,190円 ワイド:14-15=460円 03-14=330円 03-15=490円",,,,,,,,,,,,"馬連:1,000円 ワイド:09-11=630円 09-10=1,490円 10-11=880円",,,,,,,,,,,,"馬連:5,960円 ワイド:03-12=1,840円 03-04=440円 04-12=8,210円",,,,,,,,,,,
"馬単:1,340円 3連複:860円 3連単:5,000円",,,,,,,,,,,,"馬単:2,030円 3連複:1,500円 3連単:8,040円",,,,,,,,,,,,"馬単:2,150円 3連複:5,590円 3連単:12,460円",,,,,,,,,,,,"馬単:5,580円 3連複:13,550円 3連単:67,950円",,,,,,,,,,,
