09年12月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,江坂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａスイｰトベルモット, 61,安藤光,, 63,   0,*  2, 2,  3.4,③④④, 1, 7, ホウライブライアン,,出津孝,,,,, 3,  5.5,③②②, 1, 8,Ｅテイラｰバｰトン, 67,四位洋,, 72,*  0,   4, 2,  3.1, ④②, 1, 8,Ｄタガノファントム, 78,岩田康,, 83,*  1,  15, 4,  7.4,③③②
 2, 7,Ｂサックアクロア, 59,藤岡康, 0.1, 65,*  1,* -2, 1,  2.9,②②①, 2,13, ゴｰルドリｰズン,,植野貴,211.0,,,, 6, 14.9,⑤⑧⑧, 2,10,Ａダノンスパシｰバ, 76,佐藤哲, 0.1, 70,  -2,*  7, 1,  2.3, ⑨⑧, 2, 3,Ｈマイネルシュトルム, 73,幸英明, 0.0, 83,*  2,  13, 5, 10.6,①①①
 3, 9,Ｎメイケイソフィア, 40,幸英明, 1.4, 56,  -4,* -4, 7, 18.7,⑭⑭⑩, 3,10, トキメキヒｰロｰ,,石神深,211.0,,,, 2,  4.1,④④③, 3, 9,Ｋピサノユリシｰズ, 60,安藤勝, 0.2, 73,  -6,* 14, 3, 11.2, ⑮⑮, 3,12,Ｇイネオレオ, 74,四位洋, 0.0, 85,*  1,  17, 7, 14.6,⑤⑤④
 4,16,Ｈクリスマドンナ, 52,四位洋, 1.4, 54,*  0, -12, 3,  5.1,⑨⑥③, 4, 8, タマモヴィグラス,,岩崎祐,211.1,,,, 1,  3.4,⑥⑥⑦, 4,15,Ｄセレスロンディｰ, 70,藤岡康, 0.4, 68,* -1,   1, 5, 13.8, ⑧⑤, 4, 4,Ｆブルｰスタｰキング, 75,江田照, 0.1, 86,  -1,* 20, 6, 13.9,⑥⑥⑥
 5,14,Ｅマイネヴィント, 57,岩田康, 1.8, 52,*  0, -16, 4, 10.3,⑦③②, 5,14, マｰブルジｰン,,林満明,211.2,,,, 7, 15.8,②①①, 5,12,Ｆメジャｰテｰスト, 66,江田照, 0.4, 67,*  1,  -2,13,125.9, ①①, 5, 1,Ａコパノジングｰ, 89,小牧太, 0.2, 84,  -1,  17, 3,  6.4,④④⑤
 6,11,Ｉアオモミジ, 46,佐藤哲, 1.8, 53,  -2, -10,15,129.5,⑪⑨⑨, 6, 5, メイショウチョイス,,難波剛,211.4,,,, 5, 14.8,⑦⑤④, 6,14,Ｊブイコナン, 60,小牧太, 0.4, 67,* -1,  -1,11, 40.5, ⑦④, 6,11,Ｃフィニステｰル, 86,藤岡佑, 0.3, 85,  -2,* 20, 2,  4.2,⑦⑦⑦
 7, 8,Ｃエリモレインボｰ, 58,石橋守, 1.9, 55,  -1, -12, 6, 17.8,④⑦⑥, 7, 2, メジロラスタバン,,横山義,211.7,,,,10, 24.9,⑨⑦⑤, 7,17,Ｈラインジェシカ, 64,柴山雄, 0.5, 69,  -5,*  7,10, 33.2, ⑬⑬, 7, 5,Ｂキタサンアミｰゴ, 88,川田将, 0.5, 85,  -2,* 19, 1,  2.4,⑨⑧⑧
 8, 1,Ｏヤマノオレンジ, 40,小林徹, 2.4, 50,  -2, -15,11, 98.3,⑤⑧⑧, 8, 6, ヒシバトル,,大江原,211.7,,,,11, 55.2,⑧⑨⑨, 8, 1,Ｃトｰホウシンバル, 71,岩田康, 0.5, 67,  -2,   1, 6, 17.4, ③⑥, 8, 2,Ｌトップサンダｰ, 66,和田竜, 0.8, 75,*  1,   6, 8, 29.8,②②③
 9,10,Ｆバンダムロｰレル, 52,和田竜, 2.5, 50,  -6,  -8, 8, 29.5,⑬⑮⑭, 9, 9, プライドイズハｰト,,菊地昇,211.8,,,,14,102.4,⑫⑪⑪, 9, 5,Ｂドリｰムバレンチノ, 74,太宰啓, 0.7, 65,  -2,   0, 8, 23.2, ⑥⑦, 9, 6,Ｅシャトヤンシｰ, 76,太宰啓, 1.1, 79,  -3,  15, 9, 49.8,⑫⑫⑪
10, 3,Ｇプレジャｰムｰン, 52,太宰啓, 2.8, 47,  -5, -13,16,136.5,⑫⑬⑬,10,12, デンシャミチ,,小坂忠,212.1,,,, 8, 18.4,①③⑥,10, 7,Ｌマイネルゴルト, 59,和田竜, 0.7, 66,  -6,   5,12,101.2, ⑪⑭,10,10,Ｉイｰサンジャンパｰ, 72,柴山雄, 1.1, 78,  -3,  13,11,158.6,⑪⑩⑩
11, 4,Ｄリエｰトフィｰネ, 57,角田晃, 3.1, 47,   0, -24, 5, 12.5,⑥⑤⑤,11, 3, セイウンエポック,,江田勇,212.6,,,,12, 91.0,⑩⑩⑩,11, 4,Ｏブラックイレブン, 51,金折知, 0.8, 65,  -5,   1,14,244.7, ⑤⑪,11, 9,Ｊシャロｰム, 72,渡辺薫, 1.4, 77,  -4,  12,10,121.3,⑩⑪⑫
12, 2,Ｍマリアダンス, 41,渡辺薫, 4.0, 41,  -4, -26,12, 99.5,⑧⑩⑪,12, 1, ハッピｰヘイロｰ,,高田潤,213.2,,,, 9, 20.3,⑪⑫⑫,12,11,Ｇフラムドｰル, 65,藤岡佑, 0.9, 63,  -5,   1, 4, 13.7, ⑫⑫,12, 7,Ｋドンペトリュス, 70,小林徹, 2.7, 58,  -3, -10,12,251.4,⑧⑨⑨
13,13,Ｌテイエムスプリング, 43,柴山雄, 4.0, 40,  -4, -25,14,125.3,⑮⑪⑫,13,11, メイショウダンディ,,南井大,213.9,,,,13, 96.6,⑬⑬⑬,13,13,Ｐリｰプオブフェイス, 47,幸英明, 1.1, 60,  -4,  -5, 7, 22.7, ⑩⑩,,,,,,,,,,,,
14,15,Ｐダイヤモンドピｰル, 32,小牧太, 4.1, 40,  -7, -18,13,103.1,⑯⑯⑯,,,,,,,,,,,,,14, 2, ニヨドサンデｰ,---,石橋守, 1.1, 63, -10,*  8,15,273.6, ⑱⑰,,,,,,,,,,,,
15, 5,Ｋラブファイナル, 44,安部幸, 4.5, 40,  -5, -26, 9, 34.6,⑩⑫⑮,,,,,,,,,,,,,15, 6,Ｉラヴセンス, 63,川田将, 1.1, 60,* -1, -10, 9, 32.3, ②③,,,,,,,,,,,,
16,12,Ｊハヴアドリｰム, 44,川田将, 5.1, 33,  -1, -42,10, 61.4,①①⑦,,,,,,,,,,,,,16, 3,Ｍアイファｰマｰチス, 57,小林徹, 1.3, 58,  -8,  -1,16,293.6, ⑭⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｎピサロナイト, 51,角田晃, 1.8, 53,  -2, -17,17,328.5, ⑯⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｑフジノビッグマン, 47,安部幸, 3.9, 31, -14, -25,18,457.9, ⑰⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,
単勝:340円 複勝:06=150円 07=130円 09=370円 枠連:420円,,,,,,,,,,,,単勝:550円 複勝:07=190円 13=290円 10=180円 枠連:680円,,,,,,,,,,,,単勝:310円 複勝:08=130円 10=120円 09=240円 枠連:280円,,,,,,,,,,,,"単勝:740円 複勝:08=280円 03=410円 12=520円 枠連:4,310円",,,,,,,,,,,
"馬連:460円 ワイド:06-07=210円 06-09=1,250円 07-09=1,100円",,,,,,,,,,,,"馬連:4,270円 ワイド:07-13=1,460円 07-10=540円 10-13=920円",,,,,,,,,,,,馬連:300円 ワイド:08-10=160円 08-09=650円 09-10=470円,,,,,,,,,,,,"馬連:3,890円 ワイド:03-08=1,190円 08-12=1,750円 03-12=2,390円",,,,,,,,,,,
"馬単:1,040円 3連複:3,790円 3連単:14,990円",,,,,,,,,,,,"馬単:8,030円 3連複:5,100円 3連単:35,450円",,,,,,,,,,,,"馬単:740円 3連複:1,090円 3連単:4,590円",,,,,,,,,,,,"馬単:8,350円 3連複:17,330円 3連単:97,690円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩耶ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａマリヲ, 59,渡辺薫,, 68,*  6,* -5, 2,  3.1, ①①, 1, 1,Ｉアレックスバロｰズ, 49,岩田康,, 65,*  3,*  2, 4, 12.1,④③③, 1,16,Ａスズカブリザｰド, 79,安藤勝,, 70,*  9,   2, 1,  1.8,②②②, 1, 1,Ｌメトロノｰス, 79,川田将,, 82,* 11,   6, 7, 18.1, ③④
 2, 6,Ｏラブシェｰマ, 35,大下智, 0.1, 68,   2,* -2, 8, 33.9, ③③, 2, 9,Ｂランブリングロｰズ, 58,藤岡佑, 0.4, 61,*  4,  -4, 1,  2.3,②②②, 2,14,Ｊサクラキングオｰ, 66,岩田康, 0.1, 72,   7,*  6, 2,  5.2,⑧⑦⑦, 2, 5,Ｉバトルサクヤビメ, 82,和田竜, 0.1, 81,   7,   9,10, 52.6, ⑧⑥
 3,12,Ｆシゲカツワンダフル, 51,金折知, 0.5, 63,*  5,  -8,12, 60.1, ②②, 3, 2,Ａアドマイヤマリン, 64,川田将, 0.6, 61,   1,*  0, 2,  3.4,⑮⑨⑧, 3,10,Ｂヒミノプリンセス, 77,幸英明, 0.3, 70,   9,   0, 4, 11.5,④③③, 3,11,Ａナイジェラ, 85,太宰啓, 0.2, 79,* 11,   2, 1,  2.8, ②②
 4,14,Ｂスマｰトアｰサイト, 58,川田将, 0.5, 60,   0,* -4, 1,  3.1, ⑥⑤, 4, 3,Ｃボストンサプライズ, 55,安藤光, 0.8, 57,   1,  -2, 8, 42.0,⑧⑤⑥, 4, 5,Ｃキクノトップラン, 75,和田竜, 0.4, 70,   9,   0, 8, 27.1,③④④, 4, 2,Ｆアｰトオブウォｰ, 82,幸英明, 0.4, 78,   8,   5, 2,  4.1, ⑦⑧
