09年 8月29日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月29日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三面川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｇアｰスガルド, 48,蛯名正,, 74,* 16, -16, 2,  4.1, ③②, 1,11, エｰシンカメンシズ,,五十嵐,,,,, 4,  8.7,③②②, 1,10,Ａラドラｰダ, 78,北村宏,, 73,   1,*  8, 1,  1.4, ⑥⑤, 1, 1,Ｉハシッテホシｰノ, 72,松岡正,, 81, -14,  25, 1,  2.6, ③③
 2, 3,Ｄコスモビタｰ, 49,松岡正, 0.7, 67,* 16, -26, 3,  4.1, ②③, 2, 9, ユウタｰストライプ,,浜野谷,187.1,,,, 1,  2.2,④③③, 2, 2,Ｂヒシチャプタｰ, 68,田中勝, 0.5, 69,*  3,  -2, 3,  7.2, ③③, 2, 7,Ｄホクレレ, 77,蛯名正, 0.2, 80, -17,  28, 6, 11.8, ⑨⑧
 3, 7,Ｉマイネルマグレブ, 47,石橋脩, 0.8, 67,  11, -17,10, 72.5, ⑦⑥, 3, 8, アキクサクイン,,石神深,187.3,,,, 5, 10.6,⑤⑥⑤, 3,16,Ｃヤマニンオクタゴン, 66,柴山雄, 0.9, 66,*  4,  -8, 2,  4.6, ②②, 3,10,Ｅフォｰチュンワｰド, 76,北村宏, 0.2, 76, -15,  25, 3,  7.2, ⑦⑦
 4,16,Ｆオルレアンノオトメ, 49,大野拓, 1.0, 65,  11, -18, 7, 31.2, ⑧⑨, 4,13, ウインドストｰム,,平沢健,187.7,,,, 2,  3.2,⑦④④, 4,11,Ｋアプロディｰル, 48,高橋智, 1.0, 62,  -5,*  4,12,163.5, ⑬⑫, 4, 3,Ｃカノヤトップレディ, 78,吉田隼, 0.2, 82, -20,* 33, 5, 11.3, ⑧⑨
 5, 4,Ｊリキアイクロフネ, 44,勝浦正, 1.1, 65,   7,*-11,13,214.7, ⑬⑬, 5,10, カシマレジェンド,,佐藤聖,188.3,,,, 6, 26.1,⑨⑦⑥, 5, 4,Ｆマチカネビャッコ, 57,吉田隼, 1.2, 58, -10,*  7,13,173.7, ⑯⑮, 5, 4,Ａリｰベストラウム, 79,大野拓, 0.4, 80, -20,* 31, 2,  3.5, ⑪⑪
 6, 9,Ｃメジロジェラルド, 54,柴田善, 1.1, 63,  12, -23, 1,  2.9, ⑤⑦, 6, 1, パリスフォンテン,,横山義,189.2,,,, 9, 72.4,⑩⑨⑨, 6,13,Ｅジョウノリリｰ, 59,松岡正, 1.6, 57,  -1,  -9, 4, 19.1, ⑨⑧, 6, 6,Ｂマジックビクトリア, 79,木幡初, 0.4, 75, -15,  23, 4,  7.4, ⑥⑤
 7,15,Ｂグレイトサム, 62,高橋智, 1.2, 63,   4,* -8, 6, 15.8, ⑰⑰, 7, 6, ジャストルｰラｰ,,穂苅寿,189.5,,,, 3,  7.3,②①①, 7, 6,Ｉチュラヌウジ, 52,勝浦正, 1.6, 56,  -5,  -2, 8, 54.9, ⑭⑭, 7, 5,Ｆマイネエアウエイ, 76,石橋脩, 0.4, 78, -16,  24, 9, 59.0, ⑤⑥
 8,13,Ｍシルクダイドウ, 41,江田照, 1.3, 62,   8, -17,11,101.6, ⑪⑫, 8, 5, ヤマニンパルファン,,柴田大,190.0,,,,11, 97.5,⑥⑧⑧, 8,14,Ｇロｰドハロウィン, 55,大野拓, 1.8, 52,  -2, -11, 7, 50.2, ⑩⑩, 8,11,Ｇハｰリカ, 76,村田一, 0.5, 73, -14,  17, 7, 15.2, ④④
