09年 9月20日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月20日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,葛飾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11, 3,Ｌウエスタンイライザ, 46,柴田善, 1.6, 51,  -4,  -8, 6, 30.7,⑨⑪⑪,11,12,Ｌタケデンスキップ, 60,伊藤直, 1.4, 65,   1,*  3,15,281.9, ⑮⑮,,,,,,,,,,,,,11, 6,Ｈヒシドンネル, 59,蛯名正, 2.8, 51,  -2, -12, 8, 30.2,⑤⑦⑩
12,10,Ｋワッフルワッフル, 53,勝浦正, 1.8, 51,  -5,  -6,12,149.2,⑪⑬⑬,12, 5,Ｋベレンバン, 61,西田雄, 1.6, 62,   2,   0,10, 49.9, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
13, 7,Ｊエアレブロン, 53,横山典, 6.6, 23,  -2, -53, 8, 30.8,④⑥⑫,13, 4,Ｈデットオアアライブ, 69,吉田豊, 1.9, 59,   1,  -1,11, 83.7, ⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,14,Ｎリリカルヴァｰス, 58,的場勇, 2.5, 57,   7, -12,12,109.4, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,15,Ｐクｰルレディ, 46,大庭和, 2.6, 51,  -6,  -1,13,240.7, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 3,Ｏキタサンオリュウ, 52,武士沢, 5.3, 33,  11, -40,16,293.3, ④⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,120円 複勝:08=280円 06=1,300円 13=160円 枠連:3,900円",,,,,,,,,,,,"単勝:290円 複勝:13=160円 06=160円 07=200円 枠連:1,130円",,,,,,,,,,,,"単勝:570円 複勝:02=200円 03=170円 07=520円 枠連:1,000円",,,,,,,,,,,,"単勝:270円 複勝:10=130円 02=210円 01=130円 枠連:1,110円",,,,,,,,,,,
"馬連:39,100円 ワイド:06-08=5,570円 08-13=600円 06-13=3,400円",,,,,,,,,,,,"馬連:1,000円 ワイド:06-13=520円 07-13=500円 06-07=680円",,,,,,,,,,,,"馬連:920円 ワイド:02-03=350円 02-07=1,500円 03-07=1,290円",,,,,,,,,,,,"馬連:1,730円 ワイド:02-10=580円 01-10=190円 01-02=520円",,,,,,,,,,,
"馬単:70,910円 3連複:34,950円 3連単:401,700円",,,,,,,,,,,,"馬単:1,750円 3連複:2,380円 3連単:6,830円",,,,,,,,,,,,"馬単:1,900円 3連複:5,310円 3連単:24,110円",,,,,,,,,,,,"馬単:2,710円 3連複:1,470円 3連単:9,330円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
