09年 2月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飛鳥ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａクリスザドｰル, 65,田村太,, 60,* -3,* 12, 2,  3.4,②②②, 1, 8, マヤノスタｰダム,,植野貴,,,,, 1,  3.4,③②②, 1, 4,Ｃケイアイガｰベラ, 65,秋山真,, 63,* -2,   7, 1,  1.6, ①①, 1, 4,Ａタガノエルシコ, 86,藤岡佑,, 91,  -5,* 26, 1,  2.8, ⑧⑦
 2, 8,Ｃクリノサンデｰママ, 61,川島信, 0.4, 57,* -2,   8, 1,  2.1,①①①, 2,11, キクノインプルｰブ,,北沢伸,196.0,,,, 6, 22.9,⑥④④, 2,12,Ｂトウカイミステリｰ, 67,武幸四, 0.5, 61,* -3,   5, 4, 10.4, ③③, 2, 9,Ｃホワイトピルグリム, 83,安藤勝, 0.0, 87,  -3,  20, 2,  3.3, ⑤⑤
 3,10,Ｋトミケンプライマリ, 36,田中克, 1.1, 56,  -5,   6, 8, 95.3,④⑤④, 3, 1, マルタカタキオン,,西谷誠,196.5,,,, 4,  6.8,⑦③①, 3, 5,Ｇホクトスワン, 63,藤岡佑, 0.5, 61,  -7,* 10,10, 58.8, ⑨⑨, 3, 5,Ｉマッハジュウクン, 70,武幸四, 0.1, 79,* 10,  -6, 9, 61.5, ①①
 4, 6,Ｉフィｰリングトｰン, 47,安藤勝, 1.7, 49,  -7,   6, 4,  8.8,⑩⑪⑪, 4, 3, テイケイプリオｰル,,熊沢重,196.9,,,, 2,  3.4,①①③, 4, 8,Ｆフミノイマｰジン, 63,福永祐, 0.5, 60,* -3,   4, 5, 12.0, ②②, 4, 1,Ｂマイネルスタｰリｰ, 86,武豊  , 0.1, 90,  -7,* 27, 3,  4.5, ⑨⑨
 5, 1,Ｊプティロｰズ, 40,下原理, 1.9, 47,  -5,  -1,11,167.0,⑤⑥⑤, 5, 2, メイショウアンドレ,,岩崎祐,197.1,,,, 7, 32.2,④⑦⑥, 5, 9,Ｊネオヴェリｰベリｰ, 61,川田将, 0.6, 59,  -5,   6, 8, 46.4, ⑧⑧, 5, 6,Ｆセタガヤフラッグ, 80,岩田康, 0.2, 84,  -1,  16, 7, 24.3, ③③
 6, 3,Ｂフィロンルｰジュ, 65,岩田康, 2.3, 44,  -4,  -6, 3,  3.9,③④③, 6,13, タイインテンスリｰ,,黒岩悠,197.7,,,, 5, 12.0,⑤⑤⑤, 6,15,Ａクイックメｰル, 77,藤田伸, 0.7, 58,  -4,   5, 2,  5.7, ⑤⑦, 6, 8,Ｄメイショウベルｰガ, 80,四位洋, 0.3, 85,  -4,  20, 6, 13.3, ⑦⑧
 7, 4,Ｅデンコウブルｰ, 55,小林徹, 2.5, 45,  -6,  -3, 7, 63.3,⑨⑦⑦, 7,10, タマモハクライ,,林満明,198.0,,,, 3,  3.6,②⑥⑦, 7,14,Ｅツルマルハロｰ, 64,後藤浩, 0.9, 55,  -5,   2, 3, 10.0, ④⑥, 7, 3,Ｅケイアイケイマン, 80,デムｰ, 0.5, 82,  -4,  15, 4,  8.5, ④④
 8, 5,Ｆアリソンイモン, 55,安部幸, 2.7, 43,  -6,  -4, 9,119.4,⑪⑨⑧, 8, 9, カシノオウジャ,,金折知,198.1,,,, 9, 59.5,⑩⑧⑧, 8, 6,Ｎプリンセスジュディ, 54,田中克, 0.9, 59, -12,* 12,12, 77.0, ⑭⑬, 8, 2,Ｇアルカザン, 76,池添謙, 0.9, 78,  -6,  13, 5, 11.3, ⑥⑥
 9, 2,Ｄフミノタカラ, 58,後藤浩, 3.2, 39,  -6,  -7, 6, 32.1,⑥⑩⑨, 9, 7, ペガサスファイト,,南井大,198.6,,,,10, 60.4,⑨⑨⑨, 9, 3,Ｉナムララピス, 63,幸英明, 1.2, 53,  -5,   0, 9, 50.3, ⑦⑤, 9, 7,Ｈカネトシリベルテ, 72,安部幸, 1.0, 73,  -1,   3, 8, 32.1, ②②
10, 9,Ｈインタｰメディア, 47,船曳文, 4.4, 30,  -4, -23,10,132.4,⑦③⑥,10,12, スナｰクマイハｰト,,出津孝,203.7,,,, 8, 36.3,⑧⑩⑩,10,11,Ｏトウホクビジン, 44,安部幸, 1.2, 55,  -8,   5,15,270.8, ⑩⑫,,,,,,,,,,,,
11, 7,Ｇロｰズオブゴッホ, 51,武幸四, 5.1, 28,  -6, -26, 5, 31.4,⑧⑧⑩,11, 6, ダンスグランドゥ,,佐久間,205.7,,,,12,127.0,⑫⑪⑪,11,13, ストロングヒロイン,---,下原理, 1.6, 53, -15,* 10,14,239.3, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,12, 4, トロピカルロマンス,,小坂忠,208.4,,,,11,103.0,⑪⑫⑫,12,10,Ｌキタノオハナ, 59,池添謙, 1.7, 50, -10,   2,11, 73.4, ⑫⑪,,,,,,,,,,,,
,,,,,,,,,,,,13, 5, クリノオンディｰヌ,,白坂聡,225.7,,,,13,154.3,⑬⑬⑬,13, 1,Ｄマコトエレンシア, 65,デムｰ, 1.9, 48,  -5,  -6, 7, 31.5, ⑥④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｋエンジェルアリス, 60,田村太, 1.9, 48,  -7,  -2,16,284.8, ⑪⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｍフジフｰフｰ, 56,船曳文, 2.1, 47, -11,   0,13,185.6, ⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｈレッドレイク, 63,四位洋, 3.0, 41, -18,   1, 6, 25.1, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
