09年 9月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉2歳ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｈトｰコｰブロンコ, 45,武豊  ,, 65,  -8,*  7, 1,  2.1, ⑧⑨, 1,12, アグネスティンクル,---,武豊  ,, 59,* -5,* -2, 1,  1.8, ②②, 1,14,Ａジョｰシンドバッド, 70,武豊  ,, 71,   7,*  2, 1,  2.4,③⑤④, 1,13,Ｃジュエルオブナイル, 70,鮫島良,, 70,*  0,*  3, 2,  3.6, ③②
 2, 8,Ｃバンダムクラウス, 55,佐藤哲, 0.2, 62,* -1,  -2, 3,  4.7, ③④, 2, 8, ケイエスケイト,---,幸英明, 0.2, 57,* -4,  -6, 3, 10.9, ①①, 2, 3,Ｅリリｰプレジャｰ, 65,浜中俊, 0.4, 67,*  8,  -5, 5, 12.9,⑦③③, 2,14,Ｆダッシャｰゴｰゴｰ, 65,佐藤哲, 0.0, 68,  -3,*  5, 5, 12.6, ⑤④
 3, 1,Ｂフライトハｰン, 59,飯田祐, 0.7, 56, -14,*  3, 5, 12.9, ⑨⑧, 3,13, アスカクリチャン,---,酒井学, 0.4, 53, -11,* -2, 9, 59.3, ⑧⑤, 3,12,Ｇサザンオｰカン, 63,松山弘, 0.6, 63,   5,* -1,11, 99.0,⑧⑨⑧, 3, 2,Ｅオレンジティアラ, 66,小牧太, 0.4, 65,*  2,  -3, 4,  8.2, ①①
 4,12,Ｉヤマニンガｰゴイル, 41,松山弘, 0.8, 55,  -3,  -9, 6, 14.8, ⑤⑦, 4,14, ユキノヒｰロｰ,---,太宰啓, 0.5, 52,  -8,  -6, 2,  3.0, ④④, 4,16,Ｆテイケイメルベイユ, 64,熊沢重, 0.6, 66,*  9,  -8, 8, 35.5,④②②, 4,11,Ａサリエル, 76,福永祐, 0.5, 63,  -5,   1, 1,  3.6, ⑨⑪
 5, 6,Ｄマイネルガヴロシュ, 55,幸英明, 0.9, 54,  -7,  -6, 4,  9.1, ⑥⑤, 5, 4, ライブリフライト,---,佐藤哲, 0.6, 50, -16,*  0, 5, 16.4, ⑪⑦, 5,11,Ｈキャラバンシチｰ, 57,生野賢, 0.8, 65,   4,*  0,15,331.4,⑬⑩⑩, 4,10,Ｌパリスドｰル, 49,浜中俊, 0.5, 63,  -5,   2, 9, 23.5, ⑧⑩
 6,10,Ｅアイファｰハイカラ, 53,浜中俊, 1.1, 52,  -3, -13, 7, 28.3, ④⑥, 6, 7, カシノミニパイン,---,大下智, 1.0, 45, -16,  -5, 7, 35.9, ⑬⑫, 6, 4,Ｊタガノブリガデイロ, 56,小牧太, 1.2, 61,*  9, -13, 4,  9.3,①①①, 6, 4,Ｊメイショウウズシオ, 58,飯田祐, 0.7, 60,  -7,   0, 6, 13.5, ⑪⑧
 7, 2,Ｆテイエムバイタル, 47,小牧太, 1.3, 49,*  0, -18, 8, 40.1, ①①, 7, 9, ドントキリシマ,---,小牧太, 1.3, 42, -25,*  0, 6, 33.3, ⑭⑭, 7, 9,Ｄシルクフェイブル, 66,鮫島克, 1.3, 62,   5,  -6, 9, 49.4,⑤⑥⑥, 7, 6,Ｇベネラ, 65,熊沢重, 0.8, 58,  -4,  -4,11, 43.1, ⑦⑨
 8, 5,Ｊシャイニｰベスト, 38,田嶋翔, 1.4, 47,  -8, -11,11,320.1, ⑦②, 8, 6, ハマノツｰステップ,---,渡辺薫, 1.4, 41, -15, -11,14,181.8, ⑫⑪, 8,15,Ｂマイネルカルツェ, 69,佐藤哲, 1.4, 59,   7, -13, 2,  3.2,⑨④⑤, 8, 8,Ｍダンツミラション, 48,国分恭, 0.9, 58, -11,   2,12, 77.3, ⑭⑭
