09年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,10,Ｆマｰスキッス, 50,角田晃, 3.5, 29,   3, -40, 8, 45.6, ⑨⑫,,,,,,,,,,,,,12,15,Ｌシルクプリヴェイル, 51,酒井学, 3.9, 46,   1, -21,10,110.4,⑥⑦⑩,12,12,Ｊリッタｰヴォルト, 71,小牧太, 0.7, 69,   7,  -4, 4,  8.0, ④⑤
13, 7,Ｋシゲルオカメノカタ, 30,赤木高, 3.6,  5, -25, -13,13,558.4, ⑬⑬,,,,,,,,,,,,,13, 2,Ｎシゲルウマミヤマ, 49,幸英明, 3.9, 45,  -5, -10,15,505.9,⑫⑫⑫,13,11,Ｋミスズアロハ, 70,中村将, 1.0, 65,  -3,   1,14,147.0, ⑬⑭
14, 4,Ｎプロスペクタス, 12,佐藤哲, 6.9,-45, -33, -48,14,622.5, ⑭⑭,,,,,,,,,,,,,14, 9,Ｍベアオンワｰド, 50,熊沢重, 5.3, 40, -17,  -2,12,219.2,⑮⑮⑮,14, 9,Ｌゴｰルドステイブル, 70,熊沢重, 3.8, 28,   4, -42, 8, 21.9, ⑧⑪
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｏバトルバットマン, 32,和田竜, 6.6, 28,  -6, -33,14,312.4,⑪⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:360円 複勝:09=160円 02=900円 06=300円 枠連:4,590円",,,,,,,,,,,,単勝:380円 複勝:05=120円 08=110円 01=220円 枠連:280円,,,,,,,,,,,,"単勝:390円 複勝:05=180円 11=360円 06=390円 枠連:1,080円",,,,,,,,,,,,"単勝:300円 複勝:01=160円 14=190円 03=1,060円 枠連:750円",,,,,,,,,,,
"馬連:5,690円 ワイド:02-09=1,420円 06-09=490円 02-06=1,660円",,,,,,,,,,,,馬連:270円 ワイド:05-08=150円 01-05=400円 01-08=350円,,,,,,,,,,,,"馬連:2,090円 ワイド:05-11=620円 05-06=810円 06-11=1,520円",,,,,,,,,,,,"馬連:890円 ワイド:01-14=430円 01-03=3,260円 03-14=4,620円",,,,,,,,,,,
"馬単:7,720円 3連複:8,050円 3連単:49,660円",,,,,,,,,,,,"馬単:830円 3連複:790円 3連単:3,920円",,,,,,,,,,,,"馬単:3,470円 3連複:6,890円 3連単:34,050円",,,,,,,,,,,,"馬単:1,490円 3連複:17,680円 3連単:68,880円",,,,,,,,,,,
■ 2R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,秋吉台特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄガンダｰラ, 63,和田竜,, 69,*  2,*  1, 5, 13.9,①①①, 1,14,Ｌニシノアンクレット, 47,松山弘,, 70,*  7,* -5, 1,  3.7, ③③, 1,10,Ｊロックオブサリサ, 67,小牧太,, 78,   6,*  6, 1,  2.2, ⑦⑤, 1,11,Ｊファディクト, 62,田中健,, 73,*  8,   3, 8, 44.8, ①①
 2, 5,Ｃゴｰルデンゴｰル, 66,幸英明, 0.3, 66,*  0,* -1, 1,  2.3,⑭④③, 2, 6,Ｄフェリスホイｰル, 57,福永祐, 0.3, 64,   3,* -4, 4,  7.3, ⑦⑤, 2, 8,Ｑカヴァリエ, 55,福永祐, 0.1, 75,   3,*  7, 2,  4.4, ⑩⑨, 2, 5,Ａシゲルカサギヤマ, 74,幸英明, 0.0, 70,  -1,*  9, 3,  4.6, ⑦④
 3, 8,Ｂメイショウサｰバル, 68,松山弘, 0.6, 62,  -1,  -3, 4,  5.8,③⑤④, 3, 4,Ｉナンゴクシャンテ, 48,大下智, 0.5, 61,   3,  -7,16,140.8, ⑥④, 3, 3,Ｅパスピエ, 72,鮫島良, 0.4, 76,* 11,  -4, 4, 12.1, ①①, 3,12,Ｆパワｰウェｰブ, 67,角田晃, 0.6, 66,  -6,*  6, 6, 14.3, ⑩⑫
 4,13,Ａボウイナイフ, 69,福永祐, 0.8, 60,  -1,  -5, 2,  4.3,⑥⑥⑤, 4, 1,Ｍトシザレイクブルｰ, 43,小牧太, 0.9, 54,  -6,* -3, 8, 19.7, ⑫⑫, 4, 6,Ｈミキノクレシェンド, 70,熊沢重, 0.4, 74,* 10,  -3,10, 37.6, ②②, 4, 1,Ｇスニｰカｰブルｰス, 67,福永祐, 0.7, 65,   0,   2, 1,  3.3, ⑥③
 5,12,Ｅルナフライト, 59,石橋守, 0.9, 58,  -4,* -2, 3,  4.9,⑨⑨⑧, 5,17,Ｃラガｰキセキ, 58,上村洋, 1.2, 57,* 10, -22, 6,  9.0, ①①, 5, 4,Ｍジョウショｰアロｰ, 62,幸英明, 0.5, 69,   0,*  5,11, 39.2, ⑫⑪, 5, 6,Ｂタニノジュレップ, 71,鮫島良, 0.9, 65,*  6,  -3, 2,  3.4, ②②
 6,14,Ｈナナイロカメン, 56,太宰啓, 1.6, 52,  -2, -14, 8, 50.8,⑦⑧⑨, 6, 2,Ｊスズカワキア, 48,国分恭, 1.3, 49,  -1, -14,15,133.6, ⑩⑨, 6, 5,Ｆメイショウルシェロ, 72,飯田祐, 0.8, 67,   5,  -3, 3,  8.5, ⑧⑦, 6,14,Ｈメイショウタカチホ, 66,田中克, 0.9, 63,  -1,   1, 7, 16.9, ⑨⑨
 7, 4,Ｇクｰルヴァンクル, 57,国分恭, 1.6, 51,  -3, -14, 7, 31.4,⑪⑦⑥, 7, 9,Ａチャｰムタンポポ, 65,幸英明, 1.3, 54,*  8, -23, 2,  6.0, ②②, 7, 1,Ｃアドマイヤアモｰレ, 73,上村洋, 0.8, 68,*  9,  -7, 9, 29.0, ③③, 7, 4,Ｅフェミニンワイルド, 69,鈴来直, 1.0, 60,  -9,   5, 4,  8.9, ⑫⑪
 8,16,Ｉネオグラティア, 54,小牧太, 1.8, 50,*  1, -23,11,156.3,④③②, 8,15,Ｆキｰビュｰティｰ, 51,酒井学, 1.5, 46,  -4, -14,13, 66.4, ⑪⑩, 8, 7,Ｂニホンピロタルト, 79,酒井学, 0.9, 67,*  8,  -8, 5, 13.3, ④④, 8,13,Ｉボムクイｰン, 63,赤木高, 1.0, 60, -11,*  7,10, 56.9, ⑬⑬
 9,10,Ｋキタサンダｰリン, 49,佐藤哲, 2.0, 49,  -7,  -6, 9, 76.7,⑯⑮⑫, 9, 8,Ｂナタｰシャ, 58,田中健, 1.5, 47, -13,* -4, 9, 28.4, ⑰⑯, 9,12,Ｏフェルロッサｰ, 59,石橋守, 0.9, 63,   0,   0,14,174.9, ⑭⑫, 9,10,Ｍアサケボｰイ, 60,植野貴, 1.2, 59,  -1,  -2,14,238.1, ⑧⑧
10, 7,Ｎナリタホワイト, 41,渡辺薫, 2.0, 50,  -7, -11,12,205.9,⑧⑫⑩,10,10,Ｈシノギダンサｰ, 50,鮫島良, 1.6, 45,  -8, -11,11, 49.1, ⑯⑭,10, 9,Ａハッピｰプレゼント, 79,生野賢, 1.0, 64,   6,  -7, 6, 14.0, ⑥⑧,10, 2,Ｄテンシノボストン, 70,中村将, 1.4, 55,  -9,   1,13, 79.8, ⑪⑩
11, 3,Ｆエンクｰ, 59,赤木高, 2.3, 46,  -9,  -9,10,131.8,⑮⑯⑮,11,12,Ｇサンライズゴｰルド, 50,飯田祐, 1.8, 42,  -9, -12,10, 41.7, ⑮⑬,11, 2,Ｋムｰヴ, 66,安藤光, 1.2, 60,   2,  -5,15,216.0, ⑪⑬,11, 9,Ｎレイナウッド, 41,松山弘, 2.2, 49,   2, -13, 9, 55.4, ⑤⑦
12,15,Ｏエムオｰパラダイス, 34,安藤光, 3.6, 32,  -4, -40,15,462.0,⑩⑩⑪,12,11, デュプレクイｰン,---,赤木高, 1.9, 44, -19,* -4,17,200.2, ⑱⑱,12,14,Ｉニュｰホｰプ, 68,赤木高, 1.3, 59,   1,  -5, 7, 19.3, ⑬⑮,12, 7,Ｃアラマサスクワｰト, 70,佐藤哲, 2.2, 49,*  4, -15, 5, 10.5, ③⑤
13, 6, ヘイセイユニバｰス,---,熊沢重, 3.9, 31,*  0, -53, 6, 23.6,②②⑦,13,18,Ｋキャメロンバロｰズ, 47,角田晃, 1.9, 44,   4, -27, 5,  7.5, ⑤⑦,13,18,Ｌゼットファｰスト, 62,渡辺薫, 1.5, 56,  -2,  -6,18,384.8, ⑰⑰,13, 3,Ｌドンペリゴｰル, 61,石橋守, 2.3, 48, -13,  -5,11, 57.0, ⑭⑭
14,11,Ｌワンズタｰン, 44,北沢伸, 4.1, 28,  -7, -42,16,611.4,⑬⑬⑬,14, 3,Ｎエムテイハチマン, 37,熊沢重, 2.0, 42,   2, -25,14,108.8, ⑨⑧,14,16,Ｐナイトスズラン, 58,鈴来直, 1.5, 55,  -2,  -6,17,368.2, ⑯⑯,14, 8,Ｋアイリッシュカフェ, 61,国分恭, 2.5, 47,   2, -15,12, 59.0, ④⑥
15, 2,Ｍワンダｰキング, 41,田中健, 4.5, 27,  -6, -50,14,266.6,⑤⑪⑭,14, 7,Ｅマイネレｰヌ, 53,和田竜, 2.0, 43,*  6, -29, 7, 10.3, ④⑥,15,15,Ｇシゲルハスラット, 71,太宰啓, 1.7, 55,   5, -15, 8, 23.3, ⑨⑩,,,,,,,,,,,,
16, 1,Ｊシｰソブリン, 53,角田晃, 4.6, 26,  -7, -47,13,235.7,⑫⑭⑯,16,13, マンテンママ,---,佐久間, 2.7, 33,  -6, -26,18,252.8, ⑬⑮,16,13,Ｒラストダンス, 50,和田竜, 2.0, 49,  -1, -14,16,310.7, ⑮⑭,,,,,,,,,,,,
,,,,,,,,,,,,17,16, タガノミザｰル,---,畑端省, 3.3, 25,   3, -43, 3,  6.7, ⑧⑪,17,17,Ｎワイルドイリｰガル, 60,角田晃, 2.8, 42,*  8, -33,13, 56.5, ⑤⑥,,,,,,,,,,,,
,,,,,,,,,,,,18, 5, サクラスイｰトピｰ,---,佐藤哲, 5.3,-11,  -9, -57,12, 56.4, ⑭⑰,18,11,Ｄキｰミヤビ, 72,佐藤哲, 2.9, 36,  -5, -21,12, 53.2, ⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-5),,,,,,,,,,,
"単勝:1,390円 複勝:09=290円 05=120円 08=180円 枠連:860円",,,,,,,,,,,,"単勝:370円 複勝:14=160円 06=260円 04=2,850円 枠連:1,600円",,,,,,,,,,,,単勝:220円 複勝:10=120円 08=170円 03=230円 枠連:360円,,,,,,,,,,,,"単勝:4,480円 複勝:11=1,000円 05=230円 12=350円 枠連:1,120円",,,,,,,,,,,
"馬連:1,380円 ワイド:05-09=620円 08-09=970円 05-08=290円",,,,,,,,,,,,"馬連:1,470円 ワイド:06-14=630円 04-14=3,730円 04-06=8,800円",,,,,,,,,,,,"馬連:660円 ワイド:08-10=290円 03-10=490円 03-08=1,080円",,,,,,,,,,,,"馬連:13,030円 ワイド:05-11=3,150円 11-12=4,750円 05-12=1,030円",,,,,,,,,,,
"馬単:3,690円 3連複:2,280円 3連単:20,410円",,,,,,,,,,,,"馬単:2,500円 3連複:53,120円 3連単:185,960円",,,,,,,,,,,,"馬単:1,010円 3連複:2,450円 3連単:8,440円",,,,,,,,,,,,"馬単:34,860円 3連複:39,770円 3連単:371,620円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,都井岬特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, スナｰクマイハｰト,,高野容,,,,, 3,  4.5,③①①, 1, 1,Ｄメイショウケンロク, 62,高橋亮,, 65,   3,* -5, 6,  9.7,⑮⑫⑨, 1, 5,Ａロｰザブランカ, 75,角田晃,, 73,  -7,* 12, 1,  1.7,⑧⑦⑤, 1, 4,Ａメイショウアサガオ, 80,佐藤哲,, 75,   5,*  9, 2,  4.6,⑪⑥⑥
 2, 7, タマモサプライズ,,林満明,192.4,,,,10, 46.5,④②②, 2, 3,Ｂヒミノリュウオウ, 64,田中克, 0.0, 64,   9, -18, 5,  8.3,⑨⑦④, 2, 4,Ｋリッカロイヤル, 60,小牧太, 0.0, 69,* -4,*  6, 3,  7.7,②③③, 2, 5,Ｂアマゾネスバイオ, 80,国分恭, 0.3, 72,   5,   6, 4,  6.4,⑫⑤⑤
 3, 9, オｰトホｰク,,今村康,192.4,,,, 2,  3.6,⑤③③, 3,12,Ａアｰリｰスプリング, 66,福永祐, 0.2, 63,   6, -13, 1,  3.7,⑪⑨⑦, 3, 9,Ｈカネトシレジアス, 63,和田竜, 0.3, 63,* -1,  -3, 9, 37.0,①①①, 3, 8,Ｅウォｰタｰリング, 76,福永祐, 0.6, 72,   4,   6, 5, 11.9,⑩⑧⑧
 4, 8, ニシノプライド,,熊沢重,193.2,,,, 1,  2.4,②⑤④, 4, 4,Ｅミシュランシチｰ, 60,佐藤哲, 0.4, 58,   9, -23, 3,  6.8,⑦⑥②, 4, 7,Ｃファンドリキセキ, 71,幸英明, 0.3, 66,  -6,   5, 2,  5.0,⑤⑥⑥, 4,11,Ｉクリノソｰニャ, 68,幸英明, 0.6, 71,   4,*  8,14,215.1,⑬⑪⑦
 5, 6, エイシンキャップ,,白浜雄,193.8,,,, 9, 43.8,⑧⑦⑥, 5,17, ダンシングラプタｰ,---,小牧太, 0.6, 60,   2,* -8, 4,  6.9,⑯⑯⑭, 5, 2,Ｂマルカレガｰト, 71,赤木高, 0.6, 60,* -4,  -3, 5, 15.5,③②②, 5, 9,Ｍホクトスワン, 61,鮫島良, 0.7, 71,   1,* 11, 9, 33.1,⑭⑭⑪
 6, 4, キシリトｰル,,小坂忠,194.8,,,, 7, 25.8,⑥④⑤, 6, 2,Ｇミスズジャック, 55,上村洋, 0.7, 60,   1,* -7,10, 31.1,⑭⑰⑮, 6, 6,Ｅマサヒトボｰイ, 66,田嶋翔, 0.6, 61,  -6,  -1,10, 56.6,④⑤④, 6,15,Ｆエンシャントアｰツ, 73,赤木高, 0.8, 68,*  6,   0, 6, 18.2,①①①
 7,10, レスポンスシチｰ,,北沢伸,195.4,,,, 8, 32.5,⑦⑥⑦, 7, 6,Ｆファンドリリｰダｰ, 55,和田竜, 0.7, 60,   3, -12,13, 82.7,⑰⑭⑫, 7,12,Ｆモンサンミシェル, 64,中村将, 0.9, 60,  -8,   1, 4, 11.9,⑦⑧⑧, 7,12,Ｃミコノス, 80,田中健, 0.9, 69,   5,   1, 1,  2.4,⑤④④
 8, 5, マルブツキング,,佐久間,198.3,,,, 5, 15.5,⑨⑧⑧, 8,14,Ｃエリモキスミｰ, 63,国分恭, 0.9, 55,* 13, -39, 7, 10.1,②①①, 8,11,Ｊビビッドビビアン, 61,石橋守, 1.0, 57,  -8,   0,12,140.0,⑨⑨⑨, 8, 2,Ｊイニミタブル, 67,石橋守, 1.2, 70,   4,   1,15,264.0,④⑦⑨
 9,12, カシノダンク,,金折知,198.6,,,,11,219.7,⑩⑨⑨, 9,13,Ｈテンシノザｰル, 55,中村将, 1.2, 53,   6, -28,14, 95.0,⑩⑧⑤, 9, 3,Ｉミッキｰスタｰ, 63,福永祐, 1.1, 61, -11,   5, 6, 18.7,⑩⑩⑩, 9, 6,Ｐピイエフドルチェ, 53,太宰啓, 1.6, 64,*  6,  -6,10, 59.4,③③③
10,11, テイエムライダｰ,,高井彰,200.5,,,,12,234.3,⑫⑩⑩,10,16,Ｉサンマルエミネム, 50,野元昭, 1.3, 53,   5, -25,16,309.0,⑬⑪⑪,10,10,Ｇホｰクウィンザｰ, 63,田中健, 1.2, 56,  -5,  -7, 7, 20.5,⑥④⑦,10, 7,Ｎガｰデンスタイル, 60,小牧太, 1.6, 65,  -1,   6,12,113.1,⑮⑮⑭
11, 3, マヤノカタナ,,西谷誠,204.6,,,, 6, 17.3,⑪⑪⑪,11,11,Ｎテイエムドルフィン, 45,佐久間, 1.5, 51,   5, -28, 2,  6.5,⑫⑩⑩,11, 1,Ｌプリティｰキャット, 59,田中克, 2.8, 46, -19,  -1, 8, 34.0,⑫⑫⑪,11,14,Ｄキャナレット, 77,熊沢重, 1.8, 63,   4,  -3, 7, 27.1,⑨⑨⑩
,,,,,,,,,,,,12, 8,Ｏサクラフジビュｰ, 41,角田晃, 1.5, 52,* 14, -47,11, 48.7,⑥②③,12, 8,Ｄグランプリスマイル, 67,佐藤哲, 3.8, 27, -18, -20,11, 86.5,⑪⑪⑫,12, 3,Ｇオデットシチｰ, 73,和田竜, 2.2, 59,*  6, -11, 3,  5.8,②②②
,,,,,,,,,,,,13,15,Ｍレインボｰマジック, 45,熊沢重, 2.4, 45,  11, -53, 8, 16.2,⑤⑤⑧,,,,,,,,,,,,,13,13,Ｌワキノキルシェ, 65,橋本美, 2.5, 62,   4,  -6,13,154.9,⑧⑫⑫
,,,,,,,,,,,,14, 9,Ｋオｰロツェッキｰノ, 48,酒井学, 2.5, 44,  11, -54, 9, 21.5,③④⑥,,,,,,,,,,,,,14,16,Ｋシルバｰビｰト, 66,上村洋, 2.7, 57,   1,  -8,11, 89.3,⑦⑬⑮
,,,,,,,,,,,,15,10,Ｊアウロｰラ, 50,松山弘, 4.5, 10,  10, -86,15, 96.3,①③⑬,,,,,,,,,,,,,15,10,Ｏマルノリｰサ, 53,大下智, 3.6, 50,   3, -17,16,325.2,⑥⑩⑬
