09年 1月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1700m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,はこべら賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｅミリアム, 55,中舘英,, 62,*  2,*  6, 7, 14.7,②②②, 1,14,Ｈブライティアピア, 46,丸田恭,, 59,   4,  -3, 8, 28.1, ④③, 1,11,Ｃデュカス, 71,上村洋,, 73,*  5,   5, 6, 11.7, ②③, 1, 8,Ａメイショウイエミツ, 78,中舘英,, 74,*  1,* 12, 2,  4.4,②②②
 2,14,Ａクリノサンデｰママ, 65,川島信, 0.0, 60,*  3,*  6, 1,  1.9,①①①, 2, 8,Ｅマンテンパパ, 49,佐久間, 0.2, 58,  -6,*  5, 9, 31.3, ⑨⑦, 2,13,Ｄエイシンイッテン, 71,丸田恭, 0.0, 72,   2,   7, 5, 10.4, ⑤②, 2, 9,Ｂドクタｰラオウ, 75,長谷川, 0.7, 73,*  1,   7, 1,  1.9,③③③
 3,10,Ｄフレｰバｰティｰ, 56,石橋脩, 0.7, 57,*  0,   2, 5, 12.4,③③③, 3, 3,Ｋチャｰムアンサｰ, 42,藤岡康, 0.3, 56,   5,  -7, 5,  7.4, ③④, 3, 4,Ｆラスカルデュｰク, 68,古川吉, 0.1, 73,  -3,* 10, 2,  4.4, ⑧⑦, 3, 3,Ｃジョｰメテオ, 74,的場勇, 0.7, 70,  -1,  10, 3,  7.6,④⑥④
 4, 2,Ｃスイｰトフロｰラル, 56,草野太, 1.3, 53,   0,  -1, 8, 21.2,⑦⑤④, 4, 6,Ｃマヤノマヤ, 54,津村明, 0.4, 55,  -1,  -3, 1,  3.9, ⑥⑧, 4, 8,Ａマイティｰキラｰ, 74,藤岡康, 0.3, 69,   2,   4, 1,  3.4, ④⑤, 4,11,Ｉハギノリベラ, 67,中村将, 1.1, 67,  -5,* 14,10, 77.0,⑯⑭⑭
 5, 5,Ｂカツヨグラッチェ, 64,鮫島良, 1.5, 54,  -2,   0, 2,  6.7,⑥⑦⑥, 5, 5,Ｌカフェアラジン, 40,石橋脩, 0.4, 55,   2,  -6, 4,  6.9, ⑤⑤, 5,16,Ｂフォレストジャガｰ, 74,中舘英, 0.4, 69,*  8,   0, 3,  5.9, ①①, 5, 7,Ｄワｰルドワイド, 70,上村洋, 1.2, 67,   0,   5, 6, 17.8,⑤④⑤
 6, 9,Ｋカバｰドブリッジ, 51,丸田恭, 1.6, 51,  -1,  -3,11, 42.0,④⑥⑦, 6, 2,Ｉフリｰソウル, 46,小林久, 0.4, 54,  -2,  -2,11, 41.8, ⑦⑥, 6,10,Ｅデスコベルタ, 69,北村友, 0.6, 63,  -8,   8, 4,  6.3, ⑪⑨, 6, 6,Ｈディアテクノバトル, 67,古川吉, 1.2, 68,  -1,   6, 7, 23.8,⑧⑦⑦
 7, 1,Ｈビヨンドマイリｰチ, 52,藤岡康, 1.7, 51,  -4,   1, 3,  9.8,⑧⑩⑨, 7, 7,Ｆパラダイスデイ, 47,中村将, 0.5, 54,  -9,*  3,13,150.8, ⑭⑭, 7,15,Ｈレディオｰロラ, 66,赤木高, 0.7, 65,*  5,  -1, 9, 29.2, ③④, 7, 5,Ｊテｰオｰマｰス, 66,藤岡康, 1.3, 64,*  1,   2, 9, 45.7,①①①
 8, 8,Ｌチャｰムピｰス, 50,田中健, 1.7, 51,  -2,  -2,10, 30.8,⑩⑧⑧, 8,11,Ｄワニタレスタリ, 53,西田雄, 0.6, 52, -10,*  3, 3,  5.8, ⑬⑫, 8, 2,Ｋイナズマレオ, 63,的場勇, 0.8, 63, -11,   8, 7, 14.2, ⑬⑪, 8, 1,Ｅツクバタイヨウ, 70,赤木高, 1.5, 63,  -1,   5, 4, 10.5,⑦⑨⑧
 9,13,Ｉインファンシｰ, 52,安藤光, 1.8, 50,  -4,   3,14,142.3,⑯⑬⑭, 9,12,Ｂレｰシングレデイｰ, 58,鮫島良, 0.8, 50,  -5,  -4, 6, 12.9, ⑫⑬, 9, 6,Ｏキクノジュピタｰ, 57,大野拓, 0.8, 63, -14,* 11,14,189.4, ⑭⑬, 9, 2,Ｇエルチョコレｰト, 69,鮫島良, 1.5, 68,  -3,   9, 5, 13.0,⑩⑬⑪
10, 3,Ｏフミノタカラ, 38,長谷川, 1.8, 56,  -5,*  4,12, 54.9,⑭⑮⑮,10, 1,Ａマヤフィオｰレ, 66,中舘英, 1.0, 48,*  9, -20, 2,  4.0, ①①,10, 3,Ｊクレバｰグレイス, 64,中村将, 1.1, 60,   1,  -2, 8, 21.9, ⑥⑥,10,15,Ｏリロ, 46,津村明, 1.9, 61,  -1,   1,13,244.9,⑫⑩⑨
11, 6,Ｆデルバｰル, 53,赤木高, 2.1, 49,  -5,   2,13, 96.7,⑪⑭⑬,11,15,Ｐミカエフェクト, 25,岩部純, 1.0, 48, -14,*  2,16,314.8, ⑯⑯,11, 1,Ｐティｰビスティｰ, 53,荻野琢, 1.1, 62,  -3,   1,15,205.3, ⑦⑧,11, 4,Ｌマイネルプエルト, 62,丸田恭, 2.2, 59,  -3,   1,11, 83.5,⑪⑪⑫
