09年 9月13日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月13日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-21,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,魚沼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｋテイエムマイヒメ, 23,武士沢,, 32, -17,*-16,10, 60.3,   , 1, 2, グロｰリｰステップ,---,吉田隼,, 50, -11,* -6, 1,  2.4, ③③, 1, 5,Ｃスイｰトカルタゴ, 72,中舘英,, 80,  11,*  0, 1,  2.5, ⑧⑨, 1, 3,Ａラッシュストリｰト, 83,赤木高,, 83,* 14,   7, 2,  3.0,①①①
 2,10,Ｌサンレイラヴ,-98,吉田隼, 0.2, 17, -38,* -4, 7, 16.0,   , 2, 7, エフテｰグンダイ,---,小野次, 0.4, 46,* -6, -16, 4,  8.4, ①①, 2, 4,Ｆシングンリタｰンズ, 71,武士沢, 0.6, 72,  11,* -7, 5, 10.4, ⑪⑩, 2, 4,Ｆチノハテマデモ, 75,木幡初, 0.3, 80,  12,   8, 6, 17.8,⑤③④
 3, 2,Ｆクロリス, 40,的場勇, 0.3, 36,* -6, -27, 6, 14.5,   , 3, 6, ジョディｰズライン,---,中舘英, 0.4, 45,* -9, -14, 2,  2.7, ②②, 3, 8,Ｂメイショウベｰネ, 72,大野拓, 0.7, 71,  12, -13, 3,  5.6, ⑤⑤, 3, 1,Ｄジョｰモルデュｰ, 77,的場勇, 0.5, 82,  10,* 11, 5, 16.0,⑥⑦⑦
 4, 7,Ｂクリノキンバリｰ, 40,高橋亮, 0.5, 29, -12, -25, 4,  8.9,   , 4,11, アカシロｰレル,---,宮崎北, 1.2, 34, -18, -15,10, 71.0, ⑦⑦, 4,11,Ｄゴスラｰ, 72,宮崎北, 0.8, 69,  12, -13, 8, 21.7, ⑥⑥, 4, 5,Ｂクリストフォルス, 79,中舘英, 0.5, 79,* 13,   3, 1,  1.8,②②②
 5,11,Ｃエコドライブ, 40,西田雄, 0.9, 20, -22, -24, 9, 39.3,   , 5, 8, セレブシチｰ,---,二本柳, 1.3, 33, -11, -23, 6, 25.6, ⑤⑤, 5, 7,Ａセイカカリンバ, 72,的場勇, 1.0, 66,* 15, -23, 2,  5.3, ①①, 5, 9,Ｃトップコマチ, 78,吉田隼, 0.6, 81,  12,   5, 7, 18.5,④④③
 6, 8,Ｅアポロサニｰナ, 40,中舘英, 1.3, 16, -14, -35, 1,  2.6,   , 6,10, シャイニｰハリアｰ,---,大野拓, 1.6, 30, -11, -27, 8, 45.0, ④④, 6,10,Ｉマイネルレギメント, 67,木幡初, 1.0, 67,  12, -17, 6, 11.5, ⑨⑦, 6, 6,Ｉキングブライト, 73,武士沢, 0.7, 78,  10,   8, 8, 24.1,⑧⑧⑧
 7, 6,Ｈジュエリｰフラン, 32,田嶋翔, 1.8,  6, -18, -39, 8, 35.8,   , 7, 5, プラチナサマンサ,---,丹内祐, 1.8, 28, -17, -22,11, 90.4, ⑥⑥, 7, 2,Ｇロｰレルベルロｰド, 68,荻野琢, 1.1, 65,   8, -10, 4,  7.9, ⑦⑪, 7, 2,Ｈダンサｰズブロンド, 74,大野拓, 0.8, 79,  12,   5, 3, 13.1,③⑤⑤
 8, 9,Ｉメジロアンジェリｰ, 30,黛弘人, 1.8,  7, -14, -42, 3,  7.2,   , 8, 1, タガノアブシンベル,---,古川吉, 2.0, 27, -32, -11, 3,  6.2, ⑨⑧, 8,12,Ｊシデンカイ, 64,草野太, 1.1, 67,  12, -18,10, 73.3, ⑩⑧, 8, 7,Ｅタンゴノセック, 75,荻野琢, 1.3, 78,   7,* 10, 9, 93.1,⑨⑨⑨
