09年 9月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浦安特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａハｰドパワｰ, 61,吉田豊,, 69,* -9,* 10, 2,  3.2, ①①, 1, 3, エヒテンヴィｰゼ,,江田勇,,,,, 3,  4.4,②①①, 1,10,Ａバロンビスティｰ, 80,勝浦正,, 73,* -1,* 14, 1,  1.9,③③②, 1, 3,Ａハイエモｰション, 83,後藤浩,, 85,* 13,   9, 3,  5.7, ②②
 2, 4,Ｃフランジパニ, 56,戸崎圭, 0.3, 67, -13,* 10, 5, 21.0, ③②, 2, 9, ムｰンレスナイト,,五十嵐,193.9,,,, 2,  3.2,①②②, 2, 9,Ｂケイジｰジュニアｰ, 80,松岡正, 0.4, 71,  -1,  12, 3,  5.6,④⑤③, 2,11,Ｂアｰリｰアメリカン, 81,勝浦正, 0.9, 77,  11,   3, 1,  2.4, ④⑤
 3, 1,Ｂブラックジョｰク, 60,田中勝, 1.0, 57, -17,   5, 3,  5.9, ⑦⑤, 3, 8, ヨシエンデュランス,,山本康,194.0,,,, 1,  2.6,③③③, 3, 6,Ｄシルクアルバス, 74,戸崎圭, 0.6, 71,  -3,* 15, 9, 60.8,⑨⑩⑨, 3, 5,Ｄフェｰルクｰクｰ, 79,横山典, 0.9, 77,   6,   8, 7, 22.7, ⑦⑦
 4, 2,Ｇヴィｰナススマイル, 42,柴田善, 1.0, 58, -21,   9, 7, 57.0, ⑧⑧, 4, 7, ショウナンナイト,,宗像徹,194.1,,,, 6, 15.7,⑤⑤⑤, 4, 5,Ｉサトノハピネス, 67,的場勇, 0.8, 69,  -1,   9, 7, 35.2,⑥⑥④, 4, 7,Ｊテイエムゲンキボ, 69,丸田恭, 1.0, 76,  -1,* 13, 9, 99.8, ⑩⑩
 5, 3,Ｄプリンシプルレディ, 54,内田博, 1.3, 52, -16,   0, 4,  9.3, ⑥⑦, 5, 1, エイワハヤブサ,,横山義,194.7,,,, 5, 11.0,④④④, 5, 4,Ｇマイネルパルティア, 72,丸田恭, 1.1, 66,  -1,   6, 6, 24.2,⑦⑦⑦, 5, 8,Ｆエｰシンドゥベタｰ, 75,内田博, 1.0, 77,   9,   4, 4,  7.3, ⑥⑥
 6, 5,Ｅモンスティル, 49,北村宏, 1.5, 48, -16,  -3, 8, 58.9, ⑤⑥, 6, 2, ヤマタケゴｰルデン,,高野和,199.7,,,, 4,  8.5,⑨⑦⑦, 6, 7,Ｃクリスオフトレイル, 75,北村宏, 1.1, 65,*  0,   5, 5, 18.8,⑤④⑤, 6, 9,Ｃツウカイヤスナム, 79,木幡初, 1.1, 74,* 13,  -1, 2,  3.2, ①①
 7, 8,Ｈサイモンドルチェ, 39,蛯名正, 2.1, 41, -12, -15, 1,  1.9, ②③, 7, 5, ユウタｰフラッシュ,,蓑島靖,204.1,,,, 8, 68.4,⑧⑧⑧, 7, 3,Ｅゴｰルデンハインド, 73,後藤浩, 1.2, 65,  -2,   8, 2,  3.1,⑩⑨⑩, 7, 2,Ｉラオムフェｰレ, 70,的場勇, 1.1, 76,   5,   7,11,142.5, ⑧⑧
 8, 6,Ｆハｰトエコ, 46,松岡正, 2.1, 41, -13, -14, 6, 27.6, ④④, 8, 4, ナムラウシワカマル,,穂苅寿,208.3,,,, 7, 30.7,⑥⑥⑥, 8, 2,Ｈゴｰアップドラゴン, 69,内田博, 1.6, 64,*  0,   0, 4, 17.3,②②①, 8, 6, カルカリア,---,戸崎圭, 1.2, 74,  -1,* 12, 8, 38.3, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,, 9, 8,Ｆボナパルト, 73,蛯名正, 1.6, 64,  -1,   3, 8, 48.5,⑧⑧⑧, 9, 1,Ｇチャｰムキャップ, 74,蛯名正, 1.2, 75,   8,   3, 6, 19.2, ⑤④
,,,,,,,,,,,,,,,,,,,,,,,,10, 1,Ｊジョニｰロｰド, 62,横山典, 5.6, 36,*  1, -34,10, 74.2,①①⑥,10, 4,Ｅジャドｰル, 78,松岡正, 1.5, 71,  12,  -4, 5, 15.6, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,Ｈトウショウアタック, 71,吉田豊, 1.9, 67,  -5,   9,10,124.9, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
