09年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 5,11, トップディアマンテ,,今村康,189.1,,,, 1,  3.1,③③②, 5,14,Ｊアイエスプラスワン, 53,幸英明, 0.6, 57, -10,   0, 2,  5.3, ⑨⑦, 5, 2,Ｂウォｰタｰセレネ, 81,酒井学, 0.3, 81,  -1,  18, 4,  5.1,⑤⑤⑥, 5,13,Ｇタマモウィナｰ, 70,田中健, 0.7, 69,*  6,   1,11, 37.2,①①①
 6, 3, マックスチャンプ,,高田潤,190.1,,,, 6, 34.1,⑩⑧⑦, 6, 9,Ｇイサミゴｰルド, 55,田中健, 0.8, 55, -14,*  1,10, 33.4, ⑫⑩, 6, 7,Ｃマドンナブラボｰ, 80,中村将, 0.5, 75,*  0,  10, 8, 35.2,②②②, 6, 9,Ｅパルクエスト, 73,藤岡康, 0.7, 70,*  6,   1, 1,  3.7,②②②
 7, 2, ミヤジレオン,,小坂忠,190.5,,,, 8, 37.8,①①③, 7,18,Ｂドリｰムバンブｰ, 60,太宰啓, 1.0, 52,  -6,  -9, 5,  7.1, ⑥④, 7, 8,Ｉサイレンスゴｰルド, 67,渡辺薫, 0.5, 81,  -5,  19, 9,113.3,⑨⑧⑨, 7,11,Ｆジェンティリティｰ, 72,赤木高, 0.9, 69,   3,   5, 8, 18.4,④⑥⑥
 8, 1, アザンクｰル,,佐久間,191.4,,,,11,109.2,⑨⑩⑩, 8,13,Ｋリバｰポンキｰ, 48,田村太, 1.1, 50,  -6, -11,18,492.5, ④⑤, 8, 3,Ｈシゲルエスペレ, 74,太宰啓, 0.6, 77,  -3,  16, 7, 18.3,⑧⑦⑦, 8, 1,Ｉアウラスタｰ, 68,小牧太, 1.2, 67,   2,   5, 4,  7.1,⑩⑫⑩
 9, 6, メイショウコンボイ,,菊地昇,191.6,,,, 9, 41.8,⑧⑨⑨, 9, 6,Ｄリズムシチｰ, 57,石橋守, 1.2, 48, -18,   0,12,169.5, ⑮⑫, 9, 5,Ｇロｰズプレステｰジ, 74,武豊  , 0.7, 77,  -4,  17, 5,  7.4,⑩⑩⑩, 9,10,Ｂテイエムカイブツ, 75,大下智, 1.4, 65,*  5,  -3,10, 22.1,③④④
10,10, グリュｰエント,,西谷誠,191.6,,,, 5, 10.5,④⑦⑧,10,12,Ｈスエヒロブリリアン, 55,国分恭, 1.2, 48, -10,  -8, 9, 29.9, ⑧⑨,10, 4,Ｊウイニングザバロン, 60,生野賢, 0.9, 73,  -3,  12,10,223.1,⑦⑨⑧,10, 3,Ｋシゲルカイノセ, 66,太宰啓, 1.4, 67,   0,   6,13, 58.7,⑮⑬⑬
11, 7, メイショウチョイス,,高野容,192.2,,,,10, 56.3,⑪⑪⑪,11,15,Ｍサマニレディｰ, 46,荻野要, 1.4, 46, -18,  -3,13,175.5, ⑯⑭,,,,,,,,,,,,,11,12,Ｎエイシンダッシュ, 61,幸英明, 1.4, 65,   3,   1, 7, 16.8,⑨⑧⑧
,,,,,,,,,,,,12, 7,Ｌキｰビュｰティｰ, 48,松山弘, 1.5, 44, -18,  -4,11, 45.2, ⑭⑬,,,,,,,,,,,,,12, 7,Ｏクルワザｰド,  3,酒井学, 1.8, 65,  -1,   4,15, 93.8,⑬⑮⑭
,,,,,,,,,,,,13, 4,Ｎピｰチパトラ, 45,赤木高, 1.6, 44, -28,*  4,17,310.6, ⑱⑰,,,,,,,,,,,,,13,14,Ｃメルシｰコバン, 75,松山弘, 1.8, 59,   2,  -1, 6, 12.9,⑥⑨⑫
,,,,,,,,,,,,14,11,Ｏレモネｰドバンブｰ, 38,小牧太, 1.7, 43, -26,*  1,14,184.4, ⑰⑱,,,,,,,,,,,,,14, 5,Ｌマルブツデヒア, 64,国分恭, 1.9, 67,   2,   0,12, 42.5,⑫⑩⑪
,,,,,,,,,,,,15, 3,Ｃマイプレファランス, 58,飯田祐, 1.7, 42, -14, -11, 7, 13.3, ⑪⑪,,,,,,,,,,,,,15,15,Ｊイマジンノココロヲ, 68,武豊  , 2.6, 59,   0,  -4, 5, 12.9,⑭⑭⑮
,,,,,,,,,,,,16,16,Ｐトップナデシコ, 37,高橋亮, 2.5, 32, -15, -20,16,300.4, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 5, シェムリアップ,---,川田将, 2.7, 30,  -7, -30, 8, 21.3, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 2,Ｑカシノライフ, 25,大下智, 3.7, 16, -14, -37,15,229.2, ⑩⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
単勝:380円 複勝:08=170円 05=190円 12=560円 枠連:880円,,,,,,,,,,,,"単勝:570円 複勝:10=220円 01=280円 08=220円 枠連:2,350円",,,,,,,,,,,,単勝:390円 複勝:06=140円 01=130円 10=150円 枠連:720円,,,,,,,,,,,,"単勝:430円 複勝:04=180円 06=400円 08=230円 枠連:3,430円",,,,,,,,,,,
"馬連:1,020円 ワイド:05-08=390円 08-12=970円 05-12=1,370円",,,,,,,,,,,,"馬連:2,350円 ワイド:01-10=750円 08-10=620円 01-08=790円",,,,,,,,,,,,馬連:660円 ワイド:01-06=240円 06-10=330円 01-10=290円,,,,,,,,,,,,"馬連:3,260円 ワイド:04-06=1,210円 04-08=650円 06-08=1,540円",,,,,,,,,,,
"馬単:2,020円 3連複:7,020円 3連単:28,600円",,,,,,,,,,,,"馬単:4,380円 3連複:3,920円 3連単:24,080円",,,,,,,,,,,,"馬単:1,430円 3連複:910円 3連単:4,610円",,,,,,,,,,,,"馬単:5,360円 3連複:6,210円 3連単:36,890円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
