09年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｐマイレボルｰション, 39,藤岡康, 2.9, 46,*  6, -28, 9, 51.4,④③⑨,13, 4,Ｋハスフェル, 86,渡辺薫, 1.5, 78,  -1,  19,15,140.3,⑮⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｋホクザンフリｰダム, 49,野元昭, 2.9, 46,   2, -20,14,319.4,⑭⑭⑮,14,16,Ｏダノンビクトリｰ, 82,上村洋, 1.7, 73,   3,   9,12,110.8,②④⑦
,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｏゴｰルドキｰパｰ, 46,田中健, 3.4, 42,*  7, -34,15,320.8,①①①,15, 8,Ｈキングブレｰヴ, 87,松山弘, 2.0, 69,   2,  11, 9, 33.2,⑥⑩⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｌエイシンラｰジヒル, 85,和田竜, 2.4, 69,   1,   6,11, 37.9,⑩⑨⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:0),,,,,,,,,,,
"単勝:200円 複勝:06=110円 09=450円 01=140円 枠連:1,020円",,,,,,,,,,,,単勝:330円 複勝:08=130円 07=120円 06=150円 枠連:340円,,,,,,,,,,,,"単勝:550円 複勝:01=290円 15=500円 03=1,150円 枠連:2,660円",,,,,,,,,,,,単勝:660円 複勝:10=230円 14=220円 05=490円 枠連:590円,,,,,,,,,,,
"馬連:1,380円 ワイド:06-09=340円 01-06=170円 01-09=1,280円",,,,,,,,,,,,馬連:440円 ワイド:07-08=220円 06-08=340円 06-07=290円,,,,,,,,,,,,"馬連:3,800円 ワイド:01-15=1,060円 01-03=2,470円 03-15=4,870円",,,,,,,,,,,,"馬連:1,840円 ワイド:10-14=790円 05-10=1,490円 05-14=1,720円",,,,,,,,,,,
"馬単:2,300円 3連複:2,210円 3連単:11,370円",,,,,,,,,,,,"馬単:980円 3連複:790円 3連単:3,770円",,,,,,,,,,,,"馬単:7,540円 3連複:39,480円 3連単:196,900円",,,,,,,,,,,,"馬単:3,620円 3連複:10,560円 3連単:52,410円",,,,,,,,,,,
