09年12月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009ｺﾞｰﾙﾃﾞﾝ ﾌﾞｰﾂ ﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｇケイエスシンアカリ, 47,幸英明,, 46,   5,* -8, 7, 35.0, ⑨⑧, 1,14,Ｎヤマニンシャスｰル, 44,ゴメス,, 62,  15,*-17,17,338.5, ⑯⑬, 1,10,Ａピンクペガサス, 77,武豊  ,, 78,* 12,   2, 1,  3.6, ①①, 1, 8,Ｃタガノプルミエｰル, 81,横山典,, 88,   1,* 18, 2,  3.9,⑨⑧⑧
 2,12,Ａマイネルレガｰロ, 67,ルメｰ, 0.0, 49,* 14, -16, 1,  1.4, ②②, 2,18,Ｃアドマイヤツバサ, 60,岩田康, 0.1, 60,  15,*-18, 7, 21.6, ⑭⑫, 2, 8,Ｉピュアマリｰン, 70,石橋守, 0.1, 75,   2,* 12,10, 31.3, ⑯⑫, 2, 7,Ｇグッドバニヤン, 76,メンデ, 0.2, 86,   1,  14, 6, 11.1,⑥⑦⑥
 3, 9,Ｉシゲルツキヤマドノ, 38,川島信, 0.2, 49,* 15, -18,12,288.3, ①①,11, 3,Ｈセイルラｰジ, 55,ルメｰ, 0.1, 60,  19, -27, 2,  3.1, ⑥⑤, 3, 1,Ｂグロッキｰバルボア, 77,ルメｰ, 0.1, 75,* 11,   2, 6, 10.6, ②⑤, 3, 6,Ｏマヤノゴクウ, 70,キネｰ, 0.4, 86,  -2,* 18,10, 36.3,⑬⑭⑬
 4, 8,Ｋキセキ, 37,田中健, 0.2, 48,  10, -14,10, 49.0, ⑦⑦, 3,15,Ｏドリｰムセｰリング, 43,内田博, 0.2, 60,  18, -24,10, 42.7, ⑪⑪, 4,12,Ｊクイックメｰル, 70,小牧太, 0.3, 74,* 11,   1, 8, 24.1, ③②, 4, 3,Ｍキクノプログレッソ, 72,秋山真, 0.5, 83,   0,  12,15,164.0,⑩⑪⑩
 5, 7,Ｂシュンセイ, 57,和田竜, 0.2, 47,  10, -14, 5, 23.9, ⑥⑥, 4, 5,Ｅアスカクリチャン, 56,武豊  , 0.6, 56,   9,*-14, 4, 16.4, ⑱⑯, 5, 5,Ｃザドライブ, 75,内田博, 0.3, 72,   2,* 10, 3,  5.8, ⑬⑮, 5, 5,Ａキングストリｰト, 81,ムｰア, 0.5, 81,   1,  10, 1,  3.0,⑤④⑤
 6, 2,Ｄラブコマドリｰ, 52,ゴメス, 0.4, 45,  10, -16, 4, 20.6, ⑤⑤, 5,13,Ｍスマｰトグリッド, 46,和田竜, 0.7, 56,   8,*-12, 9, 39.8, ⑰⑱, 6,11,Ｅフレンチクラシック, 73,福永祐, 0.3, 74,   8,   3, 2,  4.3, ⑦④, 6,10,Ｄソラヲカケル, 79,ルメｰ, 0.5, 80,   2,   8, 5,  9.4,④⑤③
 7, 1,Ｈタガノムｰンダスト, 47,赤木高, 0.9, 37,   0, -11, 8, 46.3, ⑪⑩, 6, 9,Ｄデンコウオクトパス, 58,国分恭, 0.9, 53,  19, -37, 8, 28.7, ⑨⑦, 7, 7,Ｄキクノフレヴァン, 74,藤岡佑, 0.5, 71,   7,   4, 4,  8.8, ⑧⑨, 7,11,Ｊスカイリュウホｰ, 74,岩田康, 0.7, 82,   0,  13, 7, 16.5,⑮⑮⑮
 8,11,Ｆキタサンメｰル, 49,野元昭, 1.0, 43,  12, -23, 9, 48.1, ③④, 7,11,Ｐマンノプレミアム, 43,松山弘, 1.0, 52,  13, -27,14,202.6, ⑬⑮, 8,15,Ｆトｰホウボガｰド, 71,岩田康, 0.5, 70,   2,*  8, 7, 18.3, ⑭⑬, 8,14,Ｂドリｰムライナｰ, 81,武豊  , 0.7, 76,*  3,   3, 3,  8.5,②②②
 9,13,Ｌグランプリオｰジｰ, 29,藤岡康, 1.1, 40,* 13, -25, 6, 27.8, ④③, 8,17,Ｌシルクコスモス, 47,ウィリ, 1.2, 50,  18, -38,15,295.6, ⑩⑨, 9, 4,Ｇテイエムクレナイ, 70,古川吉, 0.8, 70,   9,  -2, 5,  8.8, ④③, 9,12,Ｌテイエムヒリュウ, 73,ホワイ, 0.7, 80,  -1,  11,14,148.2,⑪⑫⑭
10,10,Ｍメイショウジハｰド, 26,田中克, 1.2, 36,  -5,* -9,11,220.6, ⑬⑬, 9,10,Ａディオメデス, 64,藤田伸, 1.2, 50,* 21, -47, 1,  2.3, ④③,10, 3,Ｈベストフェット, 70,的場文, 0.8, 69,   8,  -1, 9, 26.8, ⑤⑦,10,15,Ｉオカゲサマデ, 75,ウィリ, 0.8, 81,  -1,  11, 9, 23.6,⑭⑬⑫
11, 5,Ｅサダムシンプウ, 49,岩田康, 1.3, 34,  -4, -11, 2,  4.9, ⑫⑫,10, 7,Ｉサンライズモｰル, 52,川田将, 1.4, 49,  19, -45, 5, 18.6, ③⑥,11,13,Ｌオｰゴンシャトル, 65,川田将, 1.2, 65,   7,  -4,11, 32.4, ⑨⑥,11,13,Ｎセイカジｰベック, 71,藤田伸, 1.3, 70,   2,  -4,13,115.9,③③④
