09年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,赤富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 2,Ｊメインカレント, 35,後藤浩, 6.6, 16,   1, -57, 9, 45.1, ②④,12, 7, リュウシンゴｰルド,---,伊藤工, 1.0, 35,*-31,  -5,18,300.3,①①①,12, 2,Ｌベレンバン, 62,秋山真, 1.1, 63,*  5,  -3,11,182.5, ③③,12,10,Ｈパｰプルイｰグル, 85,柴山雄, 1.5, 76,*  4,  12, 9, 34.9,⑭⑨⑥
,,,,,,,,,,,,13,16, ユメノサキガケ,---,松岡正, 1.1, 39, -35,   2, 5, 16.9,⑫⑩⑩,13, 4,Ｍフレアリングロｰズ, 59,郷原洋, 1.5, 61,  -2,   2,14,314.2, ⑪⑩,13, 2,Ｅメンデル, 86,角田晃, 1.7, 77,   3,  14, 6, 19.7,⑦⑪⑫
,,,,,,,,,,,,14,12, クリノオペラオｰ,---,柴田善, 1.1, 42, -39,   9,15,235.4,⑭⑯⑰,14, 9,Ｉマジュスキュｰル, 63,柴山雄, 2.1, 57,  -5,   2,12,237.0, ⑭⑮,14, 6,Ｏモチ, 79,柴田善, 2.5, 72,   2,   9,14,111.6,⑬⑮⑯
,,,,,,,,,,,,15, 1, ウメニウグイス,---,鈴来直, 1.2, 36, -35,  -1,17,287.2,⑧⑧⑦,15, 3,Ｏラクエン, 49,小林淳, 4.2, 40,  -5, -17,15,444.0, ⑩⑭,15,14,Ｉアドマイヤミリオン, 83,田中勝, 2.7, 67,*  4,   1,13, 83.9,⑥④④
,,,,,,,,,,,,16, 3, グランデカｰポ,---,小野次, 1.3, 38, -38,   3,16,255.4,⑬⑫⑫,,,,,,,,,,,,,16,16,Ｎマルブツクロス, 80,小林久, 2.7, 67,*  4,   1,16,319.2,⑩⑧⑤
,,,,,,,,,,,,17,13, ウィッシュボｰン,---,北村宏, 1.3, 33, -35,  -2,11, 87.2,⑦⑪⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,18, オリオンザアルファ,---,吉田隼, 1.8, 30, -38,  -4,13,180.6,⑨⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:0),,,,,,,,,,,
単勝:390円 複勝:07=130円 12=200円 08=110円 枠連:440円,,,,,,,,,,,,"単勝:710円 複勝:14=200円 06=480円 02=160円 枠連:1,110円",,,,,,,,,,,,単勝:420円 複勝:12=150円 13=190円 10=440円 枠連:830円,,,,,,,,,,,,"単勝:710円 複勝:15=230円 04=310円 08=130円 枠連:3,010円",,,,,,,,,,,
"馬連:3,150円 ワイド:07-12=600円 07-08=140円 08-12=330円",,,,,,,,,,,,"馬連:5,640円 ワイド:06-14=1,560円 02-14=540円 02-06=1,010円",,,,,,,,,,,,"馬連:780円 ワイド:12-13=310円 10-12=1,270円 10-13=1,670円",,,,,,,,,,,,"馬連:4,450円 ワイド:04-15=1,440円 08-15=510円 04-08=800円",,,,,,,,,,,
