09年 3月22日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月22日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岡崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａキタサンハナミチ, 63,宮崎北,, 69,*  2,*  4, 1,  2.6, ①①, 1, 7,Ａティｰガｰ, 58,的場勇,, 63,* -4,   1, 3,  5.2, ①①, 1,10,Ｆメイショウタメトモ, 70,古川吉,, 74,*  5,  10, 7, 35.1,④③③, 1, 7,Ｂロｰテレジｰナ, 73,石橋脩,, 78,*  5,   5, 3,  8.9,③④④
 2, 5,Ｂレッドハイヒｰル, 60,角田晃, 0.7, 63,*  0,  -2, 2,  3.8, ②②, 2,18,Ｅキュｰトシルフ, 50,飯田祐, 0.4, 59,* -7,  -1, 2,  4.5, ④③, 2,12,Ｅマヤノカタナ, 70,松田大, 0.3, 69,*  5,   6,10, 70.3,③②②, 2, 4,Ａスマｰトレディｰ, 74,安藤光, 0.2, 74,   3,   5, 4,  9.8,⑦⑦⑦
 3, 8,Ｄマルヨモザｰ, 52,北村友, 0.8, 60,* -1,  -2, 4, 10.9, ③③, 3, 2,Ｂヴィトンクイｰン, 56,田中博, 0.4, 60, -14,*  5, 1,  3.4, ⑧⑧, 3, 4,Ｂアイソトｰプ, 74,丸田恭, 0.3, 67,*  4,   7, 2,  4.0,②④④, 3, 3,Ｄレディｰビスティｰ, 72,鮫島良, 0.4, 73,   0,*  8, 2,  4.3,⑪⑪⑪
 4,12,Ｉマザｰロｰド, 43,中舘英, 1.1, 56,  -7,  -1, 6, 13.2, ⑦⑥, 4,17,Ｇトリプルスレット, 48,丸田恭, 0.4, 58, -14,*  5, 5, 10.2, ⑨⑨, 4, 6,Ｃキャプテンマジン, 74,角田晃, 0.4, 71,   0,* 13, 4, 10.6,⑬⑩⑨, 4,12,Ｇスモｰキｰクォｰツ, 71,西田雄, 0.4, 72,   1,   6,10, 18.7,⑯⑫⑫
 5, 3,Ｍリンガスアクトレス, 37,西田雄, 1.1, 57,  -7,  -1,10, 39.4, ④④, 5, 1,Ｄモリトアヤメ, 50,小野寺, 0.6, 57, -16,*  5, 6, 15.6, ⑫⑩, 5,11,Ｏラビシュスペンダｰ, 46,宮崎北, 0.6, 66,   0,  10,12,119.6,⑨⑨⑩, 5,16,Ｅアｰスシンボル, 72,丸田恭, 0.5, 69,   1,   4, 7, 12.1,⑨⑩⑨
 6, 6,Ｆラインディオｰネ, 47,丸山元, 1.9, 50,  -6,  -8, 3,  7.4, ⑥⑦, 6,15,Ｈロｰズタトゥ, 47,赤木高, 0.6, 56,* -6,  -5,11, 58.7, ②②, 6,13,Ｄスリｰベイダｰ, 73,国分恭, 0.7, 65,   3,   5, 3,  8.7,⑤⑥⑥, 6,11,Ｃネオベロｰナ, 73,赤木高, 0.5, 69,   3,   0, 5, 10.5,⑧⑤⑤
 7,15,Ｎハワイアンシェｰナ, 33,黛弘人, 2.8, 39, -23,  -4,15,147.4, ⑮⑬, 7,11,Ｉコスモミッチャン, 47,石橋脩, 0.7, 58, -10,   0, 8, 25.7, ⑥⑦, 7, 3,Ａオｰミプレシャス, 77,川島信, 0.7, 65,   0,* 12, 1,  1.9,⑮⑮⑫, 7, 2,Ｉサンワｰドヒラリｰ, 68,北村友, 0.5, 74,  -1,* 11,12, 39.1,⑫⑬⑬
 8,13,Ｊソラウララ, 41,増沢由, 3.1, 37, -17, -10, 7, 17.1, ⑭⑮, 8, 3,Ｍシュバルツカレラ, 35,安藤光, 0.8, 54,  -8,  -5,10, 35.3, ③④, 8, 1,Ｋコンセンチメント, 65,中舘英, 0.8, 63,*  5,   1, 5, 11.4,①①①, 8, 8,Ｌヴァリアントレディ, 64,渡辺薫, 0.7, 69,*  6,  -7, 8, 14.7,②②②
