09年12月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,逆瀬川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅマカニビスティｰ, 53,川島信,, 69,  -2,*  9, 7, 41.8, ⑩⑧, 1, 8,Ｄレディアルバロｰザ, 56,熊沢重,, 56,*-18,   0, 5, 14.9, ①①, 1, 4, オｰミフォレスト,---,田島裕,, 43,* -5,*-18, 4,  8.9,①①①, 1, 6,Ｃナリタクリスタル, 87,武豊  ,, 87,   9,  11, 1,  2.2, ⑥⑥
 2, 9,Ｂサダムトウコン, 58,和田竜, 0.9, 64,   3,  -3, 2,  8.4, ④④, 2,10,Ａラフェクレｰル, 62,福永祐, 0.3, 55,*-21,*  2, 1,  1.9, ③③, 2, 1, サンライズマジック,---,武豊  , 0.1, 43,* -6,*-17, 1,  1.9,⑥③③, 2,10,Ｊブｰケフレグランス, 73,四位洋, 0.0, 87,  10,   8, 6, 18.4, ③③
 3, 1,Ｄクｰルジャズ, 53,藤岡佑, 1.0, 66,*  9,  -9, 3,  9.6, ①①, 3,11,Ｇロｰザフィオｰレ, 51,秋山真, 0.5, 52, -22,   0, 4, 11.9, ⑤⑤, 3, 5, ライクアゲイル,---,岩田康, 0.5, 40,  -7, -19, 5, 10.7,②②②, 3, 7,Ａベルベットロｰド, 91,藤岡佑, 0.2, 87,   7,* 14, 3,  5.8, ⑧⑧
 4,10,Ａトｰホウカツトップ, 68,武豊  , 1.6, 58,   2,  -8, 1,  1.3, ⑥⑤, 4, 1,Ｃフラッパｰウィング, 57,藤田伸, 0.6, 51, -22,  -1, 3,  7.2, ④④, 4, 2, イケイケゴｰゴｰ,---,藤田伸, 1.9, 31,  -7, -30, 2,  3.9,⑤④④, 4, 9,Ｅスマｰトステｰジ, 86,村田一, 0.3, 86,   5,* 15, 5, 11.5, ⑨⑨
 5, 3,Ｇトップオブカハラ, 51,熊沢重, 1.7, 56,  -1,  -7, 9, 53.5, ⑧⑦, 5, 2,Ｊカクテルロｰズ, 48,高橋亮, 0.6, 52, -25,*  3, 9, 34.1, ⑦⑦, 5, 3, トップオペラ,---,和田竜, 1.9, 32,  -8, -28, 6, 25.3,③⑤⑤, 5, 4,Ｈウィルビｰキング, 79,赤木高, 0.4, 83,   9,   5, 8, 42.7, ⑤⑤
 6, 4,Ｃスペシャルイモン, 54,幸英明, 1.9, 52,  -7,  -2, 6, 23.8, ⑫⑪, 6, 7,Ｅマイネキラ, 55,和田竜, 0.7, 48,*-20,  -7, 6, 15.0, ②②, 6, 6, サクラメテオ,---,安藤勝, 5.9,  0,  -8, -63, 3,  4.8,④⑥⑥, 6, 2,Ｄスペルバインド, 86,藤田伸, 0.5, 83,   9,   5, 2,  3.9, ④④
 7, 7,Ｈキセキ, 48,福永祐, 2.3, 51,   0, -13, 5, 20.0, ⑤⑥, 7,12,Ｌタキオンコウショウ, 42,浜中俊, 1.0, 49, -27,   0, 7, 22.1, ⑧⑧,,,,,,,,,,,,, 7, 3,Ｆフライングメリッサ, 82,安藤勝, 0.5, 80,* 20, -18, 7, 35.4, ①①
 8, 6,Ｉメグチャン, 48,浜中俊, 2.4, 54,*  6, -18, 4, 15.2, ②②, 8, 5,Ｆヤマカツマヤリス, 53,武豊  , 1.2, 48, -31,*  5, 2,  4.3, ⑪⑪,,,,,,,,,,,,, 8, 1,Ｂダイレクトキャッチ, 89,岩田康, 0.6, 81,   6,   8, 4,  6.6, ⑦⑦
