09年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,12,Ｅアグネスクイｰン, 56,浜中俊, 4.0, 41,* -2, -25, 4,  8.7,⑭⑦⑥,12, 4, ダンツタフネス,---,角田晃, 3.0, 37, -22, -11,14,127.3, ⑯⑯,12,13, テｰオｰマグナム,---,福永祐, 2.4, 58,   0,  -4,12, 88.0, ⑭⑯,12,12,Ｍフルブラッサム, 79,蛯名正, 1.3, 73,   7,   4,12, 56.5, ⑩⑩
13, 3,Ｍアウト, 41,高橋亮, 4.1, 41,  -5, -20,12,130.6,⑩⑪⑬,13, 5, マッシヴジェネラル,---,熊沢重, 3.2, 32,*  4, -48, 7, 38.6, ②⑤,13, 4,Ｈヒロノバイオ, 70,吉田稔, 2.6, 56,   0,  -7,10, 58.3, ⑫⑭,13, 1,Ｄグランプリサクセス, 84,小牧太, 1.5, 70,  -2,* 14, 6, 17.1, ⑯⑯
14, 4,Ｌシルクマイヒメ, 44,上村洋, 5.0, 37,  -5, -28, 9, 64.5,⑪⑬⑭,14,13, テンシノアスタｰ,---,吉田稔, 3.7, 13, -19, -23,16,185.6, ⑮⑮,14, 2,Ｍカワチノオジサン, 62,熊沢重, 2.6, 57,   3, -10,13,111.5, ⑨⑩,14, 9,Ｊブラックシャドウ, 80,熊沢重, 1.7, 71,* 15, -10,15, 91.3, ③③
,,,,,,,,,,,,15, 1, ホッコｰボンバｰ,---,飯田祐, 4.0, 25,  -5, -46, 9, 65.7, ⑨⑪,15, 7,Ｇアップカントリｰ, 70,武豊  , 2.7, 56,   6, -15, 5, 11.9, ⑤⑤,15, 3,Ｏビッグポパイ, 74,鮫島良, 1.7, 70,   5,   4,16,209.8, ⑪⑪
,,,,,,,,,,,,16, 3, シルクオンステｰジ,---,酒井学, 4.1, 11, -13, -37,13,100.8, ⑫⑭,16, 8,Ｌサクラグロｰリｰ, 63,藤岡康, 3.0, 54,*  8, -21,11, 75.7, ①①,16, 2,Ｐダイナマイトボディ, 68,吉田稔, 2.1, 66,   2,   3,13, 60.9, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,
単勝:250円 複勝:06=110円 10=140円 01=120円 枠連:640円,,,,,,,,,,,,"単勝:140円 複勝:15=110円 07=2,180円 02=150円 枠連:2,310円",,,,,,,,,,,,単勝:180円 複勝:12=120円 14=180円 11=350円 枠連:550円,,,,,,,,,,,,"単勝:400円 複勝:08=170円 04=290円 06=660円 枠連:1,470円",,,,,,,,,,,
馬連:730円 ワイド:06-10=250円 01-06=180円 01-10=280円,,,,,,,,,,,,"馬連:8,560円 ワイド:07-15=2,990円 02-15=160円 02-07=4,220円",,,,,,,,,,,,"馬連:640円 ワイド:12-14=280円 11-12=680円 11-14=1,450円",,,,,,,,,,,,"馬連:1,230円 ワイド:04-08=680円 06-08=1,730円 04-06=3,140円",,,,,,,,,,,
"馬単:1,220円 3連複:590円 3連単:3,080円",,,,,,,,,,,,"馬単:9,210円 3連複:8,800円 3連単:53,630円",,,,,,,,,,,,"馬単:820円 3連複:3,620円 3連単:10,630円",,,,,,,,,,,,"馬単:2,800円 3連複:13,180円 3連単:51,290円",,,,,,,,,,,
