09年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｴﾆﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａヒットジャポット, 62,武豊  ,, 63,* -6,   0, 2,  3.6, ②②, 1, 9, クレイジｰドライブ,---,武豊  ,, 57,  -4,* -3, 1,  1.8, ④④, 1,16,Ａメイショウボンハオ, 80,武豊  ,, 81,   2,* 15, 1,  1.8, ⑬⑧, 1,16,Ｋグロリアスノア, 81,小林慎,, 86,   8,* 16, 3,  4.9, ⑨⑩
 2,10,Ｃラプリマステラ, 57,福永祐, 0.0, 68, -10,*  8, 3,  5.1, ⑬⑬, 2, 3, テイエムジパング,---,佐久間, 0.1, 57,* -3,* -5, 3,  5.3, ②②, 2,10,Ｆカラメルマキアｰト, 74,福永祐, 0.3, 78,*  7,   7, 2,  4.3, ④③, 2,13,Ｇマイプリティワン, 83,小牧太, 0.3, 84,   5,* 19, 7, 25.3, ⑯⑭
 3, 8,Ｅロｰザミスティカ, 52,小牧太, 0.2, 66,  -8,*  3, 5,  9.8, ⑨⑨, 3, 4, オミヤゲ,---,国分恭, 0.8, 51,  -6,  -8, 6, 17.1, ⑤⑤, 3,13,Ｂシｰアクロス, 76,大下智, 0.6, 75,*  7,   4, 6, 26.6, ②②, 3, 6,Ａランザロｰテ, 92,武豊  , 0.3, 85,  11,  10, 1,  2.3, ⑤④
 4,13,Ｆマコトヴォイジャｰ, 52,川田将, 0.4, 61,  -9,  -2, 1,  3.0, ⑦⑦, 4, 1, ダテノスイミｰ,---,和田竜, 1.4, 46,  -4, -15, 2,  4.5, ③③, 4, 5,Ｌライフストリｰム, 68,国分恭, 0.7, 76,   6,   5,13,183.6, ③④, 4,15,Ｆタマモホットプレイ, 83,幸英明, 0.4, 84,   9,  12,11, 40.4, ⑧⑧
 5, 7,Ｄシルクアｰネスト, 55,松山弘, 0.5, 57,  -8,  -6, 6, 10.7, ③④, 5, 7, タイセイグリッタｰ,---,小牧太, 2.5, 35,* -3, -26, 4, 10.0, ①①, 5, 3,Ｊウルスラグナ, 69,岩田康, 0.7, 75,   5,   6, 4, 21.7, ⑥⑦, 5, 4,Ｃテイエムアクション, 86,和田竜, 0.8, 81,  10,   7, 8, 28.6, ⑦⑦
 6,14,Ｂシルクゴスホｰク, 59,藤岡佑, 0.5, 61, -10,   1, 4,  6.3, ⑫⑫, 6, 2, シゲルカンスケ,---,酒井学, 2.6, 34, -16, -14, 7, 25.2, ⑧⑧, 6,12,Ｏサクラアビリティｰ, 59,藤岡佑, 0.9, 74,  -1,* 12, 8, 34.1, ⑯⑮, 6, 7,Ｏクｰルシャロｰン, 74,蛯名正, 1.0, 78,  10,   4, 6, 21.0, ⑥⑤
 7, 9,Ｉケイアイマックス, 45,岩田康, 0.5, 60, -10,   1, 7, 29.5, ⑪⑪, 7, 5, ゴｰルドロザリｰ,---,田中克, 3.1, 30,  -9, -26, 8,115.8, ⑦⑥, 7,14,Ｃウォｰタｰリング, 76,小牧太, 0.9, 74,   0,* 10, 5, 22.4, ⑫⑭, 7,10,Ｈダンディズム, 82,福永祐, 1.0, 79,   7,   9,10, 38.5, ⑫⑪
 8, 1,Ｍヤマニンシャスｰル, 35,和田竜, 0.7, 53,* -5, -15,10,140.8, ①①, 8, 8, ホｰプフルボｰイ,---,浜中俊, 3.2, 30, -24, -11, 5, 12.8, ⑨⑨, 8,15,Ｍスｰパｰマｰクン, 64,武幸四, 1.2, 73,   5,   2, 7, 29.1, ⑨⑥, 8, 8,Ｅタガノサイクロン, 85,池添謙, 1.3, 75,   5,   9, 5, 19.5, ⑮⑯
 9,11,Ｌエイシンナナツボシ, 39,蛯名正, 0.7, 55,  -8,  -9,11,189.5, ⑤⑤, 9, 6, シゲルマサムネ,---,石橋守, 3.4, 28,  -8, -29, 9,125.9, ⑥⑦, 9, 2,Ｇファイナルパンチ, 71,渡辺薫, 1.2, 72,   2,   5,11, 74.3, ⑩⑨, 9,14,Ｍダンツキッスイ, 77,太宰啓, 1.4, 76,* 13,  -2,12, 70.9, ③③
10,12,Ｈテｰオｰケンシン, 46,藤岡康, 0.8, 55,  -9,  -6, 9, 66.9, ⑩⑩,,,,,,,,,,,,,10, 7,Ｈスズカブリザｰド, 71,川田将, 1.3, 69,   5,   1, 9, 52.2, ⑤⑤,10, 2,Ｉウォｰタｰオｰレ, 82,藤岡佑, 1.6, 73,   7,   3,14,244.6, ⑩⑨
11, 3,Ｋヒシボｰルドウィン, 41,石橋守, 1.3, 50,  -8, -13,12,194.2, ⑧⑧,,,,,,,,,,,,,11, 4,Ｄマｰブルデイビｰ, 75,松山弘, 1.5, 67,   0,   5,10, 55.3, ⑭⑪,11, 9,Ｂクィｰンオブキネマ, 88,岩田康, 1.7, 74,* 14,  -6, 2,  3.9, ②②
