09年12月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,元町ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａヤマカツハクリュウ, 69,池添謙,, 57,* -1,  -1, 1,  1.4,①①①, 1,13, マイネルアルセｰヌ,,平沢健,,,,,12,107.1,②①①, 1,13, ザタイキ,---,藤田伸,, 47, -38,  13, 1,  1.9, ④④, 1, 5,Ｈプロヴィナｰジュ, 80,佐藤哲,, 86,* 13,   9, 3,  5.4,②②②
 2, 3,Ｊメメビｰナス, 47,武豊  , 0.0, 61,  -8,* 14, 7, 39.0,⑮⑭⑪, 2, 2, ナナヨｰヒマワリ,,林満明,200.4,,,, 1,  2.4,⑤④④, 2, 6, タバルナ,---,佐藤哲, 0.2, 48, -44,* 20, 7, 32.8, ⑬⑫, 2,10,Ａレッドシュｰタｰ, 89,武豊  , 0.2, 87,   7,* 20, 1,  1.8,⑩⑩⑩
 3, 2,Ｂダテノスイミｰ, 61,内田博, 0.1, 59,  -3,*  4, 2,  5.1,⑥⑥⑤, 3, 1, シｰスピアｰ,,高田潤,200.6,,,, 4, 11.7,④⑥⑤, 3, 8, ティボリペガサス,---,池添謙, 0.3, 41,*-35,   4, 5, 16.8, ①①, 3, 1,Ｄアドマイヤスペｰス, 81,川田将, 0.5, 85,  11,   9, 6, 23.2,④④④
 4,12,Ｉテイエムバイタル, 50,小牧太, 0.1, 56,* -2,  -1, 9, 41.0,②②②, 4, 9, スプリングカエサル,,白浜雄,201.8,,,, 2,  3.1,③③②, 4,11, グロリアスフラワｰ,---,内田博, 0.4, 47, -42,* 16, 4, 11.9, ⑨⑨, 4, 9,Ｉアグネススタｰチ, 78,浜中俊, 0.6, 80,* 16,  -7, 8, 28.5,①①①
 5,10,Ｇエリモサプライズ, 53,和田竜, 0.3, 55,* -2,  -2, 3, 16.7,④③③, 5,11, ゴルデンシュライン,,今村康,201.9,,,, 7, 35.3,⑥⑤⑥, 5, 9, カサノヴァソルト,---,藤岡康, 0.5, 44, -44,* 16, 9, 36.9, ⑪⑪, 5, 6,Ｂタガノプルミエｰル, 87,岩田康, 0.7, 83,   7,* 16, 2,  4.0,⑪⑪⑪
 6, 9,Ｅサンマルボス, 56,岩田康, 0.6, 53,  -2,  -2, 5, 22.8,⑦④④, 6, 6, イマジンノココロヲ,,山本康,201.9,,,,14,166.7,⑨⑧⑩, 6,10, ファコンドｰ,---,小牧太, 0.6, 38,*-36,   3, 6, 30.1, ③②, 6, 8,Ｅアペリティフ, 81,幸英明, 0.7, 82,   9,   9, 4, 18.0,⑨⑧⑦
 7,15,Ｆレオアラシ, 55,デムｰ, 0.7, 52,  -3,  -2, 8, 39.3,⑤⑤⑥, 7, 3, アヤナベル,,南井大,202.2,,,,10, 66.8,⑫⑪⑪, 7,12, インディアリング,---,幸英明, 0.6, 40, -39,   7,10, 38.6, ⑦⑥, 7,11,Ｋマルカハンニバル, 77,角田晃, 1.0, 78,  12,  -3,10,128.0,③③③
 8,11,Ｋシルククインビｰ, 46,川田将, 1.1, 52,  -5,  -2, 6, 25.8,⑫⑨⑦, 8, 4, ニュｰパワｰ,,五十嵐,202.3,,,, 3,  5.4,①②③, 8, 5, パミｰナ,---,角田晃, 0.8, 40, -42,   9,13,125.8, ⑧⑧, 8, 2,Ｆフサイチアソｰト, 81,和田竜, 1.1, 79,  10,   4, 9, 43.8,⑦⑦⑧
