09年12月26日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月26日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1700m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,樅の木賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａミッキｰデジタル, 69,北村友,, 65,*  6,* -2, 1,  3.8, ①①, 1, 5,Ｃログ, 63,北村浩,, 61,*  3,* -4, 1,  2.7,①①①, 1, 7,Ｂダイメイザバリヤル, 75,松田大,, 75,  -3,*  9, 3,  5.7, ⑩⑩, 1,10,Ｋブルｰソックス, 62,赤木高,, 71,*  5,   5, 8, 24.0,②②①
 2, 5,Ｄクリノキンバリｰ, 57,高橋亮, 0.8, 57,*  5,  -8, 8, 16.6, ②②, 2, 2,Ｂブレイク, 65,秋山真, 0.1, 62,   1,*  2, 4,  4.8,⑥⑦④, 2, 8,Ｇフェリスホイｰル, 68,北村友, 0.2, 71,   1,   2, 5, 14.7, ⑤⑥, 2,14,Ｉバｰディバｰディ, 62,津村明, 0.0, 70,*  4,   6, 5, 15.1,④③④
 3, 8,Ｅタムロガッツ, 55,国分恭, 0.9, 55,*  3,  -8, 4,  6.2, ③③, 3,17,Ｅバンコジｰロ, 60,鮫島良, 0.4, 57,*  2,  -8, 3,  4.4,⑩③②, 3, 9,Ｎプリンセスパトラ, 60,大野拓, 0.3, 71,*  2,   0,14,106.1, ③③, 3, 1,Ｈペガサスヒｰロｰ, 62,太宰啓, 0.2, 71,   3,*  8, 4,  6.2,⑩⑦⑤
 4, 9,Ｂヤマニンフリアンド, 67,田中健, 1.1, 53,  -2,  -7, 2,  3.8, ⑤⑥, 4,14,Ｈキタサンボルケｰノ, 48,上村洋, 0.5, 58,*  2,  -7, 8, 48.2,⑤⑤③, 4, 5,Ｆピｰスピｰス, 70,飯田祐, 0.3, 70,  -7,*  9, 7, 17.5, ⑭⑬, 4,16,Ｄプレファシオ, 67,秋山真, 0.4, 67,   0,* 10, 3,  5.3,⑯⑫⑪
 5,13,Ｇロｰズバレｰ, 51,秋山真, 1.1, 51,  -5,  -4, 5, 10.7, ⑧⑧, 5, 7,Ｆラガｰアンバｰ, 59,安部幸, 0.7, 56,  -2,* -1, 6, 25.4,⑬⑬⑧, 5, 2,Ｄヤマニンオクタゴン, 73,村田一, 0.3, 71,  -5,*  7, 4,  7.0, ⑫⑫, 5,15,Ｆキラウエア, 64,北村友, 0.7, 66,   1,   6, 9, 25.2,⑨⑨⑩
 6,10,Ｃシャイニｰベスト, 60,丸山元, 1.2, 51,  -8,  -4, 6, 14.9, ⑨⑨, 6, 4,Ｍマコトダイダロス, 43,太宰啓, 0.9, 53,   1, -10, 7, 31.4,⑨⑧⑦, 6,14,Ｌリッカコウユウ, 63,安藤光, 0.6, 67,*  5,  -7,13, 83.7, ①①, 6,13,Ｇロｰレルレヴァｰタ, 63,松山弘, 1.1, 63,   4,  -2,10, 28.0,⑥⑤⑥
 7,12,Ｎベルモントアリｰバ, 32,西田雄, 1.4, 48, -13,* -3,15,232.6, ⑫⑩, 7, 9,Ａパントクラトｰル, 67,津村明, 1.3, 51,  -3,  -5, 2,  4.4,⑮⑮⑭, 7,11,Ｐリッピアピンク, 57,松山弘, 0.6, 66,   1,  -3,10, 31.6, ⑥⑦, 7, 8,Ｌセトノメジャｰ, 59,古川吉, 1.1, 64,   3,  -1,13, 74.4,⑤④③
 8, 7,Ｉイワイザケ, 44,津村明, 1.5, 49,   1, -11,10, 69.9, ④④, 8, 1,Ｏスカイワンダｰ, 39,吉田稔, 1.7, 46,  -1, -15,15,152.7,⑪⑪⑨, 8,16,Ｒランウェイスナップ, 54,鮫島良, 0.7, 65,  -6,   2,17,210.0, ⑬⑭, 8, 2,Ｃクロガネ, 68,川島信, 1.6, 60,   0,   0, 6, 20.5,⑫⑬⑫
