09年 5月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■10R  芝3200m 4歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,天皇賞(春) ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａピサノルビｰ, 69,武豊  ,, 69,* -2,*  9, 1,  1.8,④④④, 1, 3,Ａハギノトラスト, 68,安藤勝,, 68,  -2,*  4, 1,  2.2, ⑦⑥, 1, 8,Ｈクレバｰデュｰク, 62,木村健,, 73,   6,   4, 4, 11.9, ⑦⑧, 1, 2,Ｂマイネルキッツ, 93,松岡正,, 98,* 16,  12,12, 46.5,⑩④④
 2,12,Ｊアドマイヤインディ, 55,川田将, 0.1, 70,  -2,* 10, 6, 27.5,⑬⑥⑤, 2, 7,Ｋマルブツジャンボ, 53,武豊  , 0.1, 66,  -1,* -1, 3,  6.1, ⑥⑦, 2,11,Ｉトシザコジｰン, 62,安藤勝, 0.0, 73,   6,   5, 5, 13.6, ⑩⑩, 2, 4,Ａアルナスライン, 95,蛯名正, 0.0, 98,* 16,  13, 4,  7.5,⑦⑦⑤
 3, 8,Ｆカスガ, 63,後藤浩, 0.2, 67,* -1,   6,10, 75.9,⑮②②, 3, 5,Ｆキャニオンブラウン, 55,岩田康, 0.2, 63,*  5, -12, 2,  3.4, ①①, 3, 1,Ｃドリｰムゼロワン, 72,松岡正, 0.2, 69,   0,*  9, 1,  2.6, ⑮⑭, 3,12,Ｃドリｰムジャｰニｰ, 93,池添謙, 0.3, 98,  16,  13, 5,  8.6,⑭⑬⑧
 4, 3,Ｂミルフィアタッチ, 66,福永祐, 0.6, 68,  -5,* 10, 2,  4.0,⑨⑪⑨, 4, 6,Ｅクｰルヴァンクル, 57,和田竜, 0.7, 62,  -3,  -3, 7, 19.4, ⑫⑩, 4,12,Ｆバクシンヒロイン, 65,小牧太, 0.4, 68,   2,   5,12, 64.1, ⑫⑫, 4, 1,Ｌサンライズマックス, 84,福永祐, 0.3, 99,  16,* 17,10, 45.8,⑨⑪⑨
 5,13,Ｈプリンセスペスカ, 62,角田晃, 0.7, 68,  -4,   8, 3,  8.7,⑦⑧⑩, 5,12,Ｉデアモント, 54,松岡正, 0.8, 59,  -3,  -8, 9, 42.9, ⑧⑧, 5,16,Ｎドリｰムロｰズ, 60,川田将, 0.4, 67,   2,   5, 6, 15.4, ⑬⑬, 5, 3,Ｅジャガｰメイル, 92,安藤勝, 0.4, 95,  14,* 18, 6, 10.7,⑰⑰⑭
 6, 7,Ｃフィロンルｰジュ, 65,浜中俊, 1.0, 62,* -2,   1, 4, 10.8,②③③, 6, 1,Ｌシｰスピアｰ, 49,国分恭, 0.9, 57,  -5,  -5,13,134.9, ⑩⑪, 6, 3,Ｅファンドリキセキ, 68,福永祐, 0.5, 66,   2,   2, 9, 41.7, ⑪⑪, 6, 8,Ｍトウカイトリック, 83,和田竜, 0.7, 96,  14,* 15,15, 73.0,⑫⑭⑮
 7, 6,Ｄロｰザレｰヌ, 64,幸英明, 1.0, 63,  -4,   5, 9, 44.5,⑤⑦⑧, 7, 2,Ｊスプリングカエサル, 54,福永祐, 0.9, 58,  -7,  -2, 8, 42.5, ⑬⑬, 7, 5,Ｂラッキｰバニヤン, 74,岩田康, 0.6, 66,   9,  -8, 3,  5.1, ⑥⑤, 7,18,Ｊヒカルカザブエ, 85,秋山真, 0.8, 92,  15,   8, 7, 18.1,⑮⑮⑩
 8, 2,Ｅレティセラ, 63,国分恭, 1.2, 63,  -4,   5, 8, 42.4,⑥⑨⑦, 8,14,Ｃキクノアキレス, 57,幸英明, 1.0, 58,  -8,  -2,12,125.3, ⑮⑮, 8,15,Ｏエムテイホムラ, 40,渡辺薫, 0.8, 63,  -5,*  8,17,338.8, ⑰⑰, 8, 7,Ｉポップロック, 85,川田将, 0.8, 90,  15,   5,16, 89.4,⑬⑨⑦
