09年 4月11日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 4月11日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝2200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湾岸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｍヒラボクスペシャル, 34,後藤浩,, 61,*-10,* 12, 5, 11.0,①①①, 1, 8, アラメダキング,,五十嵐,,,,, 2,  3.9,①①①, 1,10,Ｅスマｰトダズル, 62,伊藤工,, 65,  -1,*  5, 8, 17.7,⑭⑬⑧, 1, 6,Ｐダイバｰシティ, 70,勝浦正,, 80,  11,  -2, 3,  6.8,⑥⑤④
 2,13,Ｅシｰオブザスタｰズ, 58,北村宏, 0.3, 60, -10,* 12, 8, 25.2,④④②, 2,11, バシケｰン,,蓑島靖,192.8,,,, 1,  3.4,⑪⑧⑤, 2,14,Ｃコスモディアナ, 66,石橋脩, 0.0, 65,  -1,*  5,10, 42.9,⑫⑫⑦, 2,14,Ｃセタガヤフラッグ, 82,池添謙, 0.2, 77,  11,  -4, 7, 20.7,⑦⑦⑧
 3, 6,Ａケイズパステル, 63,勝浦正, 0.8, 57, -11,   8, 2,  5.9,③⑤④, 3, 7, セイウンエポック,,大庭和,192.8,,,,10, 30.9,⑥⑤④, 3,12,Ｈミリアム, 62,後藤浩, 0.2, 64,   0,*  4, 4,  8.2,④⑪⑫, 3, 3,Ｅラッキｰリップス, 79,江田照, 0.4, 75,   9,  -4,15, 82.6,⑩⑧⑨
 4, 3,Ｄゴｰルドラプソディ, 58,草野太, 1.0, 57, -14,* 11, 7, 20.8,⑮⑬⑨, 4,13, ロｰランジェネルｰ,,宗像徹,193.2,,,, 4,  6.7,②②②, 4, 3,Ａピカルディｰ, 71,三浦皇, 0.5, 61,   0,   0, 1,  3.4,⑦⑦⑥, 4, 5,Ｄミッキｰチアフル, 81,三浦皇, 0.4, 76,* 12, -11, 2,  4.3,④④③
 5, 8,Ｂニホンピロピンキｰ, 61,内田博, 1.0, 57, -14,* 10, 1,  2.3,⑧⑫⑬, 5, 3, サンベルナｰル,,高野和,194.5,,,, 3,  6.5,⑨⑥⑥, 5,15,Ｇレッドジュエル, 62,北村宏, 0.7, 58,*  2,  -6, 5, 11.0,⑧③③, 5,13,Ｏソニックルｰラｰ, 71,後藤浩, 0.6, 73,   7,*  0,12, 47.0,⑭⑭⑭
 6, 1,Ｆカシマヴィｰナス, 56,三浦皇, 1.3, 53, -12,   5, 4,  6.9,⑥⑧⑥, 6,14, エイトシｰド,,平沢健,194.6,,,, 5,  8.3,③③③, 6, 7,Ｉウインプレセア, 61,吉田豊, 0.8, 58,   1,  -5, 2,  3.9,⑨⑥④, 6,16,Ｎショｰトロｰブス, 72,武士沢, 0.6, 74,   4,*  7,17,173.4,⑱⑱⑯
 7, 4,Ｌラジカルバンギング, 36,石橋脩, 1.4, 53, -14,   8,14,163.5,⑪⑪⑪, 7, 5, ステラフィランテ,,草野太,195.5,,,,14, 87.9,⑫⑪⑩, 7,16,Ｂイズミコマンダｰ, 66,池添謙, 0.8, 60,*  3,  -8, 7, 15.8,⑤②②, 7, 4,Ｋアイティトップ, 74,丹内祐, 0.7, 72,   7,  -1,13, 47.8,⑫⑬⑬
 8, 7, マエストラｰレ,---,松岡正, 1.4, 52, -11,   3, 6, 15.3,⑤⑥⑤, 8,12, ナスノオｰ,,金子光,195.8,,,,11, 46.8,④④⑦, 8, 1,Ｊチャンギイ, 61,丹内祐, 1.3, 56,   0,  -7,11, 45.6,⑬⑩⑪, 8,15,Ｇデンコウミサイル, 78,吉田隼, 0.7, 72,   5,*  1, 8, 23.5,⑰⑰⑱
