09年11月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1150m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,須賀川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂマチカネオイカゼ, 73,スボリ,, 77,*  9,* 12, 2,  5.5,②②②, 1, 3,Ｋハｰバｰクイｰン, 62,江田照,, 66,   0,   3,10, 34.4, ③④, 1,11,Ａブチカマシ, 75,宮崎北,, 68,   8,*  0, 2,  4.0,⑩⑦④, 1, 4,Ｄベストロケｰション, 79,木幡初,, 83,   7,   9, 1,  2.4, ④③
 2, 1,Ｄパルクエスト, 70,津村明, 0.2, 74,*  9,*  9, 4,  9.3,①①①, 2,10,Ｉキミニムチュウ, 63,小野寺, 0.0, 65,  -3,   5, 8, 26.9, ⑩⑩, 2,12,Ｂゴｰルデンラダｰ, 70,安藤光, 0.0, 69,   7,*  2, 8, 31.5,⑬⑩⑧, 2,11,Ｌクリｰルバレット, 71,黛弘人, 0.1, 81,  -6,* 20, 9, 23.0, ⑮⑭
 3, 9,Ａトｰセンバスケット, 77,田辺裕, 0.2, 76,   7,* 14, 1,  2.3,⑫⑩⑥, 3,16,Ｏティティチャｰム, 49,田辺裕, 0.1, 65,  -3,   4,11, 40.0, ⑪⑪, 3,10,Ｊエルメスグリｰン, 59,鮫島良, 0.1, 70,* 10,  -5, 3,  4.7,⑥④③, 3, 6,Ａヤマカツマリリン, 83,田嶋翔, 0.2, 80,   3,  10, 2,  5.8, ⑩⑦
 4,11,Ｆパｰプルスタｰ, 69,安藤光, 0.9, 68,   8,   6,10, 32.3,⑤⑤④, 4, 6,Ｍデステニｰアロｰ, 60,丸山元, 0.2, 64, -14,* 14,13,129.7, ⑯⑭, 4,13,Ｋワンモｰメント, 59,田辺裕, 0.3, 68,* 10,  -7, 1,  3.9,⑤③②, 4, 3,Ｃスカイノダン, 79,荻野琢, 0.4, 76,   3,   8, 3,  6.2, ⑨⑫
 5,15,Ｉシアトルレイナ, 67,江田照, 1.2, 68,   7,   5,13,134.3,⑥⑥⑤, 5,14,Ｃライカｰト, 72,津村明, 0.3, 63,   1,  -1, 4,  9.1, ⑥③, 5, 2,Ｄコアグリｰン, 68,西田雄, 0.3, 68,* 10,  -6, 5, 10.3,⑭⑤⑤, 5,14,Ｉティムガッド, 74,中舘英, 0.6, 76,* 10,  -1,11, 30.9, ③②
 6, 2,Ｃジョウノグレｰス, 72,宮崎北, 1.3, 66,   8,   4, 3,  5.6,③③③, 6, 5,Ｎカシノコロン, 57,丸田恭, 0.3, 64,  -4,   4,12,109.8, ⑫⑫, 6, 6,Ｃシュウボンバｰ, 70,荻野琢, 0.4, 69,* 10,  -8, 4,  4.9,②②①, 6, 2,Ｇゼットオｰラ, 75,長谷川, 0.7, 74,   3,   4, 5, 14.9, ⑧⑤
 7, 3,Ｅポレンティｰナ, 70,中舘英, 1.5, 66,   7,   4, 8, 22.3,⑨⑦⑦, 7, 1,Ｈニシノミｰチャン, 64,長谷川, 0.4, 63, -12,* 10, 3,  7.1, ⑮⑯, 7, 8,Ｅヤマニンワｰシップ, 67,大野拓, 0.4, 67,   5,*  1, 9, 54.5,⑫⑫⑨, 7, 7,Ｍレンデフルｰル, 70,吉田隼, 0.7, 74,  -3,  10, 7, 21.4, ⑭⑮
 8, 7,Ｊチェルカ, 67,吉田隼, 1.6, 66,   5,   6, 5, 10.3,⑭⑭⑪, 8, 4,Ｂイルドロｰル, 73,中舘英, 0.6, 60,*  3,  -5, 2,  4.4, ①①, 8, 9,Ｎマイアイビギニング, 53,長谷川, 1.1, 64,   9, -12,13,114.0,④⑥⑦, 8, 5,Ｆジョウショｰアロｰ, 76,渡辺薫, 0.8, 72,   1,   5,13, 46.6, ⑪⑬
 9,12,Ｇゴｰルドケｰ, 69,石橋脩, 2.0, 65,   7,  -1, 7, 22.2,⑦⑧⑩, 9, 2,Ｌムｰンボｰ, 61,吉田隼, 0.6, 61,  -6,   3, 7, 26.5, ⑬⑬, 9, 5,Ｍコアレスルドルフ, 53,丸山元, 1.7, 58,* 10, -19,12, 76.1,①①⑥, 9,12,Ｎシセイヒカリ, 70,中村将, 0.8, 72,  -6,  11,16,156.6, ⑯⑯
10, 6,Ｈクリノラプソディｰ, 68,丸山元, 2.1, 62,   6,   0,11,120.9,⑩⑪⑨,10,15,Ｄマルサンメイン, 68,宮崎北, 0.6, 60,*  3,  -5, 5, 17.9, ②②,10, 4,Ｆカリキュレイタｰ, 67,小野寺, 1.9, 57,   5, -12,11, 61.5,⑨⑪⑫,10, 9,Ｈウスイ, 75,千葉直, 0.9, 71,   2,   2, 8, 21.9, ⑬⑪
11, 5,Ｌドンダケｰ, 63,大野拓, 2.5, 59,   5,  -2,12,130.6,⑬⑫⑫,11, 8,Ａトウカイポプリ, 74,荻野琢, 0.7, 61,   0,  -3, 1,  2.1, ④⑧,11,15,Ｉミフユ, 62,小林徹, 2.0, 58,   7, -16, 7, 30.2,⑦⑧⑩,11,10,Ｅコイクレナイ, 76,丸田恭, 0.9, 70,   3,   1,10, 25.3, ⑦⑧
