09年 3月28日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月28日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾘｰｼﾞｱ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂパｰプルスタｰ, 57,安藤光,, 66,*  0,*  3, 8, 23.7,②②②, 1,15,Ｎレッドアイ, 41,太宰啓,, 63,*  1,  -5, 6, 14.0, ④④, 1,16,Ｃエｰシンエスヴィｰ, 72,中舘英,, 69,*  6,   0, 4,  7.0, ①①, 1, 8,Ａマイネルクラリティ, 74,川島信,, 73,* 12,  -2, 1,  3.1,①①①
 2,11,Ｅイグナイトカフェ, 53,小島太, 0.4, 64,*  1,* -1, 1,  1.6,①①①, 2, 5,Ｃジャックボイス, 55,中舘英, 0.2, 61,*  5, -12, 1,  3.6, ①①, 2,11,Ｆスニｰカｰブルｰス, 71,藤岡康, 0.0, 69,*  4,   2, 2,  4.8, ③③, 2, 4,Ｄカルカソンヌ, 68,橋本美, 0.0, 74,   9,*  5, 4,  6.6,⑩⑦②
 3, 6,Ｃフミノタカラ, 56,長谷川, 1.6, 60,  -2,  -6, 4, 11.6,⑦④④, 3, 4,Ｍリッピアピンク, 42,長谷川, 0.2, 60,  -7,*  0,12, 45.0, ⑧⑧, 3, 9,Ｇラスカルデュｰク, 67,古川吉, 0.1, 69,  -9,* 10, 5,  7.7, ⑩⑨, 3, 2,Ｂケイアイドウソジン, 72,藤岡康, 0.2, 71,* 10,  -1, 3,  4.7,②③③
 4,14,Ｆナタｰシャ, 51,田中健, 1.7, 58,  -5,*  0, 6, 15.1,⑫⑧⑦, 4, 3,Ｂアグネスミラｰジュ, 60,北村友, 0.4, 58,  -7,  -2, 3,  8.3, ⑦⑦, 4,12,Ｂリッシンボス, 74,丸田恭, 0.2, 65,  -2,   4, 1,  4.5, ⑥⑤, 4,11,Ｈトキノヤマトボシ, 62,鮫島良, 0.8, 67,   6,  -1,10, 44.3,⑨⑧⑦
 5,15,Ｈアリソンイモン, 50,丸田恭, 2.1, 54,  -6,  -2, 9, 29.6,⑮⑫⑩, 5, 2,Ｈキングパレｰド, 51,鮫島良, 0.4, 57,  -4,  -5, 5,  9.1, ⑤⑤, 5, 6,Ｋパスタイム, 60,西田雄, 0.5, 63,  -4,   2,14, 96.4, ⑤⑥, 5,12,Ｃダノンヒデキ, 70,松田大, 0.8, 65,   9,  -8, 2,  4.1,⑤⑥⑤
 6, 9,Ｄチャｰムピｰス, 55,北村友, 2.3, 48,*  0, -16, 5, 12.0,③③③, 6,10,Ｊハンサムウｰマン, 46,松田大, 0.7, 54, -11,  -3, 8, 19.9, ⑩⑨, 6, 5,Ｅレインボｰルシファ, 71,宮崎北, 0.5, 62,  -1,   0, 7, 11.5, ④④, 6, 5,Ｅラヴィンライフ, 66,長谷川, 0.9, 65,   6,  -2, 5, 11.8,⑪⑨⑨
 7, 1,Ａボスオブザリンド, 60,宮崎北, 2.5, 51,  -6,  -5, 2,  8.0,⑨⑪⑨, 7,11,Ｅチュラヌウジ, 53,宮崎北, 0.7, 54, -16,*  3,11, 35.9, ⑫⑩, 7, 2,Ｉサルバドｰルボス, 63,赤木高, 0.6, 60,  -7,   3, 9, 18.1, ⑧⑧, 7, 6,Ｉマイネラプソディ, 61,田中博, 1.1, 65,   5,  -2,12, 75.4,⑧⑪⑩
 8,13,Ｉアイファｰリリアン, 49,太宰啓, 2.6, 48,  -2, -15,12,134.6,⑧⑤⑤, 8, 9,Ｐラブイズモネ, 39,丸田恭, 0.8, 51, -12,  -3,16,199.9, ⑪⑪, 8,15,Ｈブイヘネシｰ, 66,佐久間, 0.6, 60, -15,*  8, 8, 13.7, ⑬⑫, 8, 1,Ｊヤマノランボｰ, 57,中舘英, 1.3, 63,   5,  -5, 6, 12.4,⑫⑫⑪
