09年 7月 5日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月 5日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,猪苗代特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂインテグラルヘッド, 46,的場勇,, 55,  -8,* -2, 4,  6.6, ⑥③, 1,16,Ｅコチャ, 52,勝浦正,, 64,  -7,   3, 3,  8.3, ⑥⑤, 1, 1,Ａセイカマエストｰソ, 68,木幡初,, 68,  -1,*  5, 3,  5.2,⑤⑤⑤, 1,15,Ａオｰロマイスタｰ, 89,内田博,, 84,*  2,* 23, 1,  1.4,⑤③②
 2,13,Ｅメグリ, 42,田辺裕, 0.8, 46,  -9, -10, 5,  7.5, ⑦⑩, 2, 9,Ｋマイネルクロッシュ, 45,松岡正, 0.1, 62,  -4,  -1, 2,  4.8, ④③, 2,15,Ｇノボシャｰク, 55,田辺裕, 0.1, 63,*  4,  -9, 8, 27.2,②②②, 2, 2,Ｌオメガファルコン, 75,松岡正, 0.2, 81,*  2,* 21, 3, 10.2,①①①
 3,12,Ｃアポロサニｰナ, 46,勝浦正, 1.3, 41,  -8, -18, 3,  5.2, ⑤②, 3,15,Ｇロｰドハロウィン, 50,大野拓, 0.3, 59, -11,   3, 4, 10.0, ⑩⑪, 3,10,Ｂクリｰルエイト, 67,松岡正, 0.1, 67,   1,   1, 1,  3.7,④④③, 3, 6,Ｂドリｰムリバイバル, 81,石橋脩, 0.6, 79,  -1,* 22, 5, 22.8,⑭⑪⑧
 4, 5,Ｋミッドパッション, 17,柴山雄, 1.3, 39, -11, -16, 6, 15.1, ⑧⑦, 4,11,Ｂラブイズモネ, 61,的場勇, 0.3, 60, -16,*  9, 7, 17.0, ⑬⑬, 4,14,Ｄカネトシユｰシャ, 63,村田一, 0.1, 70,  -2,*  6, 2,  3.9,⑩⑨⑥, 4,12,Ｅエｰシンエヴァン, 79,幸英明, 0.7, 78,   0,  19,12, 81.0,④⑦④
 5,11,Ｄフランジパニ, 46,内田博, 1.4, 39,  -8, -19, 2,  3.5, ④④, 5,13,Ｄリｰゾラビアンコ, 54,北村宏, 0.6, 54, -10,  -2, 8, 29.6, ⑧⑧, 5, 5,Ｆマスタｰハルバｰド, 58,内田博, 0.3, 68,  -3,*  9, 7, 21.0,⑫⑪⑩, 5, 3,Ｇプロセッション, 78,川田将, 1.0, 76,   1,  15, 6, 27.7,⑬⑥⑥
 6, 7,Ｊカゼノマイヒメ, 30,吉田豊, 1.4, 37, -18,  -9,10,130.9, ⑪⑫, 6, 4,Ｊシルクシスタｰ, 47,伊藤工, 0.6, 55,  -7,  -4,11,147.4, ⑤⑥, 6,11,Ｅゼノン, 59,北村宏, 0.6, 56,*  4, -18, 5,  7.6,①①①, 6, 8,Ｆシルクイｰグル, 78,的場勇, 1.6, 73,   1,  10, 4, 13.2,⑫⑤⑤
 7, 9,Ｌギンザサンセット, 12,吉田隼, 1.7, 34, -23,  -9,12,170.8, ⑬⑬, 7, 7,Ｉアドマイヤミライ, 47,田辺裕, 0.8, 52, -15,   1, 9, 65.6, ⑫⑫, 7,16,Ｈポッピイ, 54,蛯名正, 0.8, 61,  -4,   2, 6, 10.4,⑭⑬⑪, 7, 1,Ｉエドノドリｰム, 78,木幡初, 1.8, 70,   0,  13,13,110.3,⑦⑩⑩
 8, 1,Ｇトｰセンウィッチ, 33,小林淳, 1.8, 32, -16, -17, 9,101.0, ⑩⑨, 8,10,Ｃオンワｰドラｰト, 58,高山太, 1.0, 50, -11,  -6, 5, 13.6, ⑨⑩, 8, 8,Ｃオンワｰドシェルタ, 64,勝浦正, 0.9, 59,  -1,  -8, 4,  7.3,⑥⑥⑦, 8,11,Ｎヤマニンプレアデス, 70,柴山雄, 1.9, 69,*  2,   6, 8, 50.5,③②③
 9, 4,Ｈコスモルアノｰヴァ, 31,石橋脩, 1.9, 34,  -6, -27, 8, 38.0, ③⑥, 9, 8, デンコウムサシ,---,小島太, 1.0, 52, -27,* 10,12,155.6, ⑯⑯, 9, 7,Ｐパゴダ, 24,伊藤工, 1.0, 57,  -2,  -7,12,154.2,⑧⑧⑨, 9,13,Ｈストｰムタイガｰ, 78,吉田豊, 2.3, 67,   0,   7,11, 71.1,⑥⑧⑨
10, 6,Ｍフィッシュダイブ, -7,大野拓, 2.8, 22, -21, -24,11,153.2, ⑫⑪,10,14,Ｆホｰザンアテナ, 51,田中勝, 1.0, 51,* -3, -13, 6, 15.6, ③②,10, 2,Ｌヤマニンバジリック, 47,柴山雄, 1.5, 54,  -2, -13,13,156.9,⑦⑦⑧,10, 7,Ｍサニｰラブカフェ, 71,小島太, 2.3, 67,  -2,   9,10, 64.8,⑩⑬⑬
