09年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,神無月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂモンテフジサン, 55,内田博,, 62,*-13,*  6, 1,  2.1, ③③, 1,10, ウインドストｰム,,石神深,,,,, 4, 11.0,②②②, 1,16,Ｈカウアイレｰン, 70,吉田豊,, 87,  -2,* 20, 2,  3.7, ⑩⑩, 1, 5,Ｉシルクビッグタイム, 82,内田博,, 89,   6,* 19, 3,  5.3, ⑦⑦
 2,11,Ａソｰルデスタン, 60,三浦皇, 0.2, 61, -16,*  6, 2,  3.0, ④④, 2, 1, ムｰンレスナイト,,五十嵐,201.8,,,, 1,  1.8,①①①, 2,11,Ａダイメイザバリヤル, 77,柴田善, 0.1, 89,  -6,* 26, 5, 10.9, ⑰⑰, 2,12,Ｅデイトユアドリｰム, 83,戸崎圭, 0.1, 87,   6,* 19, 4,  5.9, ⑧⑧
 3, 8,Ｃスピリットワン, 52,北村宏, 0.8, 52, -17,   0, 6, 21.7, ⑦⑦, 3, 3, トｰセンコックス,,水出大,202.0,,,, 2,  4.3,⑩⑤⑤, 3,15,Ｉメイウインド, 69,内田博, 0.3, 82,  -1,  13, 1,  2.9, ⑫⑥, 3, 4,Ｄタマモグレアｰ, 83,小林淳, 0.5, 84,*  8,  12, 7, 12.2, ②②
 4, 5,Ｅコマンドプロンプト, 41,丸田恭, 0.8, 51, -16,  -1, 5, 12.0, ⑤⑤, 4, 9, エイワヴァｰジニア,,大江原,203.2,,,, 5, 22.4,⑥⑥⑥, 4, 7,Ｅベストラン, 72,石橋脩, 0.4, 77,*  6,   0, 8, 19.0, ①①, 4, 9,Ｃコンティネント, 84,田中勝, 0.6, 83,   6,  15, 1,  4.5, ⑩⑨
 5,12,Ｋシルクガブリエル, 32,村田一, 0.8, 55, -20,   5, 7, 32.8, ⑨⑧, 5,12, スプリングカラｰ,,横山義,204.1,,,, 3,  5.5,③③③, 5,13,Ｆミスティフォレスト, 71,田中勝, 0.5, 83,  -5,  17, 6, 16.7, ⑮⑯, 5, 8,Ｂレッドシュｰタｰ, 84,増沢由, 0.9, 81,   2,  17, 2,  4.8, ⑭⑮
 6, 9,Ｄマキシマムリミット, 43,戸崎圭, 0.9, 48,*-13,  -8, 3,  6.3, ②②, 6, 7, オンワｰドマック,,大庭和,205.7,,,, 6, 22.4,⑦⑨⑨, 6,10,Ｐフロｰラルカｰヴ, 63,中谷雄, 0.5, 83,  -5,  18,11, 63.5, ⑯⑭, 6,16,Ｇリリｰハｰバｰ, 82,柴山雄, 1.1, 79,*  7,   8, 9, 38.6, ⑤⑤
 7, 7,Ｇセイントワンダｰ, 41,石橋脩, 1.0, 51, -18,  -3, 4, 11.9, ⑥⑥, 7,13, クイックステップ,,穂苅寿,205.8,,,, 8, 61.5,⑤⑦⑦, 7, 6,Ｋイエロｰタキオン, 66,三浦皇, 0.6, 77,   0,   6, 7, 17.0, ③③, 7, 7,Ｈブライアンズエッセ, 82,伊藤工, 1.1, 80,   0,  17,10, 66.3, ⑯⑯
 8, 4,Ｆマンドリｰカ, 41,田中勝, 1.1, 52, -22,   3, 8, 59.8, ⑩⑩, 8, 6, ドレックセル,,山本康,206.9,,,,12,136.2,④④④, 8, 3,Ｄビルトミｰアップ, 73,戸崎圭, 0.6, 79,  -1,  10, 4,  8.9, ⑧⑨, 8, 3,Ｎワインアドバイザｰ, 76,高野和, 1.3, 78,   3,  12,15,206.1, ⑬⑩
