09年 1月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1400m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,初夢ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 7,Ｅスプリングベリｰ, 50,田中克, 2.7, 44,* -1, -19, 5, 22.1,④④⑤,12, 4, トウショウビリｰヴ,---,荻野要, 3.4, 45,  -2, -16, 9, 44.9, ⑫⑨,12, 2,Ｎテイエムブロッサム, 39,高井彰, 2.1, 56,  -2,  -6,15,230.1, ⑩⑩,,,,,,,,,,,,
13,13,Ｊカイラス, 44,田村太, 3.8, 36,  -6, -19,10, 74.3,⑪⑫⑬,13,13, ブルｰレイ,---,秋山真, 4.0, 41,   4, -28, 6, 25.2, ⑥⑦,13, 9,Ｍナムラエラン, 49,上村洋, 2.1, 57,  -6,  -1,14,173.2, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,14, 5, ワンダｰオｰソレス,---,大下智, 4.4, 38,   3, -31,14,146.5, ⑧⑥,14, 7,Ｇシャルマンレｰヌ, 69,和田竜, 2.3, 54,*  4, -16, 4,  6.4, ③③,,,,,,,,,,,,
,,,,,,,,,,,,15,12, アイノタンゴ,---,鮫島良, 4.5, 39,   4, -32, 3, 13.9, ⑦⑧,15,14,Ｌリバティプログレス, 54,小林徹, 2.9, 50,  -4, -12,13,125.5, ⑫⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:0),,,,,,,,,,,
単勝:140円 複勝:04=100円 02=270円 06=120円 枠連:940円,,,,,,,,,,,,単勝:170円 複勝:06=110円 02=120円 09=220円 枠連:240円,,,,,,,,,,,,"単勝:1,170円 複勝:05=270円 01=770円 13=360円 枠連:4,930円",,,,,,,,,,,,単勝:160円 複勝:03=110円 11=200円 07=570円 枠連:460円,,,,,,,,,,,
"馬連:1,050円 ワイド:02-04=370円 04-06=140円 02-06=580円",,,,,,,,,,,,馬連:250円 ワイド:02-06=150円 06-09=500円 02-09=650円,,,,,,,,,,,,"馬連:10,850円 ワイド:01-05=2,610円 05-13=1,440円 01-13=3,440円",,,,,,,,,,,,"馬連:570円 ワイド:03-11=290円 03-07=870円 07-11=2,190円",,,,,,,,,,,
