09年 3月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,内外ﾀｲﾑｽ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,15,Ｋラヴェニｰル, 47,岩田康, 1.5, 47, -11,  -7,12, 72.0, ⑫⑪,12, 2, ノボニョ,---,大庭和, 2.2, 49,* -7,  -5,14, 95.7,①①①,12,14,Ｋナイスプロテクタｰ, 61,石橋脩, 2.3, 55,  -2,  -4,16,613.6,⑭⑮⑮,12,16,Ｍオヤマハリケｰン, 76,佐藤聖, 2.5, 68,*  9,  -7,16,290.7,②②⑤
13, 3,Ｏトｰセンサクラコ, 29,千葉直, 1.6, 44, -21,*  1,14,223.5, ⑯⑯,13, 5, マシュｰ,---,柴田善, 2.3, 55, -17,  12,11, 49.8,⑫⑯⑮,13,10,Ｈマイネルプエルト, 64,伊藤工, 2.5, 53,  -3,  -8,13,130.3,⑦⑫⑬,13, 1,Ｌコンプレッソ, 78,池添謙, 3.2, 66,   1,   3,12, 39.6,⑮⑯⑯
14,11,Ｌヒラボクドリｰム, 46,国分優, 1.8, 44, -10, -10, 6, 11.4, ⑪⑩,14,16, ブレンニュｰライフ,---,吉田豊, 2.5, 48,* -8,  -8, 6,  8.6,⑧④④,14,11,Ｆフルボディｰ, 66,内田博, 2.7, 50,*  2, -18, 5,  9.2,③③③,14, 4,Ｐキｰンゲイル, 68,北村宏, 3.4, 64,   1,   1,10, 22.3,⑨⑫⑭
15,16,Ｐクリスパワｰ, 21,草野太, 1.9, 43, -15,  -7,16,449.0, ⑬⑮,15, 7, スノｰオブサハラ,---,田中勝, 3.1, 43, -13,  -4, 8, 18.4,⑮⑭⑭,15, 4,Ｏフジフｰフｰ, 55,国分優, 3.9, 43,  -3, -20,14,374.4,⑨⑪⑯,15,15,Ｏガイアヘッド, 70,大庭和, 3.8, 59,   4,  -9,13, 57.6,⑥⑧⑪
16,13,Ｎメジロイｰティｰ, 29,吉田豊, 2.8, 35,  -9, -20,13,194.9, ⑩⑭,16,15, モッキンバｰド,---,池崎祐, 4.6, 35, -16, -10,16,263.8,⑯⑮⑯,16,12,Ｄジョニｰロｰド, 69,川田将, 4.6, 39,  -1, -28, 8, 35.3,④⑧⑭,16,13,Ｊソラメンテウナベス, 81,川田将, 4.6, 55,   7, -20, 8, 15.9,③③⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:重(指数:-9),,,,,,,,,,,
"単勝:2,990円 複勝:14=630円 08=770円 12=170円 枠連:6,680円",,,,,,,,,,,,単勝:710円 複勝:08=270円 11=190円 04=420円 枠連:830円,,,,,,,,,,,,"単勝:8,960円 複勝:02=2,010円 05=260円 01=190円 枠連:540円",,,,,,,,,,,,"単勝:540円 複勝:10=190円 11=260円 06=2,530円 枠連:930円",,,,,,,,,,,
"馬連:32,150円 ワイド:08-14=5,300円 12-14=1,560円 08-12=1,940円",,,,,,,,,,,,"馬連:1,980円 ワイド:08-11=790円 04-08=1,980円 04-11=1,400円",,,,,,,,,,,,"馬連:34,560円 ワイド:02-05=8,090円 01-02=2,880円 01-05=670円",,,,,,,,,,,,"馬連:1,880円 ワイド:10-11=740円 06-10=8,570円 06-11=15,140円",,,,,,,,,,,
