09年 3月29日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月29日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,常総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｆヘヴンリｰスパｰク, 48,伊藤工,, 64,  -5,*  4, 5, 26.7, ⑧⑤, 1, 2, コスモラヴアゲイン,,平沢健,,,,, 7, 26.5,②②②, 1, 7,Ｄテイクバイストｰム, 68,小野次,, 68,  -2,*  9, 2,  3.8,⑤⑤⑤, 1, 3,Ａマイネルシュピｰル, 85,蛯名正,, 80,* 15,  -4, 2,  4.7,①①①
 2, 6,Ａマッドマックス, 68,的場勇, 0.2, 63,*  0,  -2, 1,  2.1, ②②, 2, 9, ヨシカツゾｰ,,大庭和,194.2,,,, 2,  5.9,⑥④④, 2, 6,Ａウインク, 74,北村宏, 0.0, 69,  -4,* 13, 1,  3.1,⑪⑪⑥, 2, 6,Ｅミッキｰチアフル, 79,三浦皇, 0.1, 79,* 13,  -4, 1,  2.9,②②②
 3, 8,Ｂコスモジブリル, 60,三浦皇, 0.3, 62,*  0,  -1, 4, 10.6, ③③, 3,13, マイネルパシオン,,蓑島靖,194.9,,,, 3, 12.0,①①①, 3, 9,Ｃハエヌキ, 70,田中勝, 0.3, 66,  -2,   8, 5,  8.8,④④④, 3, 1,Ｉシルクダッシュ, 72,松岡正, 0.2, 79,  11,*  2, 7, 19.7,⑨⑦⑦
 4, 9,Ｃレグルスハｰト, 58,柴田善, 0.5, 60, -13,*  7, 2,  2.8, ⑫⑪, 4,11, ビｰビｰライナｰ,,柴田大,195.0,,,,11, 64.7,⑤⑦③, 4,12,Ｂドナプレミア, 71,中舘英, 0.4, 65,* -1,   5, 3,  6.3,③③③, 4,11,Ｆスｰパｰプライド, 76,中舘英, 0.4, 78,  12,  -5, 5,  7.7,⑤⑤⑥
 5,10,Ｊムコドノ, 16,武士沢, 0.8, 57,  -4,  -3,13,157.3, ⑥⑦, 5, 4, トミケンブロｰド,,柴田未,195.1,,,, 6, 21.0,③③⑤, 5, 3,Ｆトｰホウロサｰド, 67,村田一, 0.5, 68,*  0,   3, 4,  6.3,①①①, 5, 5,Ｈマルティンスタｰク, 74,吉田隼, 0.5, 76,  11,  -3, 6, 10.7,⑥⑥④
 6,13, グラスブレイド,---,大野拓, 0.8, 57, -11,*  3, 8, 34.7, ⑩⑩, 6, 5, グロｰリｰジョン,,水出大,195.2,,,,12, 76.4,④⑤⑦, 6, 2,Ｅオｰルフォｰミｰ, 68,国分優, 0.7, 64,  -4,   7, 7, 16.7,⑦⑧⑧, 6, 7,Ｇコパノジングｰ, 74,秋山真, 0.8, 74,   9,  -4, 4,  6.2,⑩⑧⑧
 7,11,Ｅネリネ, 56,柴山雄, 1.2, 55,*  0,  -9, 6, 29.5, ④④, 7, 6, ゴスペル,,江田勇,195.6,,,,10, 58.0,⑦⑨⑩, 7,11,Ｇエンジェルクィｰン, 66,御神本, 0.8, 63,  -2,   3,10, 48.6,⑥⑥⑦, 7, 2,Ｄブルｰレパｰド, 81,吉田豊, 1.0, 72,  11,  -8, 9, 34.1,⑦⑨⑨
 8,15,Ｉトリナクリア, 36,大庭和, 1.4, 53,  -2,  -8,11, 79.7, ⑤⑥, 8, 8, サトノスロｰン,,山本康,195.6,,,, 1,  1.5,⑩⑥⑥, 8, 4,Ｋカリキュレイタｰ, 53,小野寺, 1.1, 61,  -4,   4,12,191.1,⑧⑨⑨, 8, 4,Ｂリバｰスモｰド, 84,後藤浩, 1.3, 66,  12, -18, 3,  5.8,④④③
 8,14, ブラストオンセット,---,丹内祐, 1.4, 51, -10,  -3,14,197.3, ⑨⑨, 9, 3, キョウエイライジン,,五十嵐,195.7,,,, 5, 18.8,⑧⑧⑧, 9, 5,Ｈアルコイリス, 65,伊藤工, 1.1, 60,*  0,  -2, 8, 26.3,②②②, 9, 9,Ｃヒシポラリス, 82,北村宏, 1.4, 64,   9, -12, 8, 30.6,⑧⑩⑩
10,12, ケルビｰノ,---,吉田豊, 2.3, 44,  -4, -16, 9, 57.6, ⑦⑧,10, 7, マイネルアルセｰヌ,,高野和,196.1,,,, 8, 52.9,⑪⑬⑨,10, 1,Ｊエタｰナルロマンス, 63,三浦皇, 1.2, 60,  -4,   3, 6, 14.0,⑩⑩⑩,10,10,Ｊコスモテナシャス, 72,石橋脩, 1.5, 66,* 14, -24,10, 51.5,③③⑤
11, 1, スリｰコｰスト,---,御神本, 2.4, 43, -26,*  3,12, 92.0, ⑮⑬,11,12, ハワイアンボｰイ,,佐藤聖,196.7,,,,14,103.0,⑫⑭⑭,11, 8,Ｉドンダケｰ, 64,吉田隼, 1.6, 59,  -5,   4, 9, 41.8,⑨⑫⑫,11, 8,Ｋエプソムアルテマ, 69,木幡初, 2.1, 61,   8, -18,11,142.0,⑪⑪⑪
12, 2,Ｇミヤコノモノガタリ, 43,郷原洋, 2.5, 41, -23,   0,10, 78.9, ⑭⑮,12,14, ユウタｰジャック,,穂苅寿,196.7,,,, 4, 13.5,⑭⑩⑪,12,10,Ｌカレンナオンナ, 36,菊沢隆, 3.1, 50,  -3, -14,11, 50.4,⑫⑦⑪,,,,,,,,,,,,
13, 4,Ｄストロベリｰタイム, 57,松岡正, 3.1, 37, -18,  -9, 7, 33.2, ⑬⑭,13,10, ステラディクオｰレ,,金子光,198.0,,,, 9, 56.2,⑬⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
14, 3, グレイドキング,---,江田照, 3.1, 38,*  1, -27, 3,  8.7, ①①,14, 1, モエレヘイセイ,,宗像徹,198.3,,,,13, 90.6,⑨⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,
15, 5, リネンベイビｰ,---,村田一, 3.2, 37, -13, -16,16,336.7, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 7,Ｈケイツｰスマック, 42,吉田隼, 4.5, 24, -27, -14,15,289.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-1),,,,,,,,,,,
"単勝:2,670円 複勝:16=440円 06=120円 08=210円 枠連:2,000円",,,,,,,,,,,,"単勝:2,650円 複勝:02=1,220円 09=300円 13=640円 枠連:6,620円",,,,,,,,,,,,単勝:380円 複勝:07=150円 06=130円 09=190円 枠連:540円,,,,,,,,,,,,単勝:470円 複勝:03=170円 06=130円 01=290円 枠連:460円,,,,,,,,,,,
"馬連:2,250円 ワイド:06-16=740円 08-16=1,600円 06-08=300円",,,,,,,,,,,,"馬連:6,580円 ワイド:02-09=1,590円 02-13=1,840円 09-13=870円",,,,,,,,,,,,馬連:560円 ワイド:06-07=230円 07-09=410円 06-09=450円,,,,,,,,,,,,"馬連:640円 ワイド:03-06=280円 01-03=1,050円 01-06=770円",,,,,,,,,,,
"馬単:7,440円 3連複:3,900円 3連単:40,990円",,,,,,,,,,,,"馬単:18,600円 3連複:14,920円 3連単:141,370円",,,,,,,,,,,,"馬単:1,100円 3連複:1,090円 3連単:3,930円",,,,,,,,,,,,"馬単:1,530円 3連複:2,980円 3連単:13,510円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,千葉日報杯,,,,,,,,,,
