09年 1月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初咲賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａロジロマンス, 83,横山典,, 82,*  8,* 13, 1,  1.1, ①①, 1, 8, オｰゾラヲマウトキ,---,三浦皇,, 56,  -3,  -5, 2,  2.9, ④④, 1, 3,Ｂエイシンアマデウス, 79,横山典,, 70,   4,*  6, 1,  1.7, ⑧⑧, 1, 6,Ｂスノｰクラッシャｰ, 82,松岡正,, 81,   6,* 13, 1,  3.3,④④④
 2, 6,Ｅフレアリングロｰズ, 54,吉田隼, 2.6, 59,  -8,*  5, 4, 42.6, ⑨⑧, 2,10, ホワイトホｰネット,---,黛弘人, 0.2, 55,*  1, -10, 1,  2.4, ①①, 2,16,Ｃニュｰトン, 77,北村宏, 0.2, 71,  10,* -1, 2,  5.8, ⑥⑥, 2, 8,Ｆマイネルファｰマ, 75,吉田隼, 0.2, 77,   6,   9, 4,  7.7,③③③
 3,14,Ｇクｰルザヒｰト, 51,坂井英, 2.9, 58,  -2,  -2, 7, 91.2, ⑥⑥, 3, 5, イグナイトカフェ,---,小島太, 0.8, 49,  -5,  -9, 6, 18.4, ⑤⑥, 3,15,Ａモアザンスマｰト, 84,三浦皇, 0.8, 67,  12,  -9, 3,  5.9, ④③, 3, 7,Ｍラヴォランテ, 71,横山典, 0.4, 78,   2,* 16, 5, 11.6,⑪⑫⑪
 4, 1,Ｃストロングロビン, 56,北村宏, 2.9, 56,  -6,   1, 2, 12.6, ⑦⑦, 4,13, バンダムパルフェ,---,北村宏, 0.8, 50, -13,   0,10, 88.0, ⑪⑪, 4,14,Ｆセイウンリファイン, 65,蛯名正, 0.9, 66,  11,  -8, 6, 21.4, ⑤⑤, 4, 5,Ｏムｰンレスナイト, 67,北村宏, 0.4, 72,*  7,   3,12, 69.3,②②②
 5, 7,Ｐストロベリｰタイム, 15,松岡正, 2.9, 58,   1,  -5,12,262.4, ③③, 5, 6, マイネセレネ,---,木幡初, 0.9, 49,* -1, -14, 4, 11.7, ③③, 5, 5,Ｇグラスキング, 64,鷹野宏, 1.2, 60,   6,  -6, 7, 24.3, ⑦⑦, 5,12,Ｅシルクマンハッタン, 77,江田照, 0.4, 74,*  9,   0, 9, 15.6,①①①
 6,12,Ｊクリノハッピｰ, 43,高橋智, 3.2, 54, -10,   1,15,473.5, ⑫⑪, 6, 9, エングレイス,---,鷹野宏, 1.0, 47, -26,*  8,12, 95.8, ⑭⑭, 6,11,Ｅサルバドｰルアスカ, 66,松岡正, 1.2, 66,* 15, -14, 5, 14.1, ②①, 6, 1,Ｃミヤビベガ, 81,坂井英, 0.4, 78,   5,  12, 2,  4.9,⑨⑩⑨
 7, 5,Ｄボスオブザリンド, 55,宮崎北, 3.7, 48, -10,  -3, 5, 44.7, ⑪⑩, 7,15, ジェットリリｰ,---,鈴来直, 1.0, 47, -10,  -6,14,137.0, ⑧⑦, 7, 6,Ｍジョウキゲン, 43,南田雅, 1.3, 59,   0,  -2,15,549.9, ⑬⑬, 7,11,Ｉベルモントルパン, 74,後藤浩, 0.4, 77,   5,  11, 7, 14.4,⑧⑨⑥
 8, 4,Ｍトキノサミット, 30,柴山雄, 3.8, 51,  -1, -12,10,209.2, ②②, 8, 3, ベルモントアイリス,---,内田博, 1.0, 46, -26,*  7, 3,  6.2, ⑬⑬, 8, 4,Ｌアポロビッグバン, 51,勝浦正, 1.5, 57,   0,  -4, 9, 85.6, ⑫⑫, 8,14,Ａコｰリンヴァリウス, 86,柴山雄, 0.6, 78,   2,* 16, 6, 14.4,⑮⑭⑭
 9,16,Ｂワイルドイマｰジュ, 62,三浦皇, 3.9, 47,  -1, -13, 3, 20.2, ④④, 9,11, カンシャノキモチ,---,村田一, 1.2, 48,  -8, -11,15,155.2, ⑥⑤, 9,13,Ｄパックノオトウト, 67,吉田隼, 1.7, 55,   3,  -8, 4, 10.6, ⑩⑪, 9, 3,Ｄショウナンラヴァｰ, 80,小野次, 0.6, 76,   3,  11,10, 19.9,⑫⑬⑫
10, 9,Ｆホッコｰテイオｰ, 52,大庭和, 3.9, 47,  -3, -12, 9,173.1, ⑤⑤,10,16, ヴィｰヴァドマｰニ,---,横山典, 1.4, 43, -12,  -8, 5, 14.2, ⑩⑩,10,10, メジャｰヴィｰナス,---,坂井英, 1.9, 54,   3, -10,13,273.6, ⑪⑩,10, 2,Ｊベストオｰカン, 73,勝浦正, 0.7, 75,   5,   7,13, 73.5,⑦⑧⑧
11,13,Ｋレッドジェム, 42,後藤浩, 4.1, 47,  -8,  -7, 8,137.2, ⑩⑨,11, 2, スイｰトメモリｰズ,---,丹内祐, 1.6, 41, -11, -11, 8, 64.1, ⑨⑨,11, 7, ブラウンバンガｰ,---,柴山雄, 1.9, 55,  -3,  -4,11,169.6, ⑯⑯,11,10,Ｌサムデイシュアｰ, 71,武士沢, 1.0, 71,   6,  -1,11, 40.7,⑤⑤⑦
12, 2,Ｈエビスホウシュウ, 48,武士沢, 4.2, 44, -20,   1,14,374.6, ⑮⑮,12, 4, アンファス,---,武士沢, 1.8, 39, -21,  -4,16,248.8, ⑫⑫,12,12,Ｈゴｰルドエンデバｰ, 63,江田照, 1.9, 60,* 14, -20, 8, 30.9, ③②,12, 9,Ｈコンベンション, 75,蛯名正, 1.3, 67,   6,  -5, 3,  6.5,⑥⑥⑤
13,10,Ｌセイユウミシェｰル, 33,江田照, 4.3, 45,  -8, -10, 6, 73.7, ⑧⑫,13, 7, グラスコロン,---,宮崎北, 2.1, 37, -31,*  4,11, 92.3, ⑮⑮,13, 2,Ｋナイスプロテクタｰ, 58,小林淳, 2.0, 53,  -1,  -6,16,597.6, ⑭⑭,13,13,Ｎマスラタケヲ, 69,大庭和, 1.5, 68,   1,   5,14,175.9,⑭⑮⑮
14, 8,Ｏデイジｰ, 20,村田一, 4.5, 46, -14,  -5,11,221.4, ⑭⑭,14, 1, ランチャｰドｰタｰ,---,江田照, 2.3, 37,* -2, -25,13,114.4, ②②,14, 1,Ｊヴィルヌｰヴダスク, 61,大庭和, 2.6, 47,   3, -16,12,176.6, ⑨⑨,14, 4,Ｋドレックセル, 72,村田一, 1.6, 66,   3,  -4,15,291.6,⑬⑪⑬
15,11,Ｉトｰセンメロディ, 45,小野次, 4.6, 43, -14,  -7,13,286.7, ⑬⑬,15,12, サキノロｰゼン,---,小林淳, 2.4, 35,  -8, -20, 9, 64.9, ⑦⑧,15, 8, ラブラブガッキｰ,---,村田一, 3.6, 41,  -3, -19,14,289.9, ⑮⑮,15,15,Ｇトｰセンジョｰカｰ, 75,田中勝, 1.7, 65,   5,  -9, 8, 15.1,⑩⑦⑩
16, 3,Ｎアロウィｰ, 29,伊藤工, 5.9, 29, -19, -14,16,561.1, ⑯⑯,16,14, カリオンレディ,---,松岡正, 3.3, 27, -35,  -4, 7, 25.4, ⑯⑯,16, 9,Ｉカネスラディカｰル, 61,伊藤工, 4.2, 38,* 13, -39,10,116.2, ①④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,
単勝:110円 複勝:15=110円 06=380円 14=700円 枠連:600円,,,,,,,,,,,,単勝:290円 複勝:08=130円 10=120円 05=280円 枠連:320円,,,,,,,,,,,,単勝:170円 複勝:03=110円 16=150円 15=150円 枠連:210円,,,,,,,,,,,,単勝:330円 複勝:06=140円 08=250円 07=360円 枠連:550円,,,,,,,,,,,
"馬連:950円 ワイド:06-15=480円 14-15=780円 06-14=4,610円",,,,,,,,,,,,馬連:350円 ワイド:08-10=170円 05-08=610円 05-10=710円,,,,,,,,,,,,馬連:440円 ワイド:03-16=210円 03-15=200円 15-16=380円,,,,,,,,,,,,"馬連:1,580円 ワイド:06-08=660円 06-07=760円 07-08=1,700円",,,,,,,,,,,
