09年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａフレアリングロｰズ, 63,吉田隼,, 65,  -2,*  7, 4, 12.2, ④④, 1,10, メジロラスタバン,,五十嵐,,,,, 3,  6.7,③③②, 1, 3,Ｂヒラボクシャトル, 76,内田博,, 74,   4,*  1, 3,  4.8,④④④, 1, 1,Ｄトｰセンクラウン, 82,北村宏,, 87,  -1,* 26, 4,  6.2,⑦⑥⑥
 2, 7,Ｂウインバンディエラ, 61,内田博, 0.1, 65,*  1,   4, 2,  4.4, ③③, 2, 6, サトノスロｰン,,山本康,198.1,,,, 2,  2.8,②①①, 2, 5,Ｊスカｰレットダイヤ, 64,吉田隼, 0.5, 69,   1,   0,12, 45.2,⑦⑥⑧, 2,10,Ａダイワルビア, 85,後藤浩, 0.0, 86,*  1,  18, 1,  3.6,②②②
 3, 9,Ｄマッドマックス, 57,的場勇, 0.2, 64,*  2,   2, 3,  9.1, ②②, 3, 1, スリｰメガトン,,白浜雄,199.9,,,, 1,  2.6,⑤④④, 3,10,Ｅナイキアプロｰド, 68,伊藤工, 0.6, 66,   1,  -3,10, 27.9,⑥⑦⑥, 3, 7,Ｇスペラｰレ, 78,三浦皇, 0.1, 85,*  2,  14, 6, 17.7,①①①
 4,10,Ｃミッキｰシュタルク, 60,三浦皇, 0.3, 63,*  3,   0, 1,  1.4, ①①, 4, 2, トミケンブロｰド,,柴田未,200.5,,,,10, 47.3,④⑤⑤, 4,16,Ｌモンテフェニックス, 62,柴田善, 0.6, 67,  -2,*  3,13, 60.0,⑭⑪⑪, 4, 9,Ｈマイネヴェロナ, 77,松岡正, 0.5, 80,*  1,  11, 5,  7.2,③③③
 5, 3,Ｅガイアファイア, 52,柴山雄, 1.4, 55, -10,   3, 5, 40.0, ⑧⑧, 5, 7, ウエルアップ,,平沢健,202.4,,,,11, 65.8,①②③, 5,12,Ｆパリスエトランゼル, 67,松岡正, 0.7, 65,   1,  -5, 6, 12.3,⑩⑧⑦, 5, 4,Ｋリバｰスモｰド, 72,吉田隼, 0.5, 81,   0,  14, 7, 17.9,④④④
 6, 4,Ｈシルクスフィｰダ, 48,小林淳, 1.7, 51,  -5,  -5, 7, 90.8, ⑤⑤, 6, 5, レオスタｰライト,,大庭和,204.4,,,, 6, 25.0,⑬⑩⑩, 6,15,Ｃセンシュアルドレス, 73,横山典, 0.7, 63,   3,  -7, 1,  3.9,⑧⑤⑤, 6, 3,Ｃコｰナｰストｰン, 84,内田博, 0.6, 82,  -1,  16, 2,  4.5,⑧⑧⑧
 7, 8,Ｉモルフェキセキ, 47,御神本, 1.9, 48, -12,   0, 6, 46.4, ⑪⑪, 7,11, レディリバティｰ,,矢原洋,204.5,,,,12, 93.4,⑨⑨⑨, 7, 8,Ａダイワチャｰム, 77,後藤浩, 0.8, 63,*  5, -12, 2,  4.0,③③③, 7, 6,Ｂブルｰレパｰド, 85,横山典, 0.6, 79,  -1,  16,10, 39.5,⑥⑦⑦
 8, 2,Ｆクリノハッピｰ, 52,高橋智, 2.0, 47, -24,* 10,10,212.9, ⑭⑫, 8, 3, リバルドボｰイ,,金子光,206.2,,,, 4,  9.1,⑧⑧⑧, 8, 9,Ｉプリンセスドルチェ, 65,小野次, 0.8, 65,  -1,  -2, 5, 11.7,⑫⑩⑨, 8, 2,Ｊアドマイヤスペｰス, 75,的場勇, 0.7, 81,  -4,  20, 8, 18.5,⑩⑩⑨
