09年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,山国川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 8,Ｉウルトラミュｰズ, 52,田辺裕, 2.3, 41,  -5, -12, 9, 22.9,⑯⑪⑨,12,11, アビアシオン,---,北村友, 1.6, 37, -29,  -2, 6, 13.1, ⑬⑬,12,13,Ｐサフランチカラ, 39,古川吉, 2.0, 62,*  9, -16,16,237.4,⑥⑥⑨,12, 5,Ｌオｰログランデ, 62,荻野琢, 0.9, 68, -17,  18,14, 70.7,⑮⑮⑮
13,15,Ｌベルファム, 49,荻野琢, 2.9, 43,  -8, -10,16,257.3,⑮⑯⑭,13, 5, オグリグッドマン,---,芹沢純, 2.1, 29, -28, -10,15,116.1, ⑪⑫,13, 9,Ｅルドベキア, 68,田中博, 2.6, 56,*  9, -28, 5, 12.9,②②⑤,13,15,Ｏマルノパイオニア, 59,太宰啓, 1.0, 64, -11,   7,10, 36.5,⑥⑦⑧
14, 9,Ｏシェルシュミディ, 39,浜中俊, 3.2, 38,  -4, -22, 6, 10.7,②⑥⑪,14,18, テイエムバｰジャラ,---,太宰啓, 2.8, 22, -40,  -7,11, 50.8, ⑮⑮,14, 6,Ｋアシュレイリバｰ, 64,荻野琢, 2.8, 54,* 10, -32,10, 49.7,①①④,14, 9,Ｅタガノアサヒ, 70,松田大, 1.1, 64, -14,  11,12, 44.2,⑫⑬⑬
15,16,Ｐレッドロザリオ, 38,中舘英, 6.5, 19,  -7, -43, 8, 15.2,⑪⑭⑯,15,10, ダイメイソニｰド,---,二本柳, 2.8, 24, -42,  -4,18,158.7, ⑯⑯,15,15,Ｏマｰブルワンダｰ, 58,的場勇, 3.4, 49,   5, -23,12,101.4,⑬⑭⑮,15, 8,Ｈジャングルバｰド, 65,安藤光, 1.4, 58, -13,   2, 4,  7.3,⑧⑨⑨
16, 3,Ａシルバｰビｰト, 64,北村友, 7.8,  2,  -5, -59, 3,  6.3,⑨⑨⑮,16,14, ケンブリッジモモ,---,赤木高, 2.8, 24, -43,  -3,13,103.0, ⑰⑰,,,,,,,,,,,,,16,10,Ｍスティｰルシャｰク, 60,上村洋, 1.8, 50,* -9, -12,11, 36.6,①①①
,,,,,,,,,,,,17, 9, クィｰンワルツ,---,難波剛, 3.2, 18, -44,  -8,17,156.2, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 2, シンアイ,---,安藤光, 3.5, 12, -34, -23,14,105.5, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:3),,,,,,,,,,,
"単勝:750円 複勝:14=290円 01=380円 10=150円 枠連:5,070円",,,,,,,,,,,,"単勝:410円 複勝:07=160円 03=260円 16=220円 枠連:1,120円",,,,,,,,,,,,"単勝:320円 複勝:03=150円 04=1,380円 01=1,550円 枠連:9,510円",,,,,,,,,,,,"単勝:1,170円 複勝:13=370円 06=200円 07=300円 枠連:2,080円",,,,,,,,,,,
"馬連:7,750円 ワイド:01-14=2,200円 10-14=620円 01-10=590円",,,,,,,,,,,,"馬連:2,060円 ワイド:03-07=820円 07-16=700円 03-16=1,210円",,,,,,,,,,,,"馬連:8,540円 ワイド:03-04=2,680円 01-03=6,080円 01-04=28,130円",,,,,,,,,,,,"馬連:2,870円 ワイド:06-13=1,130円 07-13=1,990円 06-07=1,000円",,,,,,,,,,,
