09年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｽﾄｰｸｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,12, ヤマノメリサ,---,松山弘, 5.9, 30,  -5, -36, 8, 46.0,⑨⑦⑩,,,,,,,,,,,,,13,12,Ｋエｰティｰバッハ, 52,太宰啓, 5.4, 32,  -7, -29,13,150.6,⑭⑩⑫,13, 3,Ｒゴｰルドキリシマ, 63,幸英明, 1.1, 78,* 18, -15, 8, 24.7, ①①
14,14,Ｊエリモポリス, 42,酒井学, 6.5, 30,  -5, -40,12,112.4,⑩⑪⑭,,,,,,,,,,,,,14, 8,Ｎカムイフォックス, 32,中村将, 5.6, 30, -14, -21,14,197.9,⑬⑭⑭,14,14,Ｑグレｰトバルサｰ, 65,芹沢純, 1.4, 75,   9,  -4,18,370.1, ⑰⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｉメリッサ, 76,生野賢, 1.5, 72,  13, -14,10, 29.5, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｊスペシャルフロｰト, 75,中村将, 1.5, 74,   5,   2,14, 93.9, ⑯⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｏアロマキャンドル, 69,佐藤哲, 1.9, 67,   4,  -2,12, 45.6, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｐニシノプライド, 66,熊沢重, 2.0, 66,* 16, -26,13, 73.4, ④④
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-5),,,,,,,,,,,
"単勝:3,730円 複勝:01=710円 08=130円 03=320円 枠連:3,060円",,,,,,,,,,,,単勝:190円 複勝:06=110円 01=120円 07=110円 枠連:420円,,,,,,,,,,,,"単勝:680円 複勝:10=220円 09=260円 05=150円 枠連:3,960円",,,,,,,,,,,,"単勝:1,640円 複勝:07=440円 05=190円 10=2,400円 枠連:1,290円",,,,,,,,,,,
"馬連:4,050円 ワイド:01-08=1,120円 01-03=3,210円 03-08=530円",,,,,,,,,,,,馬連:410円 ワイド:01-06=170円 06-07=150円 01-07=230円,,,,,,,,,,,,"馬連:3,780円 ワイド:09-10=880円 05-10=410円 05-09=620円",,,,,,,,,,,,"馬連:2,470円 ワイド:05-07=880円 07-10=14,510円 05-10=5,190円",,,,,,,,,,,
"馬単:13,730円 3連複:10,080円 3連単:98,750円",,,,,,,,,,,,"馬単:650円 3連複:340円 3連単:1,360円",,,,,,,,,,,,"馬単:6,430円 3連複:3,660円 3連単:29,700円",,,,,,,,,,,,"馬単:6,300円 3連複:77,900円 3連単:430,830円",,,,,,,,,,,
