09年 3月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  ダ1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾞﾗｯﾄﾞｽﾄｰﾝS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂエｰブダッチマン, 65,内田博,, 59,* -1,   0, 1,  2.1, ①①, 1, 3, ヘンリｰゴンドｰフ,,宗像徹,,,,, 1,  2.2,②②②, 1, 7,Ａアイアンデュｰク, 76,横山典,, 68,  -5,*  8, 1,  1.7, ⑩⑨, 1,14,Ｂインプルｰヴ, 89,石橋脩,, 88,  13,  13, 1,  4.1, ⑧⑥
 2,13,Ｊレグルスハｰト, 41,柴田善, 0.3, 56,  -7,*  3, 3, 13.1, ⑧⑨, 2, 4, ヒシバトル,,山本康,220.5,,,, 8, 56.2,⑥④③, 2,12,Ｅキュｰバンエイト, 62,蛯名正, 0.1, 71,*  5,  -3, 3,  7.6, ③③, 2,15,Ｉファイナルスコアｰ, 82,内田博, 0.2, 88,* 16,   9, 2,  4.6, ⑤④
 3, 3,Ｆクリノビリオネア, 54,横山典, 0.6, 52, -19,* 11, 6, 17.9, ⑭⑭, 3, 5, ブルｰベレッタ,,大庭和,221.1,,,, 7, 21.3,⑤⑤⑤, 3, 5,Ｆアッシュケｰク, 61,内田博, 0.1, 66,  -9,* 11, 2,  5.8, ⑫⑫, 3, 4,Ｄマジックボンバｰ, 87,岩田康, 0.5, 84,  13,   9, 7,  9.7, ⑦⑦
 4,14,Ｅティｰガｰ, 57,吉田隼, 0.7, 54,* -1,  -5, 4, 13.8, ②②, 4, 6, グランツｰリズモ,,五十嵐,221.5,,,, 6, 16.4,①①①, 4, 6, フォｰチュンガｰル,---,戸崎圭, 0.2, 70,   3,  -1,10, 88.9, ⑥⑥, 4, 6,Ｎタイセイハニｰ, 73,江田照, 0.7, 82,  10,  10, 9, 38.6, ⑨⑨
 5, 7,Ａタカラサンデｰ, 66,国分優, 0.7, 52,  -5,  -3, 2,  2.9, ⑥⑤, 5, 1, スナｰクムサシ,,仲田雅,221.6,,,, 3,  5.2,⑦⑥⑥, 5, 3,Ｂタマニュｰホｰプ, 69,松岡正, 0.3, 68,   4,  -4, 4,  8.0, ⑤⑤, 5,13,Ｊゲイリｰスノｰマン, 81,蛯名正, 0.8, 80,   8,  11,10, 39.9, ⑩⑩
 6,16,Ｇキングデザｰト, 53,柴山雄, 0.9, 52,  -4,  -5, 8, 21.5, ⑦⑥, 6, 2, ワイズタイクｰン,,高野和,222.5,,,,10,139.6,⑨⑨⑨, 6, 8,Ｈキミニムチュウ, 60,伊藤工, 0.4, 64,  -1,  -1, 8, 53.4, ⑧⑧, 6, 1,Ａトｰホウドルチェ, 91,三浦皇, 0.8, 83,* 16,   4, 5,  8.8, ①①
 7,12,Ｈマキシムギンガ, 46,伊藤工, 1.4, 46, -13,  -2,16,429.7, ⑫⑬, 7, 9, ランドマッハ,,植野貴,223.2,,,, 2,  3.9,④③④, 7, 2,Ｇクリノスレンダｰ, 61,武士沢, 0.5, 66,*  7, -10, 6, 18.5, ①①, 7, 5,Ｋウォｰタｰマｰク, 79,柴田善, 0.9, 77,   0,* 17, 8, 36.5, ⑮⑭
 8, 5, サウロビスティｰ,---,勝浦正, 1.4, 47, -10,  -3, 5, 17.4, ⑪⑩, 8, 8, クロタラリア,,金子光,223.9,,,, 9, 74.5,⑩⑩⑩, 8, 1,Ｃオッキオディガット, 69,国分優, 0.7, 62,   3,  -8, 5, 12.0, ④④, 8, 2,Ｌヴォレハクユウ, 78,中舘英, 0.9, 77,   2,* 16,12, 47.7, ⑭⑮
 9, 4,Ｉヤマイチボム, 42,木幡初, 1.5, 46,  -8,  -6,13,188.5, ⑨⑧, 9, 7, ファストソニック,,石神深,224.2,,,, 5, 15.1,③⑦⑧, 9, 4,Ｄプリンセスパトラ, 63,岩田康, 0.9, 61,*  5, -13, 7, 19.3, ②②, 9,12,Ｈイチライタッチ, 82,西田雄, 1.0, 76,   5,  12,15,124.0, ⑬⑫
10,15,Ｃパギ, 60,松岡正, 1.9, 43,* -3, -14, 9, 26.1, ④④,10,10, オｰプンガｰデン,,江田勇,224.2,,,, 4,  7.1,⑧⑧⑦,10, 9,Ｉナイトスズラン, 51,津村明, 1.0, 58,   2, -11, 9, 68.0, ⑦⑦,10, 9,Ｍジョイントスタｰズ, 75,津村明, 1.2, 76,   6,  10,13, 48.6, ⑫⑪
11, 9,Ｌカミノスカｰレット, 40,江田照, 2.2, 40,  -8, -12,10, 60.1, ⑩⑪,,,,,,,,,,,,,11,10,Ｊリュウノシルバｰ, 51,江田照, 1.1, 56,  -5,  -5,13,342.7, ⑪⑪,11,11,Ｃスリｰセブンスピン, 88,吉田隼, 1.3, 78,* 16,  -1, 4,  6.5, ④③
12, 1,Ｎオンワｰドアコｰル, 28,郷原洋, 2.2, 40,* -3, -17,12,184.4, ③③,,,,,,,,,,,,,12,13,Ｋバｰティカルライン, 42,丹内祐, 1.9, 46,  -3, -18,11,268.2, ⑨⑩,12, 7,Ｅアントニオマグナム, 87,小野次, 2.1, 71,* 16,  -8,11, 44.4, ②⑤
13, 6,Ｋアｰトオブワｰルド, 41,的場勇, 2.7, 35,  -5, -20,15,405.7, ⑤⑦,,,,,,,,,,,,,13,11, グランドロｰザ,---,南田雅, 2.0, 44,  -9, -13,12,314.5, ⑬⑬,13,10,Ｆトウショウガナｰ, 85,横山典, 2.1, 71,* 16,  -8, 3,  6.5, ③②
14,11, アスパルテｰム,---,宮崎北, 3.1, 31, -24,  -6,14,353.3, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｇマハｰバリプラム, 84,松岡正, 2.3, 66,   6,   0, 6,  9.2, ⑪⑬
15, 2,Ｍペカｰ, 36,田中勝, 7.5, -9, -41, -28,11,126.0, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｏブライティアミラ, 73,丸田恭, 2.5, 66,  13,  -9,14, 98.7, ⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:-4),,,,,,,,,,,
単勝:210円 複勝:10=120円 13=340円 03=330円 枠連:660円,,,,,,,,,,,,"単勝:220円 複勝:03=140円 04=980円 05=350円 枠連:5,300円",,,,,,,,,,,,単勝:170円 複勝:07=110円 12=160円 05=160円 枠連:520円,,,,,,,,,,,,"単勝:410円 複勝:14=190円 15=170円 04=290円 枠連:1,000円",,,,,,,,,,,
