09年 7月25日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月25日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
10, 7,Ｉデルマドミティア, 38,中谷雄, 2.0, 34,  -9, -17,11,282.7, ⑨⑨,,,,,,,,,,,,,10, 5,Ｅベルモントユリア, 70,菊沢隆, 0.7, 64,   4,  -2, 9, 37.7, ③④,10, 8,Ｆニシノキンレンポ, 68,小林久, 1.9, 65,  -3,   8,12,200.3,⑬⑫⑩
11, 9,Ｋシルクガブリエル, 29,田中博, 2.6, 29,  -4, -26,10, 72.1, ⑤⑧,,,,,,,,,,,,,11, 1,Ａミッキｰシュタルク, 76,藤田伸, 1.1, 57,  -4,   0, 1,  2.1, ⑩⑨,11,12,Ｈマルサンサイレンス, 66,丸田恭, 2.2, 63,  -4,   7,13,230.6,⑪⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,12,12,Ｉリキサンシンオｰ, 62,柴原央, 2.0, 50,   1, -12, 8, 37.2, ⑥⑪,12, 7,Ｇバｰニングラブ, 67,宮崎北, 3.0, 54,  -2,  -4, 9, 94.7,⑨⑦⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｌフレｰバｰティｰ, 56,五十嵐, 3.2, 55,  -2,  -5,11,106.5,③⑧⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:-3),,,,,,,,,,,
"単勝:410円 複勝:06=170円 02=310円 10=200円 枠連:1,990円",,,,,,,,,,,,単勝:190円 複勝:01=140円 03=320円 枠連:0円,,,,,,,,,,,,"単勝:1,050円 複勝:04=290円 03=230円 02=530円 枠連:2,960円",,,,,,,,,,,,"単勝:1,930円 複勝:02=260円 01=240円 11=110円 枠連:4,890円",,,,,,,,,,,
"馬連:1,640円 ワイド:02-06=530円 06-10=440円 02-10=760円",,,,,,,,,,,,"馬連:1,060円 ワイド:01-03=190円 01-02=110円 02-03=190円",,,,,,,,,,,,"馬連:2,750円 ワイド:03-04=770円 02-04=1,620円 02-03=1,830円",,,,,,,,,,,,"馬連:5,810円 ワイド:01-02=1,140円 02-11=350円 01-11=310円",,,,,,,,,,,
"馬単:3,320円 3連複:2,810円 3連単:16,520円",,,,,,,,,,,,"馬単:1,350円 3連複:240円 3連単:2,180円",,,,,,,,,,,,"馬単:5,410円 3連複:13,190円 3連単:67,890円",,,,,,,,,,,,"馬単:12,970円 3連複:1,920円 3連単:28,790円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 8R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■11R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾗﾍﾞﾝﾀﾞｰ賞,,,,,,,,,,,,恵庭岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａミッキｰリヒト, 73,安藤勝,, 66,*  7,* -4, 2,  2.5,①①①, 1, 1,Ｂスズカスコｰピオン, 73,岩田康,, 65,  -8,* 13, 2,  3.8,③④③, 1, 2,Ｃキョウエイアシュラ, 59,三浦皇,, 67, -10,*  8, 1,  3.1, ⑥⑥, 1, 1,Ｄグランドカラｰ, 73,五十嵐,, 76,*  8,   0, 5, 11.0,③③③
 2, 7,Ｃテキサスコマンド, 71,秋山真, 0.2, 67,   5,*  0, 3,  6.1,⑨⑨⑤, 2, 9,Ａキｰネプチュｰン, 74,安藤勝, 0.2, 62,  -8,* 12, 1,  1.6,⑩⑤⑤, 2, 9,Ｄチェリｰソウマ, 55,藤田伸, 0.2, 63,* -1,  -4, 2,  3.4, ①①, 2, 8,Ｃグラヴィテｰション, 74,横山典, 0.0, 75,   5,   6, 1,  2.8,⑦⑥⑥
 3,12,Ｈトキメキヒｰロｰ, 60,横山典, 1.0, 61,   3,* -3, 7, 65.0,⑫⑪⑥, 3, 5,Ｆマルブツハッピｰ, 62,宮崎北, 0.2, 60,* -7,  10, 6, 36.9,②②②, 3, 4,Ｆプレミアムストｰン, 53,岩田康, 0.3, 61, -10,   4, 7, 19.6, ⑦④, 3,13,Ｉアオゾラペダル, 70,藤田伸, 0.1, 74,   6,   0,10, 29.1,⑤⑤④
 4,11,Ｊカワキタラブポップ, 55,山口竜, 1.2, 59,*  7, -14,12,204.2,⑤②②, 4, 2,Ｇスプリンググレン, 59,丸山元, 0.5, 60,* -7,   8, 8, 88.6,④③④, 4,10,Ｅエスカｰダ, 54,菊沢隆, 0.3, 60,* -3,  -2,10, 46.2, ②②, 4,15,Ｌセイカカリンバ, 69,田中博, 0.2, 73,* 10,  -6,13, 44.9,①①①
 5, 2,Ｄスｰパｰタイトル, 64,荻野琢, 1.6, 58,   4, -12, 9, 88.9,⑦⑧⑫, 5, 3,Ｄラグナロク, 63,秋山真, 0.7, 58,* -6,   4, 3,  7.2,①①①, 5, 8, ポップコｰン,---,五十嵐, 0.4, 62, -15,*  8, 6, 12.2, ⑨⑨, 5, 9,Ｂスマｰトステｰジ, 78,岩田康, 0.2, 74,   5,   5, 3,  8.3,⑧⑧⑧
 6, 3,Ｆシｰサイドカフェ, 61,柴原央, 1.8, 55,*  7, -17, 6, 60.2,③④④, 6,10,Ｃベルモントラスタｰ, 64,吉田稔, 1.0, 58, -12,  10, 4, 10.6,⑫⑩⑧, 6, 3, ロサガリカ,---,川島洋, 0.7, 56,  -6,  -5, 8, 19.7, ④⑤, 6,16,Ｏネオベロｰナ, 68,秋山真, 0.4, 71,*  9,  -8,15, 58.4,②②②
 7, 6,Ｅヘリオスアレイオン, 64,丸田恭, 1.9, 54,   1,  -9, 4, 22.8,⑪⑫⑪, 7,12,Ｅプライムウィッシュ, 63,三浦皇, 1.0, 56,  -8,   5, 5, 27.6,⑤⑥⑥, 7, 5, ミサトサウス,---,吉田稔, 0.9, 55, -18,   4,11, 69.9, ⑩⑩, 7, 3,Ａギムレットアイ, 78,安藤勝, 0.4, 75,   1,* 11, 2,  4.7,⑫⑬⑬
 8,13,Ｉスグリワ, 57,田中博, 1.9, 55,   4, -14, 8, 73.7,⑩⑩⑩, 8, 7,Ｉペルシステンテ, 51,五十嵐, 1.7, 54, -12,   7, 7, 37.6,⑨⑪⑪, 8, 1,Ａコスモソルスティス, 76,丸田恭, 1.3, 47,  -4, -14, 3,  6.5, ③③, 8, 2,Ｅナリタプラチナ, 73,吉田稔, 0.4, 73,   5,   2, 6, 11.3,⑥⑦⑦
 9, 8,Ｍセレスアシュリｰ, 43,中舘英, 2.6, 49,   1, -15,11,201.6,⑬⑬⑬, 9,13,Ｈトウケイシャイン, 53,川島信, 2.0, 49, -10,   0,11,260.7,⑦⑨⑨, 9,12, オノユウ,---,桑村真, 1.4, 47, -11,  -9, 4,  7.9, ⑧⑦, 9,11,Ｎヒルトップシｰン, 68,四位洋, 0.7, 71,   2,   3, 9, 27.8,⑬⑫⑫
10, 4,Ｂキャニオンブラウン, 73,岩田康, 2.8, 49,   6, -25, 1,  1.8,⑧⑦③,10, 6,Ｍワッフルワッフル, 42,武英智, 2.3, 50, -13,   3,13,440.6,⑪⑫⑫,10, 6,Ｂココカラ, 61,中舘英, 1.7, 44,  -9, -15, 5, 10.5, ⑤⑧,10, 4,Ｐハッピｰパレｰド, 61,武幸四, 0.7, 76,  -2,* 12,14, 50.2,⑭⑭⑮
11, 5,Ｇマイスタｰ, 61,上野翔, 2.9, 47,*  6, -27,10,159.8,④⑤⑦,11,11,Ｊトｰホウメジャｰ, 50,船曳文, 2.4, 48,  -9,  -6,12,429.6,⑧⑦⑩,11, 7, ホワイトロマン,---,斉藤正, 1.9, 42, -20,  -6,12,106.2, ⑫⑫,11, 6,Ｍダッシュアキチャン, 69,丸田恭, 0.7, 69,   3,   4,11, 40.0,⑨⑪⑩
12,10,Ｌヤマノカントリｰ, 47,長谷川, 3.3, 48,*  7, -30,13,498.8,⑥⑥⑨,12, 8,Ｋシルクパイレｰツ, 47,丸田恭, 3.0, 44, -15,   0,10,208.6,⑬⑬⑬,12,11, ウイニングリｰダｰ,---,山口竜, 2.3, 36, -18, -14, 9, 24.4, ⑪⑪,12,12,Ｈキングオブチャド, 71,三浦皇, 0.7, 70,   5,  -2, 4, 10.9,⑪⑨⑨
13, 9,Ｋマスタｰギラティナ, 52,藤岡佑, 4.1, 39,*  7, -38, 5, 41.9,②③⑧,13, 4,Ｌサｰフロック, 46,荻野琢, 3.2, 43, -10, -11, 9,115.9,⑥⑧⑦,,,,,,,,,,,,,13,14,Ｊマイネルシュトルム, 69,中舘英, 0.7, 70,*  8,  -9, 8, 20.8,④④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｆコハクジョｰ, 73,宮崎北, 0.8, 69,   4,  -1, 7, 15.8,⑩⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｋナムラアｰガス, 69,小林徹, 1.2, 68,  -3,*  9,16,201.1,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｇアイアムピカイチ, 72,藤岡佑, 1.2, 67,   0,   3,12, 41.8,⑯⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,
"単勝:250円 複勝:01=150円 07=230円 12=1,310円 枠連:820円",,,,,,,,,,,,単勝:380円 複勝:01=120円 09=110円 05=380円 枠連:210円,,,,,,,,,,,,単勝:310円 複勝:02=130円 09=150円 04=340円 枠連:410円,,,,,,,,,,,,"単勝:1,100円 複勝:01=320円 08=150円 13=660円 枠連:650円",,,,,,,,,,,
"馬連:880円 ワイド:01-07=250円 01-12=1,310円 07-12=2,020円",,,,,,,,,,,,馬連:220円 ワイド:01-09=140円 01-05=850円 05-09=540円,,,,,,,,,,,,馬連:590円 ワイド:02-09=260円 02-04=850円 04-09=950円,,,,,,,,,,,,"馬連:1,510円 ワイド:01-08=500円 01-13=5,170円 08-13=1,700円",,,,,,,,,,,
"馬単:1,400円 3連複:8,950円 3連単:22,240円",,,,,,,,,,,,"馬単:620円 3連複:1,280円 3連単:5,120円",,,,,,,,,,,,"馬単:1,130円 3連複:2,580円 3連単:9,500円",,,,,,,,,,,,"馬単:5,100円 3連複:15,310円 3連単:96,900円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 6R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,TVh賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａホワイトクルｰザｰ, 66,藤田伸,, 71,  -3,* 11, 1,  3.4, ⑤③, 1,10,Ｈベイルリ, 57,五十嵐,, 71,   1,*  5, 6, 30.5,⑩⑩⑪, 1, 8,Ａアグネスナチュラル, 77,三浦皇,, 76,*  6,   3, 1,  2.8, ②②, 1, 9,Ｅノワｰルシチｰ, 76,中舘英,, 79,*  6,  13, 1,  4.1,②②①
 2, 4,Ｋタガノシュペリエル, 35,国分優, 0.3, 69,* -1,*  6, 7, 15.1, ③②, 2, 1,Ｃベｰリンジア, 66,藤岡佑, 0.2, 67,   4,  -5, 2,  4.4,⑦⑦⑤, 2, 2,Ｃティムガッド, 75,藤岡佑, 0.2, 73,   3,   3, 7, 25.9, ③③, 2, 4,Ｃスマイルキング, 79,横山典, 0.8, 73,   4,   9, 5,  6.3,④④③
 3, 3,Ｂブレｰヴクン, 64,藤岡佑, 1.2, 59,  -4,   1, 2,  4.3, ⑥⑥, 3, 5,Ａスズカマグナム, 73,安藤勝, 0.3, 67,   1,   0, 1,  1.8,⑫⑪⑧, 3, 9,Ｄトウカイミステリｰ, 74,武幸四, 0.2, 74,   3,   3, 4,  5.3, ④④, 3, 3,Ｊナカヤマスウェプト, 67,丸山元, 0.8, 74,*  5,   8, 6, 13.6,③③②
 4, 2,Ｇオモイノママニ, 58,武英智, 1.4, 58,*  2,  -6,10, 29.9, ①①, 4,12,Ｊラｰマブルｰ, 57,三浦皇, 0.4, 66,   4,  -6,10, 56.6,⑨⑧⑦, 4, 1,Ｅトップオブピｰコイ, 71,吉田稔, 0.2, 73, -11,* 17, 5, 10.1, ⑨⑨, 4, 8,Ｇスパｰクルシチｰ, 73,川島信, 0.9, 74,  -1,* 18, 7, 18.5,⑬⑫⑫
 5, 8,Ｅカシノコロン, 60,丸山元, 1.5, 57,  -2,  -4, 9, 21.6, ④⑤, 5,14,Ｋシャンパンブランチ, 56,横山典, 0.4, 66,   0,*  3, 7, 35.4,⑬⑫⑭, 5, 3,Ｆタニノゴッドマザｰ, 71,菊沢隆, 0.3, 71,  -6,  11, 8,105.3, ⑦⑦, 5,10,Ａブチカマシ, 81,宮崎北, 0.9, 73,   2,  12, 3,  4.8,⑨⑦⑥
 6,10,Ｆサンレイクロフネ, 60,小野寺, 1.5, 54, -16,*  5, 3,  5.6, ⑫⑪, 6,13,Ｂババロア, 67,四位洋, 0.7, 64,   0,  -1, 5, 22.5,⑭⑬⑬, 6, 7,Ｂアドマイヤプルｰト, 75,岩田康, 0.5, 69,   1,   2, 3,  5.1, ⑥⑥, 6, 7,Ｆニュｰロザリオ, 73,荻野琢, 1.3, 74,   0,  12, 8, 29.4,⑫⑪⑨
 7, 5,Ｄプラチナグリッタｰ, 62,秋山真, 1.5, 55,  -6,  -1, 4,  6.1, ⑦⑦, 7,16,Ｌアイズオブゾロ, 55,菊沢隆, 0.8, 61,  -2,  -1, 8, 41.5,⑯⑭⑫, 7, 5,Ｉシセイヒカリ, 63,五十嵐, 0.7, 66,  -7,   7, 9,148.1, ⑧⑧, 7,12,Ｄナイスシャトル, 78,藤田伸, 1.3, 70,   2,   9, 4,  5.5,⑧⑧⑦
 8, 7,Ｃビｰクｰル, 62,宮崎北, 1.8, 51, -12,   0, 6, 13.8, ⑨⑧, 8, 2,Ｍクレバｰダライｰル, 50,荻野琢, 0.9, 60,   5, -18,16,565.5,④⑤⑨, 8, 6,Ｇシシャモチャン, 71,小林徹, 0.8, 65,*  7,  -9, 6, 22.2, ①①, 8, 6,Ｉキャプテンルビｰ, 68,吉田稔, 1.5, 71,   0,  11,11, 53.8,⑩⑩⑩
 9, 1,Ｉショウナンマゴコロ, 49,岩田康, 2.0, 52,  -1,  -8, 8, 17.4, ②④, 9, 3,Ｎリッカカントリｰ, 49,丸山元, 1.0, 59,   2, -14,13,253.1,⑧⑨⑩, 9, 4,Ｈトシザコジｰン, 70,安藤勝, 1.0, 62,   1,  -5, 2,  3.3, ⑤⑤, 9, 2,Ｈニシノシャア, 70,長谷川, 1.5, 72,   3,   5, 9, 40.4,⑤⑤⑧
10, 6,Ｈヨイチラブソング, 52,五十嵐, 2.1, 49, -15,   0,11, 44.9, ⑪⑨,10, 9,Ｇダｰクセクタｰ, 59,松田大, 1.2, 58,   6, -20, 4, 12.4,⑥⑥⑥,,,,,,,,,,,,,10, 1,Ｂロｰンウルフ, 79,三浦皇, 1.6, 68,   3,   5, 2,  4.6,⑥⑥④
11, 9,Ｊセヴンアプロｰチ, 44,芹沢純, 2.4, 44, -12,  -6, 5, 12.1, ⑩⑩,11, 6,Ｅウインスカイハイ, 63,藤田伸, 1.3, 56,*  7, -27, 3,  5.3,③④③,,,,,,,,,,,,,11, 5,Ｍカネスアスラン, 41,丸田恭, 2.9, 60,   1,  -2,12,120.8,⑦⑨⑪
12,12,Ｌフェザｰズビｰン, 28,荻野琢, 3.7, 35,  -7, -20,12,190.9, ⑧⑫,12,15,Ｏインディアンボス, 45,小林徹, 2.0, 52,  -1, -15,15,536.8,⑮⑯⑮,,,,,,,,,,,,,12,11,Ｌベレンバン, 44,山口竜, 2.9, 61,  -2,   3,10, 45.7,⑪⑬⑬
,,,,,,,,,,,,13, 8, インガット,---,長谷川, 2.0, 53,  -1, -15,14,429.4,⑪⑮⑯,,,,,,,,,,,,,13,13,Ｋユキノマｰヴェラス, 58,田中博, 3.7, 54,*  6, -19,13,133.1,①①⑤
,,,,,,,,,,,,14, 4,Ｄマリｰンルｰジュ, 65,秋山真, 2.0, 50,*  7, -36,11, 63.3,⑤③④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 7,Ｉサウンドデイジｰ, 57,宮崎北, 2.2, 48,*  8, -43, 9, 55.8,②②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,11,Ｆヨツバノクロｰバｰ, 61,川島信, 2.9, 43,*  8, -53,12,241.1,①①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-3),,,,,,,,,,,
"単勝:340円 複勝:11=160円 04=440円 03=140円 枠連:3,640円",,,,,,,,,,,,"単勝:3,050円 複勝:10=430円 01=150円 05=110円 枠連:1,650円",,,,,,,,,,,,"単勝:280円 複勝:08=130円 02=350円 09=170円 枠連:1,730円",,,,,,,,,,,,"単勝:410円 複勝:09=170円 04=210円 03=410円 枠連:1,300円",,,,,,,,,,,
"馬連:3,330円 ワイド:04-11=1,370円 03-11=260円 03-04=1,110円",,,,,,,,,,,,"馬連:5,560円 ワイド:01-10=1,210円 05-10=860円 01-05=200円",,,,,,,,,,,,"馬連:2,570円 ワイド:02-08=690円 08-09=250円 02-09=1,150円",,,,,,,,,,,,"馬連:1,400円 ワイド:04-09=610円 03-09=1,110円 03-04=1,370円",,,,,,,,,,,
"馬単:4,350円 3連複:4,660円 3連単:24,020円",,,,,,,,,,,,"馬単:17,930円 3連複:2,910円 3連単:48,990円",,,,,,,,,,,,"馬単:3,830円 3連複:3,100円 3連単:19,250円",,,,,,,,,,,,"馬単:2,870円 3連複:7,120円 3連単:31,800円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
