09年12月20日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月20日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝2500m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,香嵐渓特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａマストバイアイテム, 66,川島信,, 57,  -6,*  2, 2,  2.8, ⑩⑪, 1,15,Ａタムロスカイ, 62,国分恭,, 64,  -2,  -2, 1,  2.8,⑦⑤⑤, 1, 3,Ｃマツリダガッツ, 76,中舘英,, 83,* 10,   4, 2,  3.6,①①①, 1, 7,Ａタマモクリエイト, 87,中舘英,, 76,*  8,* 12, 1,  2.4,④③③
 2,15,Ｂトｰセンキャッスル, 61,中舘英, 0.1, 63,*  6,  -7, 1,  2.7, ②②, 2, 9,Ｈアグネスアンデス, 54,長谷川, 0.1, 62,*  3, -11, 6, 11.2,⑨①①, 2, 2,Ｉトパンガ, 67,上村洋, 0.0, 83,*  8,*  8, 6, 15.3,⑤③②, 2,15,Ｂリバプｰルサウンド, 83,和田竜, 0.4, 74,   7,* 11, 2,  4.1,⑨⑦⑦
 3, 5,Ｎミリオンハッピｰ, 27,村田一, 0.4, 56,  -1,  -6,10, 44.9, ⑤④, 3,10,Ｂバトルオブブリテン, 62,石橋脩, 0.5, 60,*  1, -13, 3,  6.1,②③②, 3, 6,Ｅナリタジャングル, 74,和田竜, 0.1, 82,*  9,*  8, 1,  3.1,⑥④④, 3, 9,Ｅタニノロッキｰ, 78,渡辺薫, 0.4, 76,   7,* 11, 3,  5.4,⑤⑥⑥
 4, 6,Ｈサニｰエリザベス, 48,丸田恭, 0.7, 53,  -3,  -6, 8, 29.5, ⑧⑨, 4, 7,Ｅタガノアブシンベル, 59,古川吉, 0.8, 59,  -6,  -4, 5, 10.3,⑭⑪⑩, 4, 4,Ａジョイザラス, 81,田中博, 0.3, 81,   7,*  8, 4,  8.4,⑧⑥⑤, 4, 5,Ｇホｰマンクラフト, 77,古川吉, 0.8, 74,   6,  11, 6, 18.4,⑧⑧⑨
 5, 9,Ｅエスジｰナミ, 53,安部幸, 0.7, 54,  -3,  -6, 5, 15.9, ⑦⑥, 5, 3,Ｊヒロノカイラ, 51,田中博, 0.8, 57,  -4,  -7,11,131.8,⑩⑨⑧, 5,16,Ｊタイキカレラ, 67,的場勇, 0.9, 73,   7,   0, 7, 18.7,⑦⑦⑦, 5, 4,Ｊブチカマシ, 73,田辺裕, 0.9, 73,   6,* 12, 9, 55.6,⑩⑪⑩
 6,12,Ｄシュンセイ, 55,和田竜, 1.0, 47,  -9,  -5, 6, 22.5, ⑬⑫, 6, 6,Ｎマルタカテンザン, 46,大庭和, 0.8, 59,  -6,*  0, 9, 71.9,⑫⑫⑫, 6,10,Ｄシルクタイタン, 75,古川吉, 1.1, 74,* 10, -10, 5,  8.9,②②③, 6,14,Ｈナリタベガ, 75,安藤光, 0.9, 69,   6,   9,15,199.8,⑪⑨⑧
 7,13,Ｏハナムラ, 19,津村明, 1.3, 43, -20,* -1,13, 90.6, ⑮⑭, 7,13,Ｃマイネルグｰト, 61,津村明, 0.9, 54,   0, -17, 4,  8.0,③④③, 7, 5,Ｆスマｰトファントム, 68,国分恭, 1.4, 70,   7,  -6, 8, 18.9,⑨⑨⑧, 7,12,Ｃバンドゥロンシャン, 81,上村洋, 0.9, 72,   8,   5, 4,  8.0,⑥④④
 8, 8,Ｌリトルアイ, 42,丸山元, 1.4, 54,*  7, -16,15,241.8, ①①, 8, 4,Ｍタｰンベリｰ, 46,荻野琢, 1.1, 52,  -7,  -5,16,292.3,⑬⑬⑬, 8,14,Ｍジュワユｰス, 59,南田雅, 2.1, 65,   5,  -7,12,124.0,⑫⑫⑫, 8, 1,Ｄトップジャイアンツ, 78,鮫島良, 1.1, 70,*  9,   2, 5, 11.0,①①①
 8, 4,Ｊプリンセスティアラ, 42,田中博, 1.4, 44,  -8,  -8,11, 63.4, ⑫⑦, 9,14,Ｌクリｰンダイアナ, 46,鮫島良, 1.2, 54, -10,  -2,10, 76.8,⑮⑮⑮, 9, 1,Ｋアスカノラムセス, 61,丸山元, 2.2, 64,   6, -10, 9, 24.7,⑩⑩⑭, 9, 6,Ｆトップオブザロック, 78,生野賢, 1.2, 68,   7,   4, 7, 26.6,③⑤⑤
10,10,Ｉボンビバン, 46,大野拓, 1.5, 42,  -8, -11, 9, 40.8, ⑪⑧,10, 5,Ｄボストンプラチナ, 59,的場勇, 1.4, 48,  -4, -16,14,157.6,⑥⑧⑪,10, 9,Ｈヤマニンアロンディ, 68,武英智, 2.2, 64,   4,  -7,14,191.8,⑯⑭⑩,10, 8,Ｉエプソムスタウト, 73,田中博, 1.4, 69,   6,   5,10, 68.9,⑬⑩⑫
11, 1,Ｇクロリス, 49,的場勇, 1.5, 45,   0, -16, 7, 24.3, ③③,11,16,Ｉリッツィｰスタｰ, 53,田辺裕, 1.5, 48,  -1, -22,15,188.0,⑤⑦④,11,15,Ｇシングンリタｰンズ, 68,草野太, 2.9, 59,   5, -17,10, 46.6,⑪⑬⑬,11, 2,Ｌダノンマッハ, 65,石橋脩, 1.4, 70,   5,   7,14,164.7,⑫⑫⑪
12, 2,Ｃリバｰレッド, 55,小野寺, 1.6, 44,  -1, -16,12, 78.0, ④⑤,12, 8,Ｇキングシャｰロット, 55,田中健, 1.5, 50,  -4, -17, 7, 13.6,⑧⑩⑨,12,11,Ｂウォｰボネット, 77,石橋脩, 3.0, 59,*  9, -33, 3,  6.7,③⑤⑥,12,10,Ｍトウホクビジン, 64,安部幸, 1.6, 71,   3,  10, 8, 43.9,⑮⑬⑬
13,11,Ｆシゲルツキヤマドノ, 50,国分恭, 1.6, 44,  -1, -16, 3,  6.1, ⑥⑩,13,11,Ｐシャコｰグランツ, 33,丸山元, 1.6, 48,  -8, -10,13,148.2,⑪⑭⑭,13,13,Ｐエムテイホムラ, 49,安藤光, 3.0, 58,   3, -13,16,308.2,⑮⑯⑮,13, 3,Ｋボストンカラｰズ, 70,長谷川, 1.8, 66,*  9,  -4,12, 94.9,②②②
14, 7,Ｍチャツミムスメ, 36,荻野琢, 1.6, 43,  -6, -13, 4, 12.3, ⑨⑬,14, 1,Ｋリスキｰタイム, 49,鷹野宏, 1.6, 52, -15,*  6,12,145.6,⑯⑯⑯,14, 8,Ｎエプソムブラスト, 57,津村明, 3.2, 58,   6, -25,15,302.7,⑬⑪⑪,14,13, チョイワルグランパ,---,菊沢隆, 3.2, 58,   1,  -1,11, 72.8,⑭⑮⑭
15,14,Ｋロングコロナ, 42,田中健, 2.4, 33, -18, -13,16,265.7, ⑭⑮,15,12,Ｏポリッシュアップ, 40,村田一, 2.2, 42,  -1, -31, 8, 43.3,④⑥⑦,15,12,Ｌエタｰナルロマンス, 60,小野寺, 3.7, 54,*  8, -42,11, 94.8,④⑧⑨,15,11, ジョウノストｰン,---,松田大, 5.8, 41,   1, -24,13,147.4,⑦⑭⑮
16,16,Ｐマンハッタンロｰズ,  7,水出大, 2.5, 34, -26,  -8,14,213.6, ⑯⑯,16, 2,Ｆヤマニンアストレア, 56,中舘英, 2.6, 39,*  2, -43, 2,  3.9,①②⑥,16, 7,Ｏスプリングバルサ, 53,田辺裕, 4.1, 51,   3, -32,13,130.3,⑭⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,
単勝:280円 複勝:03=120円 15=130円 05=600円 枠連:370円,,,,,,,,,,,,単勝:280円 複勝:15=140円 09=310円 10=190円 枠連:630円,,,,,,,,,,,,"単勝:360円 複勝:03=150円 02=320円 06=140円 枠連:1,280円",,,,,,,,,,,,単勝:240円 複勝:07=120円 15=120円 09=140円 枠連:460円,,,,,,,,,,,
"馬連:360円 ワイド:03-15=190円 03-05=1,300円 05-15=1,330円",,,,,,,,,,,,"馬連:1,480円 ワイド:09-15=690円 10-15=370円 09-10=1,250円",,,,,,,,,,,,"馬連:2,200円 ワイド:02-03=880円 03-06=270円 02-06=850円",,,,,,,,,,,,馬連:550円 ワイド:07-15=210円 07-09=260円 09-15=350円,,,,,,,,,,,
"馬単:820円 3連複:3,460円 3連単:12,800円",,,,,,,,,,,,"馬単:2,510円 3連複:3,350円 3連単:14,670円",,,,,,,,,,,,"馬単:4,360円 3連複:2,570円 3連単:16,090円",,,,,,,,,,,,"馬単:980円 3連複:820円 3連単:2,950円",,,,,,,,,,,
■ 2R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,納屋橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａリバイバルシチｰ, 79,草野太,, 76,   9,*  8, 1,  2.3,⑤④④, 1, 7, アンクルバンザイ,---,嘉藤貴,, 57, -14,*  3, 4,  6.8, ⑤⑤, 1,10,Ｅトップキングダム, 71,田辺裕,, 76,  10,   8, 2,  4.5,⑨④④, 1, 6,Ａケイアイアストン, 82,的場勇,, 84,* 15,   0, 4,  6.2, ①①
 2,14,Ｅカカロット, 71,丸田恭, 0.1, 75,* 11,   4, 5,  8.2,②①①, 2, 4, ノヴェルデザイン,---,和田竜, 0.4, 52, -12,  -5, 2,  3.3, ③③, 2,13,Ｃファンドリカップ, 75,村田一, 0.3, 76,   5,* 15, 4,  7.9,⑬⑮⑩, 2, 4,Ｊメイビリｰヴ, 74,大野拓, 0.3, 80,  12,  -1, 5, 10.2, ④③
 3, 5,Ｋヴィｰヴァレジｰナ, 65,国分恭, 0.7, 73,   8,*  5, 6, 19.8,⑩⑨⑥, 3, 6, センジンジョｰ,---,津村明, 0.7, 48, -15,  -5, 5, 12.0, ⑥⑥, 3, 6,Ａブラッシュアップ, 77,橋本美, 0.3, 76,* 11,   4, 1,  2.3,⑤③③, 3,18,Ｉジョイントスタｰズ, 75,大庭和, 0.6, 71,  -2,* 10,17,193.3, ⑮⑮
