09年 9月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 7,Ｅケｰジｰハナコ, 54,野元昭, 1.6, 46,*  1, -26,10, 44.2, ①①,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｈイｰスタｰ, 82,幸英明, 1.2, 77,   0,   7,14,131.1, ⑭⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｂロｰレルゲレイロ, 90,藤田伸, 1.4, 74,* 12,  -7, 4,  8.9, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｍメリッサ, 79,武幸四, 1.7, 70,   5,  -5,10, 37.0, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,
"単勝:350円 複勝:01=180円 11=660円 03=230円 枠連:6,610円",,,,,,,,,,,,"単勝:640円 複勝:09=230円 08=300円 07=200円 枠連:3,090円",,,,,,,,,,,,単勝:150円 複勝:09=110円 04=130円 06=210円 枠連:190円,,,,,,,,,,,,"単勝:1,060円 複勝:16=320円 08=160円 15=1,110円 枠連:980円",,,,,,,,,,,
"馬連:6,840円 ワイド:01-11=1,860円 01-03=640円 03-11=2,360円",,,,,,,,,,,,"馬連:3,100円 ワイド:08-09=900円 07-09=590円 07-08=880円",,,,,,,,,,,,馬連:220円 ワイド:04-09=150円 06-09=280円 04-06=400円,,,,,,,,,,,,"馬連:1,430円 ワイド:08-16=670円 15-16=4,560円 08-15=2,540円",,,,,,,,,,,
"馬単:9,870円 3連複:13,550円 3連単:73,140円",,,,,,,,,,,,"馬単:6,340円 3連複:4,200円 3連単:30,080円",,,,,,,,,,,,"馬単:350円 3連複:690円 3連単:1,510円",,,,,,,,,,,,"馬単:3,820円 3連複:20,130円 3連単:103,580円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,夙川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂリディル, 58,小牧太,, 71,*  1,*  1, 2,  6.8, ④②, 1,10,Ｃマイスイｰトホｰム, 64,川田将,, 73,*  5,*  4, 2,  4.5, ②②, 1, 9,Ｍメイショウアツヒメ, 70,松岡正,, 82,* 12,   6, 7, 14.4, ②②, 1, 7,Ｃメイショウシオギリ, 70,難波剛,, 77,  -2,   8,10, 28.9, ⑥⑥
 2, 5,Ｉフォｰスフルバイオ, 47,浜中俊, 0.3, 68,  -1,*  1, 5, 17.4, ⑦⑤, 2, 2,Ｂシャア, 67,福永祐, 0.2, 72,   2,*  7, 1,  2.4, ⑧⑦, 2, 3,Ｆホットフレイバｰ, 76,和田竜, 0.2, 78,   3,* 13, 6, 13.1, ⑭⑬, 2,13,Ｂトゥリオンファｰレ, 73,川田将, 0.1, 75,   0,   4, 2,  2.9, ④④
 3, 1,Ａスズカイルマン, 66,安藤勝, 0.4, 66,*  4,  -9, 1,  1.4, ①①, 3, 7,Ｈシャイニｰコｰト, 52,和田竜, 0.4, 71,*  6,  -1, 4, 10.2, ①①, 3, 6,Ｂヒシアカデミｰ, 82,藤田伸, 0.2, 80,* 12,   4, 2,  4.8, ①①, 3, 5,Ｄアドマイヤアモｰレ, 70,後藤浩, 0.2, 77,  -4,* 10, 6, 14.3, ⑨⑩
 4, 9,Ｅビｰビｰスカット, 53,岩田康, 0.7, 62,  -4,*  1, 3, 10.9, ⑪⑪, 4,11,Ｊアルビナス, 49,中村将, 0.9, 63,  -2,*  5, 6, 12.5, ⑩⑧, 4, 4,Ｇリリｰハｰバｰ, 76,池添謙, 0.4, 77,   8,   7,10, 39.4, ⑦⑧, 4, 1,Ａオブコｰス, 77,松山弘, 0.2, 78,  -2,   9, 1,  2.8, ⑦⑦
 5,12,Ｍデンコウオクトパス, 39,田中健, 1.1, 59,  -1, -11,15,310.0, ⑨⑦, 5,12,Ｆウインドカッタｰ, 54,生野賢, 1.5, 61,   4,  -8, 7, 17.7, ⑤⑤, 5,10,Ｃアナモリ, 81,川田将, 0.4, 77,   3,* 13, 1,  3.1, ⑮⑮, 5,12,Ｆエイワンキセキ, 65,藤田伸, 0.3, 77,  -7,* 13, 5, 13.2, ⑫⑪
 6, 3,Ｈチャｰムドライフ, 48,和田竜, 1.2, 57,  -1, -12, 6, 22.6, ⑤⑥, 6, 6,Ａスパｰクルレディｰ, 67,松山弘, 1.9, 56,   4, -12, 3,  4.9, ④④, 6, 2,Ｈセイクリムズン, 75,幸英明, 0.4, 78,  10,   4, 4,  7.3, ③④, 6,10,Ｈカネトシヴィゴｰレ, 63,佐藤哲, 0.3, 73,  -2,   7, 7, 24.9, ⑧⑧
 7,16,Ｊカシノピストン, 43,太宰啓, 1.3, 56,  -7,  -4,10, 47.0, ⑮⑮, 7, 8,Ｍメイショウユウカ, 39,難波剛, 2.0, 56,   0,  -7,10,161.6, ⑦⑨, 7,15,Ａマイティｰストｰム, 84,藤岡佑, 1.0, 72,   7,   2, 5, 10.8, ⑨⑦, 7, 2,Ｅショウリュウアクト, 69,岩田康, 0.6, 68,  -1,   0, 3,  7.6, ⑤⑤
 8,10,Ｐカネトシパサｰジュ, 20,幸英明, 1.4, 56,  -9,  -3,14,274.9, ⑯⑯, 8, 9,Ｅフリｰクパラダイス, 55,田中健, 2.5, 53,  -1,  -8,11,187.3, ⑪⑩, 8, 1,Ｉブラックティｰ, 73,浜中俊, 1.2, 70,   5,   3,14,121.4, ⑪⑫, 8, 8,Ｋクロチェｰラ, 60,和田竜, 0.6, 64,*  5, -12, 4, 11.1, ②②
 9, 6,Ｇマイネルアクア, 50,松岡正, 1.5, 54,  -3, -14, 8, 39.5, ⑩⑨, 9, 3,Ｇグッドリｰズン, 53,太宰啓, 2.7, 52,   3, -16, 9, 64.5, ⑥⑥, 9,14,Ｊライコウテンユウ, 73,小牧太, 1.4, 68,   5,   1, 8, 16.7, ⑫⑪, 9, 4,Ｇマイアイビギニング, 64,太宰啓, 0.6, 71,  -4,   5,13,114.8, ⑩⑨
10,11,Ｎナムラクレヴァ, 38,国分恭, 1.6, 51,  -3, -17, 4, 17.0, ⑥⑧,10, 5,Ｋアグネスエイプリル, 46,後藤浩, 2.9, 48,  -2, -12, 8, 26.6, ⑨⑪,10, 5,Ｋエｰソングフォｰ, 73,岩田康, 1.4, 68,   4,   2, 9, 17.1, ⑬⑩,10,11,Ｊカネトシレジアス, 61,松岡正, 0.9, 65,   0,  -7, 9, 26.8, ③③
11, 7,Ｆペガサスキングビｰ, 52,福永祐, 1.8, 50,  -6, -14, 7, 31.7, ⑬⑬,11,13,Ｉアｰルドソレイユ, 51,石橋守, 2.9, 50,  -5,  -8,13,306.0, ⑫⑫,11, 7,Ｌオメガロンド, 71,福永祐, 1.4, 71,  10,  -3,13, 93.2, ④⑤,11, 3,Ｍワイルドイリｰガル, 50,浜中俊, 1.0, 60,*  7, -21, 8, 25.7, ①①
12,15,Ｃタクシｰ, 57,松山弘, 2.1, 46,  -4, -21, 9, 40.5, ⑫⑫,12, 1,Ｌカントリｰフラッグ, 41,国分恭, 3.4, 45,  -9,  -9,12,261.4, ⑬⑬,12,13,Ｄピサノアラシ, 80,渡辺薫, 1.7, 68,   9,  -6, 3,  6.8, ⑥⑥,12, 9,Ｉファッショナブル, 61,国分恭, 1.4, 62,  -9,  -1,11, 66.0, ⑪⑫
13,14,Ｏケｰジｰドルバコ, 37,野元昭, 2.1, 47,  -7, -15,12,160.6, ⑭⑭,13, 4,Ｄリュクスｰル, 58,岩田康, 4.2, 40,   5, -31, 5, 10.4, ③③,13, 8,Ｅセトノジェネシス, 77,後藤浩, 1.7, 65,   7,  -3,11, 45.2, ⑧⑨,13, 6,Ｌメイショウセイラン, 58,飯田祐, 2.5, 47, -10, -14,12,108.8, ⑬⑬
14, 8,Ｌテンシノカフェ, 40,中村将, 2.3, 44,  -3, -25,16,362.8, ⑧⑩,,,,,,,,,,,,,14,12,Ｎメイショウタカチホ, 69,田中克, 1.8, 66,   5,  -3,15,157.0, ⑩⑭,,,,,,,,,,,,
15,13,Ｄアポロプレシャス, 55,勝浦正, 2.5, 42,   0, -34,11, 82.7, ③④,,,,,,,,,,,,,15,11,Ｏクリスティイモン, 67,太宰啓, 2.6, 60,* 11, -16,12, 71.7, ⑤③,,,,,,,,,,,,
16, 4,Ｋワキノレジｰナ, 41,川田将, 3.2, 35,*  1, -46,13,203.8, ②③,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,
単勝:680円 複勝:02=160円 05=280円 01=110円 枠連:640円,,,,,,,,,,,,単勝:450円 複勝:10=170円 02=130円 07=200円 枠連:440円,,,,,,,,,,,,"単勝:1,440円 複勝:09=340円 03=430円 06=210円 枠連:2,350円",,,,,,,,,,,,"単勝:2,890円 複勝:07=440円 13=170円 05=350円 枠連:2,390円",,,,,,,,,,,
