09年 7月25日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月25日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐渡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａカホマックス, 63,松岡正,, 69,*  1,*  1, 1,  2.4, ①①, 1,10,Ｃアｰトオブダンサｰ, 67,後藤浩,, 65,  -1,   3, 3,  5.8, ⑤⑤, 1, 5,Ｇスイングエンジン, 61,郷原洋,, 67,*  2,   4, 6, 13.4,①①①, 1, 7,Ｆテンシノゴｰルド, 78,蛯名正,, 87,  11,* 17, 4,  8.7,⑫⑫⑫
 2, 9,Ｅタカラハｰバｰ, 46,後藤浩, 0.2, 67,  -4,*  4, 4,  9.2, ⑦⑤, 2, 8,Ｌカンシャノキモチ, 47,村田一, 0.1, 64,  -8,*  9,10,111.2, ⑫⑪, 2, 4,Ｄクリｰバレン, 63,松岡正, 0.1, 66,  -1,*  8, 1,  2.2,⑪⑦⑥, 2, 2,Ａエタｰナルクラウン, 84,柴山雄, 0.1, 85,  13,*  6, 9, 17.5,⑪⑩⑧
 3, 3,Ｂレト, 59,吉田豊, 0.5, 63,*  0,  -4, 2,  3.5, ②②, 3,13,Ｂサンデｰロｰズ, 67,柴田善, 0.2, 63,*  3,  -2, 1,  2.7, ①①, 3,10,Ｊユウタｰグロｰバル, 52,田中勝, 0.4, 66,  -3,*  9,12, 48.8,⑬⑩⑨, 3, 6,Ｇトウショウデザｰト, 77,柴田善, 0.6, 79,  15,  -5, 8, 16.2,⑨⑧⑩
 4, 1,Ｄハタノディアナ, 47,武士沢, 0.6, 60,  -3,  -3, 5, 12.5, ③③, 4,15,Ａウメムスメ, 68,蛯名正, 0.2, 63,*  2,  -1, 2,  2.8, ③③, 4, 9,Ａレオビンテｰジ, 64,大野拓, 0.4, 64,*  1,   2, 3, 10.3,②②②, 4,13,Ｅマヤノゴクウ, 79,後藤浩, 0.7, 79,* 19, -17, 3,  6.9,②②②
 5, 7,Ｈセレスティアル, 24,柴田善, 0.9, 57,  -5,  -4, 3,  4.2, ⑥⑦, 5, 6,Ｆチョウハイレベル, 65,吉田豊, 0.2, 62,  -6,*  6, 6, 18.5, ⑨⑨, 5,11,Ｆシルクトレジャｰ, 62,吉田隼, 0.5, 65,*  1,   2, 2,  5.5,③③③, 5, 3,Ｈドモナラズ, 77,内田博, 0.9, 77,  14,  -6, 5,  8.8,⑦⑨⑨
 6, 4, ブラックジョｰク,---,伊藤工, 1.1, 54,  -4,  -8, 8, 42.3, ⑤⑥, 6, 1,Ｇアトムスパンカｰ, 64,木幡初, 0.4, 61,  -4,   3, 7, 20.6, ⑥⑥, 6, 6,Ｂトゥルｰボｰン, 63,柴田善, 0.5, 64,   0,   4, 5, 12.2,⑤⑥④, 6, 4,Ｃポｰラｰライツ, 79,勝浦正, 0.9, 78,  16, -12, 2,  5.8,③④③
 7, 5,Ｇトｰセンゼウス, 26,小林淳, 1.5, 49, -14,  -4, 9,104.1, ⑨⑨, 7,12,Ｊコスタズメラルダ, 58,勝浦正, 0.5, 60,*  2,  -4, 9, 55.2, ②②, 7,15, キアロディルｰナ,---,内田博, 0.6, 64,   0,   2, 4, 11.0,⑥④⑤, 7,12,Ｊパルエクスプレス, 72,木幡初, 1.0, 76,  12,  -2,11,122.9,⑩⑪⑪
 8, 6,Ｃミツアキゴｰルド, 52,江田照, 1.6, 48,  -2, -17, 7, 41.4, ④④, 8, 4,Ｈバンダムパルフェ, 64,内田博, 0.9, 58,  -3,  -2, 4,  9.1, ⑧⑧, 8, 2,Ｃシルクエスポワｰル, 63,伊藤工, 1.0, 59,  -5,*  7,10, 27.6,⑫⑭⑬, 8, 1,Ｉマイネルｰチェ, 75,大野拓, 1.1, 75,  15, -12, 7, 16.2,⑤⑦⑥
 9, 2,Ｆチハヤブル, 43,北村宏, 1.7, 47,  -7, -11, 6, 15.9, ⑧⑧, 9, 2,Ｅライラハリケｰン, 65,武士沢, 0.9, 56,  -1,  -5, 8, 32.7, ④④, 9, 7, アイアムイルシオン,---,吉田豊, 1.3, 59,  -4,   3, 9, 22.9,⑭⑫⑫, 9,10,Ｂイネオレオ, 80,松岡正, 1.3, 73,  15, -17, 1,  2.4,⑥⑥⑤
