09年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,清滝特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄマイネルセラｰノス, 55,幸英明,, 62,  -1,* -1, 4,  7.1, ⑥⑤, 1, 5, トｰワベガ,,北沢伸,,,,, 4,  8.3,④③③, 1, 6,Ｎフロムジオリエント, 58,安藤勝,, 76,*  7,*  6, 3,  6.3,①①①, 1, 5,Ｅダンツホウテイ, 77,藤田伸,, 84,  14,*  0, 1,  2.8, ⑤⑦
 2, 8,Ａワイキキブリｰズ, 63,川島信, 0.1, 60,  -2,*  0, 2,  3.8, ⑧⑧, 2, 8, マイネルテセウス,,小坂忠,210.2,,,, 1,  2.3,①①①, 2, 9,Ｆロｰドイノセント, 72,川田将, 0.3, 75,*  7,   5, 1,  2.6,②③②, 2, 2,Ｈオｰスミスパｰク, 75,幸英明, 0.0, 81,* 26, -26, 3,  6.4, ①①
 3, 3,Ｏランドタカラ, 24,浜中俊, 1.4, 50,  -6,* -6, 7, 33.1, ⑬⑪, 3,12, トロピカルクイｰン,,今村康,210.7,,,, 3,  5.3,②②②, 3, 8,Ｊダンツクリスエス, 71,太宰啓, 0.6, 74,*  7,   3, 7, 20.1,④④④, 3,10,Ａサザンギャラクシｰ, 81,武豊  , 0.2, 80,  12,  -2, 2,  4.4, ⑧⑩
 4, 5,Ｂエルトベｰレ, 58,四位洋, 1.5, 51,*  2, -17, 1,  2.6, ①①, 4,14, ペリｰ,,宗像徹,211.7,,,, 5, 17.0,⑥⑥⑤, 4,13,Ａキャプテンマジン, 75,岩田康, 0.7, 74,   6,   4, 4,  8.1,⑦⑦⑥, 4, 4,Ｇコパノジングｰ, 76,岩田康, 0.5, 77,  11,  -3, 6, 13.6, ⑨⑨
 5, 1,Ｇトｰブプリンス, 44,中村将, 1.8, 48,  -2, -14,11, 60.3, ⑦⑦, 5, 3, アグネスハット,,金折知,211.9,,,, 6, 24.0,⑦⑧⑦, 5, 7,Ｂハｰマジェスティ, 74,小林慎, 0.7, 74,   5,*  7, 5,  9.8,⑩⑪⑪, 5,12,Ｆゴｰルデンガッツ, 77,松山弘, 0.5, 77,  16, -13, 9, 22.8, ④③
 6,14,Ｅオミヤゲ, 49,国分恭, 1.9, 48,  -3, -15, 3,  6.2, ⑨⑩, 6, 7, アグネスヘルメス,,林満明,212.2,,,, 7, 31.2,⑧⑦⑥, 6, 2,Ｌツカサゲンキ, 64,酒井学, 0.7, 75,*  7,   3,11,146.3,③②③, 6, 9,Ｌエテルノ, 70,小牧太, 0.5, 79,   9,*  1,11,148.0, ⑫⑬
 7,11,Ｈジツリキザッツワン, 37,小牧太, 2.3, 43,  -6, -14,12, 71.1, ⑪⑫, 7, 2, エアリｰズ,,熊沢重,212.7,,,, 2,  3.6,③④④, 7,11,Ｅサダムマンテン, 73,浜中俊, 1.0, 72,   6,   2, 2,  3.6,⑪⑧⑦, 7, 8,Ｄナイトフッド, 77,池添謙, 0.6, 78,   9,  -2, 4,  7.1, ⑬⑪
 8, 9,Ｃスウィｰプイン, 56,小林慎, 2.3, 43,  -4, -17, 6, 19.8, ⑩⑨, 8,13, メイショウチョイス,,難波剛,212.9,,,, 9, 52.2,⑩⑨⑨, 8, 5,Ｉテイエムヒリュウ, 71,国分恭, 1.0, 75,   6,   2, 8, 28.5,⑥⑥⑤, 8, 3,Ｃキンセイポラリス, 78,荻野琢, 0.6, 78,  10,   0,10, 89.3, ⑪⑫
