09年 1月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初日の出ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａコスモオｰ, 76,松岡正,, 72,   6,*  1, 1,  2.1, ⑤③, 1, 2,Ｌツウカイヤスナム, 56,木幡初,, 78,*  9,*  4, 4, 10.0, ①①, 1,12,Ｍゲイルカフェ, 61,小島太,, 74,   4,* 10, 8, 33.3,⑤⑤⑤, 1, 8,Ａダイワディライト, 89,北村宏,, 81,   8,* 16, 1,  1.6, ⑨⑧
 2, 1,Ｄアクセルボｰイ, 59,三浦皇, 0.7, 67,*  9,  -7, 4, 10.6, ①①, 2,16,Ｂヒカリマｰガレット, 73,内田博, 0.5, 73,*  9,   0, 2,  3.3, ②②, 2, 3,Ｅトウカイプライム, 72,宮崎北, 0.0, 69,*  5,   6, 4,  6.1,①①①, 2, 2,Ｇトウショウガナｰ, 84,横山典, 0.1, 81,* 13,  10, 5, 12.2, ①①
 3,15,Ｂエアラスティング, 64,藤田伸, 0.9, 65,*  8,  -7, 3,  4.4, ④②, 3, 1,Ａライカｰト, 75,津村明, 1.0, 68,   7,  -2, 1,  2.3, ③③, 3, 5,Ｇアドマイヤワｰルド, 69,田中勝, 0.1, 73,   2,* 13, 5, 12.2,⑪⑩⑨, 3, 9,Ｂサンエムパｰム, 87,和田竜, 0.2, 80,* 12,  10, 6, 19.0, ③④
 4, 5,Ｃディパｰチャｰズ, 63,横山典, 1.0, 60,  -2,*  1, 2,  4.1, ⑥⑤, 4,15,Ｏネバｰグレイス, 54,和田竜, 1.2, 64,  -1,*  3,15,177.4, ⑫⑪, 4,13,Ａドリｰムマイスタｰ, 78,松岡正, 0.1, 72,   3,   9, 3,  5.4,⑥⑦⑥, 4,13,Ｄファイナルスコアｰ, 86,三浦皇, 0.3, 79,   9,  11, 2,  7.8, ⑦⑤
 5,14,Ｈヴェリｰハｰド, 50,内田博, 1.5, 55,  -3,  -3, 5, 11.8, ⑩⑦, 5, 4,Ｄベルモントバジル, 69,丸田恭, 1.3, 64,   3,  -1, 5, 11.1, ⑨⑧, 5,10,Ｃエイブルベガ, 74,蛯名正, 0.3, 70,*  5,   3, 1,  2.7,②②②, 5, 3,Ｅヒシオフェンス, 85,後藤浩, 0.4, 78,   7,  13, 4, 11.9, ⑧⑨
 6, 7,Ｆフレアリングロｰズ, 52,郷原洋, 2.0, 50,  -6,  -5, 6, 20.8, ⑪⑪, 6,13,Ｃエレガントフラッグ, 72,北村宏, 1.4, 62,  -4,*  4, 3,  8.7, ⑮⑮, 6, 4,Ｄステディｰラブ, 74,大野拓, 0.5, 69,   4,   3, 6, 21.9,④④③, 6, 6,Ｈグレイトフルタイム, 84,吉田豊, 0.4, 78,   4,* 16, 9, 51.6, ⑪⑩
 7, 6,Ｉトｰホｰグロリア, 48,後藤浩, 2.8, 46,  -3, -12, 9, 86.9, ⑧⑩, 7, 7,Ｇシルキｰキュｰト, 63,武士沢, 1.5, 62,   3,  -3, 7, 26.5, ⑩⑩, 7, 9,Ｆバｰニングブライト, 70,江田照, 0.8, 72,   2,   8, 9, 43.2,⑩⑨⑧, 7, 5,Ｆアントニオマグナム, 84,小野次, 0.5, 78,* 13,   6, 8, 37.3, ②②
 8,13,Ｌオｰスチンエブリン, 42,高山太, 3.0, 42,  -5, -13,16,359.1, ⑬⑬, 8, 8,Ｆオｰスミビｰナス, 67,千葉直, 1.5, 59,  -4,*  3, 9, 45.0, ⑬⑭, 8, 8,Ｂダイレクトパス, 77,内田博, 0.8, 68,*  6,   1, 2,  3.4,⑧③④, 8, 7,Ｊマルタｰズマッシブ, 82,武士沢, 0.7, 75,   1,* 16,12,107.2, ⑫⑫
 9, 9,Ｏミスニュｰヨｰク, 26,丸田恭, 3.0, 42,  -3, -16,13,197.9, ⑨⑧, 9,14,Ｊムｰンボｰ, 58,柴山雄, 1.5, 66,   5,  -4,14,148.0, ⑧⑦, 9, 1,Ｉシルクエンデバｰ, 67,田中博, 1.2, 67,   0,   6, 7, 33.2,⑫⑫⑫, 9,11,Ｉダイイチミラクル, 82,西田雄, 0.9, 73,   6,  10,13,186.8, ⑩⑪
10, 4,Ｅリニアラピｰト, 53,武士沢, 3.3, 39, -15,  -7,11,149.3, ⑮⑮,10, 6,Ｈアヤメ, 61,江田照, 1.6, 63,   4,  -5,16,199.6, ⑦⑨,10, 6,Ｋフサイチエゴイスト, 62,丸田恭, 1.3, 65,   1,   4,10,134.9,⑨⑪⑩,10,14,Ｋグリｰンアラモｰド, 79,吉田隼, 0.9, 73,  10,   5,11,102.3, ⑤⑦
11, 3,Ｐオｰスミシリング, 15,江田照, 3.8, 39, -22,  -4,10,142.9, ⑯⑯,11, 9,Ｋパンコｰルデイズ, 57,三浦皇, 1.9, 58,   1,  -5,10, 49.1, ⑪⑫,11, 2,Ｊマダムビジュｰ, 64,黛弘人, 1.8, 61,   3,  -4,14,250.5,⑦⑧⑦,11, 1,Ｃリボンノキシ, 86,勝浦正, 0.9, 75,  10,   6, 3,  8.2, ⑥③
12, 8,Ｎサキノキングオｰ, 36,大野拓, 3.9, 35,  -5, -21,15,317.0, ⑫⑫,12,11,Ｐユウフジ, 49,後藤浩, 1.9, 57,  -4,  -1,12, 64.0, ⑯⑬,12,14,Ｌエンジェルクィｰン, 61,草野太, 2.5, 57,   0,  -4,12,195.6,⑭⑬⑬,12,10,Ｍカシノエスケイプ, 78,松岡正, 1.2, 71,   2,  11,10, 74.0, ⑬⑬
13, 2,Ｍミツアキフレンド, 36,二本柳, 4.0, 33, -10, -18,14,300.6, ⑭⑭,13,10,Ｎリップサｰビス, 54,増沢由, 1.9, 58,  -4,   0, 8, 34.4, ⑭⑯,13,11,Ｈアイティｰバトル, 67,丹内祐, 4.3, 45,   5, -27,11,185.7,③⑥⑪,13,12,Ｎザシｰクレット, 75,藤田伸, 2.1, 62,  11,  -6, 7, 21.6, ④⑥
14,12,Ｇアバトルマｰゴ, 51,宮崎北, 4.7, 26,  -3, -31, 8, 56.8, ⑦⑨,14,12,Ｅリネンアカシア, 68,田辺裕, 2.0, 58,   7, -11,11, 53.5, ⑤④,14, 7,Ｎカシノベガスタｰ, 51,柴田大,10.5,  4,  -4, -63,13,207.3,⑬⑭⑭,14, 4,Ｌオヤマハリケｰン, 79,柴田善, 2.8, 57,  -1,  -1,14,309.6, ⑭⑭
15,10,Ｊホｰザンアテナ, 42,西田雄, 4.9, 31,*  9, -42, 7, 53.3, ②④,15, 5,Ｍジョウノオアシス, 54,宮崎北, 2.4, 54,   7, -15,13,124.4, ④⑤,,,,,,,,,,,,,,,,,,,,,,,,
