09年 2月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  ダ1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1600m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ2100m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金蹄ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃスノｰレｰザｰ, 53,郷原洋,, 60,  -5,   3, 9, 22.7, ⑥⑥, 1, 8,Ｄインフィニットエア, 58,三浦皇,, 65,   0,*  2, 2,  2.8, ⑦⑦, 1, 7,Ｊスイングロウ, 73,武士沢,, 79,   2,* 17,11, 43.3, ⑭⑮, 1, 4,Ｂヤマニンリュバン, 87,酒井学,, 91,   5,* 26, 3,  5.1,④④④
 2, 8,Ｄトキメキヒｰロｰ, 53,松岡正, 0.1, 61,  -9,*  9, 4,  7.9, ⑭⑫, 2,10,Ｈダノンアスコット, 55,藤田伸, 0.1, 64,*  3,  -3, 3,  6.0, ⑤④, 2,14,Ｃグラマトフィラム, 78,勝浦正, 0.1, 78,   4,  14, 3,  5.9, ⑮⑪, 2, 7,Ｇゴｰルデンルｰヴェ, 83,藤田伸, 0.3, 88,   5,  21, 5,  8.7,③③③
 3,14,Ａノボレインボｰ, 59,大庭和, 0.2, 58,  -8,*  5, 6, 13.3, ⑩⑩, 3,15,Ｍレオパレｰド, 47,小野次, 0.3, 64,   1,  -1,12, 84.7, ⑧⑥, 3, 9,Ｇスズノメヒョｰ, 76,蛯名正, 0.2, 76,*  6,   9, 9, 17.1, ⑥⑤, 3, 6,Ａハイオン, 93,田中勝, 0.7, 89,   2,* 27, 1,  2.9,⑦⑧⑧
 4,13,Ｅワンツｰリタｰン, 52,内田博, 0.4, 57,  -9,*  5, 1,  2.5, ⑫⑪, 4, 4,Ｉエｰシンレベルハイ, 55,田中勝, 0.5, 60,*  4,  -7, 9, 64.0, ①①, 4, 3,Ｄケｰジｰハッピｰ, 78,三浦皇, 0.2, 76,   4,  11, 6, 11.1, ⑧⑩, 4,11,Ｆメイショウゲンスイ, 84,内田博, 1.0, 83,*  6,  15, 2,  4.1,②②②
 5, 9,Ｋネリネ, 43,左海誠, 0.6, 55,*  0,  -9,10, 51.3, ②②, 5, 2,Ｃリネントランポリｰ, 61,南田雅, 0.6, 61,  -2,   0,10, 64.4, ⑪⑩, 5, 1,Ａクレヨンルｰジュ, 80,松岡正, 0.3, 76,   2,* 14, 4,  6.8, ⑬⑭, 5, 1,Ｅミンティエアｰ, 85,後藤浩, 1.2, 84,   4,  19, 4,  6.6,⑥⑦⑦
 6, 2,Ｊキングデザｰト, 44,横山義, 0.6, 54,*  0,  -9, 8, 20.8, ①①, 6,12,Ｆウィニングトリック, 56,柴山雄, 0.7, 64,  -7,*  8,11, 69.0, ⑯⑯, 6, 2,Ｂシュウザンアイ, 79,伊藤工, 0.4, 76,   1,* 16, 7, 11.6, ⑯⑯, 6, 3,Ｄデイフラッシュ, 86,蛯名正, 1.6, 81,   4,  15, 8, 24.6,⑧⑥⑥
 7,12,Ｆティｰガｰ, 47,吉田隼, 0.7, 55,  -6,  -2, 7, 17.7, ⑧⑦, 7,11,Ｌホットコｰヒｰ, 48,吉田豊, 0.7, 61,  -2,   0, 4, 12.1, ⑫⑫, 7,16,Ｆグッドチョイス, 77,吉田豊, 0.6, 73,*  6,   5, 1,  4.5, ④③, 7, 9,Ｉベルモントヤマユリ, 82,大野拓, 1.8, 77,*  6,   7, 6, 17.3,①①①
 8, 5,Ｂヤンゲストリｰタｰ, 57,三浦皇, 1.7, 46,  -4, -13, 5, 10.6, ④⑤, 8,13,Ｂケイアイスザク, 61,後藤浩, 1.4, 57,  -1,  -6, 5, 13.8, ⑬⑬, 8,12,Ｏフロイデタンツェン, 68,内田博, 0.7, 72,*  7,   3, 5,  8.6, ②②, 8, 2,Ｋニシノドｰン, 81,津村明, 2.0, 81,   2,  19, 7, 21.5,⑨⑨⑨
