09年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-18,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 1,Ｋアイファｰヒルマン,  8,安藤光, 2.2, 36, -19, -12,12,296.0, ⑪⑫,,,,,,,,,,,,,12,10,Ｋオｰシャンハンタｰ, 51,上村洋, 2.1, 50,*  2, -24,15,303.3,⑥④⑥,12, 5,Ｈロジック, 84,上村洋, 1.2, 81,  14,  -1,11, 25.7,⑨⑩⑬
13,11,Ｌカシノファルコン, -4,大下智, 2.8, 28, -22, -17,13,301.0, ⑬⑬,,,,,,,,,,,,,13, 6, アグネスエイプリル,---,角田晃, 2.7, 44,  -1, -28, 9, 50.1,⑤⑦⑬,13, 8,Ｏオｰプンセサミ, 74,山口勲, 1.3, 81,  12,   3,16,208.5,⑬⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｍルシルフ, 39,国分恭, 3.0, 40,  -4, -27,14,208.6,⑬⑫⑫,14,13,Ｐフサイチバルドル, 65,赤岡修, 1.3, 81,  14,  -1,13, 73.1,⑩⑫⑭
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｎバイオレットコイン, 37,赤木高, 3.5, 36,  -3, -32,16,376.7,⑭⑮⑯,15,12,Ｊトウカイルナ, 83,酒井学, 1.4, 82,   9,   9,10, 21.7,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,16, 2, シルクエリタｰジュ,---,中村将, 3.5, 36,  -2, -37,11, 81.3,⑧⑨⑭,16, 4,Ｍアキノレッドスタｰ, 77,中村将, 3.6, 57,* 20, -47,15,156.4,①①⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,
"単勝:280円 複勝:03=130円 05=260円 06=230円 枠連:1,350円",,,,,,,,,,,,"単勝:2,070円 複勝:03=340円 09=160円 10=130円 枠連:3,460円",,,,,,,,,,,,単勝:580円 複勝:04=190円 15=190円 11=250円 枠連:360円,,,,,,,,,,,,"単勝:490円 複勝:15=240円 01=350円 03=570円 枠連:1,190円",,,,,,,,,,,
"馬連:1,530円 ワイド:03-05=540円 03-06=400円 05-06=480円",,,,,,,,,,,,"馬連:3,200円 ワイド:03-09=1,060円 03-10=770円 09-10=250円",,,,,,,,,,,,"馬連:1,360円 ワイド:04-15=520円 04-11=870円 11-15=690円",,,,,,,,,,,,"馬連:2,550円 ワイド:01-15=1,070円 03-15=1,920円 01-03=1,700円",,,,,,,,,,,
"馬単:2,260円 3連複:2,720円 3連単:10,990円",,,,,,,,,,,,"馬単:8,740円 3連複:2,350円 3連単:26,660円",,,,,,,,,,,,"馬単:2,930円 3連複:3,400円 3連単:19,090円",,,,,,,,,,,,"馬単:5,000円 3連複:11,610円 3連単:64,450円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,ﾏｶｵｼﾞｮｯｷｰｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,,,ｲﾝﾃﾞｨｱﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａコウエイテンプウ, 69,浜中俊,, 72,  -1,* 14, 1,  2.8,⑥⑤③, 1, 4, リルダヴァル,---,鮫島克,, 71, -22,* 27, 1,  2.0,⑧⑩⑨, 1, 2,Ｄザザ, 71,鮫島良,, 77,  -9,  18, 2,  4.0, ⑦⑦, 1, 9,Ｉラインドリｰム, 64,幸英明,, 85,* -7,* 27, 2,  3.7,④④③
 2, 6,Ｎフォルクスオｰパｰ, 45,渡辺薫, 1.2, 64,*  0,   2, 8, 31.3,③③②, 2, 7, ヒットメｰカｰ,---,国分恭, 0.2, 65, -21,  20, 6, 22.8,②④③, 2,15,Ｃニホンピロタルト, 72,酒井学, 0.0, 77,  -7,  17, 8, 15.8, ⑥⑥, 2, 4,Ｇテンシノマズル, 67,中村将, 0.2, 80,* -5,  20, 8, 29.2,①①①
 3,15,Ｂスルｰジエアｰ, 66,田中健, 1.3, 63,  -2,   4, 3,  5.1,⑧⑧⑤, 3, 5, ミッキｰドリｰム,---,和田竜, 0.2, 67, -22,* 23, 3,  4.8,⑦⑧⑥, 3, 5,Ａアスタｰエンペラｰ, 78,赤木高, 0.1, 77, -17,* 24, 1,  3.6, ⑭⑬, 3, 1,Ａブライダルベｰル, 83,鮫島良, 0.2, 85,* -6,* 26, 1,  2.4,②③④
 4,12,Ｊシゲルタカチホ, 57,野元昭, 1.3, 64,  -3,*  6,13,170.3,⑬⑩⑧, 4, 3, タクシｰ,---,松山弘, 0.7, 56,*-18,   7, 7, 29.7,①①①, 4, 9,Ｊマイネルコルベット, 66,幸英明, 0.2, 74,* -2,   9, 3,  4.9, ①①, 4, 7,Ｄラムタムタガｰ, 71,浜中俊, 0.4, 78,* -7,  20, 6, 13.5,③②②
 5,11,Ｄカバｰドブリッジ, 64,太宰啓, 2.0, 59,  -3,   2, 5, 11.6,⑩⑪⑪, 5, 9, アリマタイトル,---,浜中俊, 0.7, 59, -21,  13, 5, 17.2,⑤⑤④, 5,12,Ｇメイショウルシェロ, 69,飯田祐, 0.2, 74,* -3,  11, 6, 13.9, ②②, 5,10,Ｆピｰスキｰパｰ, 70,和田竜, 0.4, 81,  -8,  24, 4,  7.8,⑦⑦⑦
 6, 2,Ｃレティセラ, 65,国分恭, 2.1, 58,  -1,  -3, 7, 20.9,⑨④④, 6, 6, キョウワマグナム,---,太宰啓, 0.8, 58, -21,  13,11,115.3,⑪⑦⑤, 6, 7,Ｆラガｰシｰキング, 70,浜中俊, 0.2, 75, -13,* 19, 4,  8.6, ⑫⑩, 6, 5,Ｂシゲルアンビシャス, 74,鮫島克, 0.6, 79, -10,  24, 7, 18.6,⑨⑨⑧
 7, 8,Ｆレディｰムスタング, 61,鮫島克, 2.2, 56,*  1,  -7, 4,  7.3,①①①, 7, 8, リディル,---,幸英明, 0.8, 56,*-18,   7, 2,  4.5,③②②, 7,13,Ｋフェルロッサｰ, 61,松山弘, 0.2, 74,* -3,  10,11, 37.3, ③③, 7, 6,Ｅスプリングバレル, 71,山口勲, 0.6, 78,  -8,  22, 3,  5.4,⑤⑥⑤
 8, 4,Ｈナムラワカバ, 59,田中克, 2.6, 55,  -2,  -7, 2,  4.0,⑦⑦⑦, 8,11, タニノエポレット,---,山口勲, 1.2, 57, -25,  16, 9, 67.1,⑫⑪⑪, 8, 3,Ｈマッキｰビｰナス, 69,野元昭, 0.3, 74, -11,  17, 7, 15.0, ⑪⑨, 8, 2,Ｃテツキセキ, 72,太宰啓, 1.0, 72,* -7,  15, 5, 13.1,⑥⑤⑥
 9, 1,Ｋメイショウオトセ, 52,幸英明, 2.7, 52,  -2,  -8, 6, 15.1,④⑥⑩, 9, 1, ブラックイレブン,---,金折知, 1.2, 55, -21,  11, 8, 42.6,④⑨⑩, 9, 6,Ｉマイネルプルｰト, 69,和田竜, 0.3, 72,  -6,  12, 5, 10.0, ⑤⑤, 9, 8,Ｈパワｰエｰス, 64,酒井学, 1.3, 72, -11,  19, 9, 58.5,⑩⑩⑩
10, 3,Ｍキャシャリン, 45,鈴来直, 2.8, 53,  -3,  -6,14,215.2,⑤⑨⑨,10,10, ドンイｰスタｰ,---,藤岡康, 1.8, 43, -21,  -3, 4,  8.6,⑥⑥⑧,10, 1,Ｌデイブレイクスベル, 56,渡辺薫, 0.7, 70, -20,* 19,12,113.4, ⑮⑮,10, 3,Ｊマッキｰサマンサ, 61,野元昭, 1.6, 66, -10,  11,10,230.6,⑧⑧⑨
11, 7,Ｏユウサンチップ, 37,畑端省, 3.0, 53,  -4,  -4,16,309.2,⑭⑬⑫,11,12, コスモマントナン,---,渡辺薫, 2.4, 36,*-19, -14,12,296.2,⑨③⑦,11, 8,Ｂピエナプリンセス, 77,安藤光, 0.9, 64, -10,   8, 9, 30.2, ⑩⑪,,,,,,,,,,,,
12,10,Ｉロイヤルライン, 58,松山弘, 3.3, 46,  -5,  -7,11, 66.0,⑪⑫⑬,12, 2, メイショウシャイン,---,石橋守, 3.2, 31, -27,  -7,10, 93.4,⑩⑫⑫,12, 4,Ｅパラダイスイズヒア, 70,上村洋, 1.0, 63,  -6,   2,10, 37.1, ④④,,,,,,,,,,,,
13,14,Ｇエイシンプリズム, 61,中村将, 3.9, 43,*  0, -21,12,106.1,②②⑥,,,,,,,,,,,,,13,14,Ｎメイショウメモリア, 50,熊沢重, 1.6, 55, -12,   2,13,208.0, ⑬⑫,,,,,,,,,,,,
14,13,Ｅベルファム, 63,高野容, 3.9, 47,  -5, -10,10, 51.9,⑮⑮⑭,,,,,,,,,,,,,14,11, ビッグハｰバｰ,---,鮫島克, 2.0, 50,  -9,  -8,15,246.6, ⑧⑧,,,,,,,,,,,,
