09年 7月18日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月18日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五頭連峰特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｇゴｰルドケｰ, 58,松岡正,, 71,   9,  -7, 6, 11.4, ④④, 1,10, トップディアマンテ,,今村康,,,,, 3,  4.9,③②①, 1,10,Ｂアルティマタレント, 65,川田将,, 63,*  3,  -9, 4,  5.3,①①①, 1, 2,Ｂドリｰムゼニス, 83,松岡正,, 92,   3,* 27, 7, 14.7, ⑩⑩
 2,10,Ｋレディアミュレット, 55,蛯名正, 0.0, 69,   5,*  0, 1,  4.0, ⑬⑫, 2, 8, ダノンバッカス,,西谷誠,187.1,,,, 6, 10.0,④③②, 2,12,Ｊハンドシェイク, 54,蛯名正, 0.1, 64,  -3,*  3, 5,  5.9,⑩⑩⑪, 2,16,Ｃスピリタス, 82,田中勝, 0.1, 91,   6,  20, 1,  3.5, ⑥⑦
 3, 3,Ｊクリスチャンパｰル, 56,伊藤直, 0.1, 69,   5,* -3,12, 54.2, ⑩⑩, 3,14, マナｰハウス,,山本康,188.6,,,, 1,  3.5,⑥⑧⑧, 3, 3,Ｃエスタｰナ, 64,柴田善, 0.4, 59,*  0, -10, 1,  3.6,⑤⑤③, 3,17,Ａダイワオｰジｰ, 87,内田博, 0.1, 87,   7,  15, 9, 15.3, ④③
 4, 6,Ｈコスモカサブランカ, 58,石橋脩, 0.2, 67,   6,  -6,13, 72.6, ⑨⑨, 4, 7, キラｰパンサｰ,,草野太,188.7,,,,11, 75.0,⑩⑨⑨, 4, 6,Ｌメジロテンダｰ, 46,吉田豊, 0.6, 57,*  0, -13, 8, 32.1,③②⑤, 4, 6,Ｅセイクリッドバレｰ, 77,吉田隼, 0.2, 91,   0,* 30, 4,  8.0, ⑯⑯
 5,15,Ａスイｰトライラ, 71,勝浦正, 0.3, 67,   8,  -8, 4,  6.3, ⑧⑥, 5, 9, ユウタｰストライプ,,穂苅寿,188.8,,,, 7, 21.5,⑨④④, 5,14,Ｄトドロキエンジェル, 61,田辺裕, 0.7, 57,*  1, -14, 2,  4.7,⑥⑥④, 5, 5,Ｊカレイジャスミン, 74,木幡初, 0.5, 84,   4,  15, 3,  7.4, ⑧⑧
 6,11,Ｃリｰサムニュｰエラ, 61,田中勝, 0.3, 66,   1,*  1, 7, 12.4, ⑯⑮, 6, 6, エイワヴァｰジニア,,浜野谷,189.1,,,, 5,  9.6,⑤⑥⑥, 6,18,Ｉトウショウライド, 56,武士沢, 0.7, 55,  -1, -10,17,135.6,⑨⑨⑧, 6,12,Ｇシングンレジェンド, 77,武士沢, 0.7, 82,   2,  19, 6, 12.1, ⑫⑫
 7, 5,Ｌサマｰセレブリティ, 54,戸崎圭, 0.4, 65,   7, -10, 5,  8.6, ⑥⑦, 7,12, エｰシンカメンシズ,,五十嵐,189.4,,,,10, 52.8,②⑤⑤, 7, 7,Ｈマイネルバｰスト, 57,大野拓, 0.7, 57,*  0, -11,13, 89.5,⑦⑦⑨, 7, 9,Ｆサイレントフォｰス, 77,北村宏, 0.8, 78,   3,  14,11, 19.3, ⑪⑪
 8,12,Ｂデイロングスプリｰ, 62,北村宏, 0.5, 64,* 10, -14, 8, 18.9, ③③, 8, 5, トミケンクラｰジュ,,宗像徹,190.0,,,, 2,  3.5,①①③, 8, 9,Ｅコンフェルヴォｰレ, 61,後藤浩, 0.8, 58,  -3,  -5, 7, 28.7,⑭⑪⑩, 8,15,Ｄブレイブファイト, 79,蛯名正, 0.9, 78,   7,   5, 8, 15.3, ⑤⑤
 9, 1,Ｅエイブルアロｰ, 60,内田博, 0.6, 66,* 13, -18, 2,  4.8, ①①, 9,13, スルｰザグリｰン,,柴田未,191.0,,,, 9, 36.6,⑬⑪⑪, 9,15,Ｆエンクｰ, 60,伊藤工, 0.8, 58,  -5,*  0,16,132.3,⑬⑮⑬, 9, 7,Ｈハｰリカ, 76,村田一, 0.9, 84,   2,  17,10, 18.6, ⑭⑭
10, 9,Ｉヒラボクドリｰム, 57,伊藤工, 0.6, 63,   7, -12,10, 43.3, ⑦⑧,10, 2, シャススプリｰン,,高野和,191.4,,,,12,110.8,⑫⑬⑫,10, 2,Ｇナムライッカク, 57,戸崎圭, 1.0, 54,  -4,  -8, 6, 24.2,⑫⑫⑫,10, 4,Ｉスズジュピタｰ, 75,後藤浩, 1.1, 76,   7,   1, 2,  5.3, ③④
11, 4,Ｑスイｰトアイフェル, 32,武士沢, 0.8, 60,   5, -12,18,376.9, ⑪⑪,11, 3, コｰド,,柴田大,191.4,,,,13,170.2,⑧⑦⑦,11,11,Ｍスタｰリットラヴ, 45,柴山雄, 1.0, 56,*  1, -15,14, 94.0,⑧⑧⑦,11, 1,Ｋマルタｰズオリジン, 73,勝浦正, 1.2, 77,   4,   5, 5, 12.1, ⑦⑥
12,14,Ｍナスノロビン, 51,川田将, 1.0, 58,   3, -10, 9, 43.0, ⑭⑭,12,11, ラヴリｰゲスト,,江田勇,193.4,,,,14,353.5,⑪⑩⑩,12,17,Ａクリｰルエイト, 66,松岡正, 1.2, 52,*  1, -21, 3,  5.3,④④②,12, 8,Ｐマイネレプリｰク, 67,戸崎圭, 1.2, 73,* 11,  -8,13, 82.5, ①①
13, 8, マスタｰディアナ,---,的場勇, 1.0, 55,  -3,  -4,15,203.7, ⑰⑰,13, 1, ドレックセル,,水出大,193.7,,,, 8, 28.5,⑦⑫⑬,13, 1,Ｏアコガレノダンス, 41,吉田隼, 1.4, 52,  -6,  -7, 9, 53.7,⑯⑯⑯,13,14,Ｏアマミスウィフト, 67,石橋脩, 1.3, 77,   5,   6,15,187.5, ⑨⑨
14,13,Ｄトレノブレｰヴィ, 61,後藤浩, 1.1, 58,   9, -20, 3,  5.4, ⑤⑤,,,,,,,,,,,,,14, 5, タクトフル,---,石橋脩, 1.6, 51,  -6, -10,10, 63.4,⑰⑰⑮,14,13,Ｌナショナルホリデｰ, 72,吉田豊, 1.3, 73,* 10,  -7,12, 41.4, ②②
15,16,Ｆウィンクキス, 60,吉田豊, 1.2, 56,   5, -17,11, 48.1, ⑫⑬,,,,,,,,,,,,,15,13,Ｐリスクテｰカｰ, 39,田中勝, 1.8, 48,  -4, -18,12, 88.7,⑮⑬⑭,15,10,Ｍソブリンブライト, 71,江田照, 1.8, 71,   2,   4,17,313.5, ⑮⑮
16,17,Ｏスウェプトアロング, 44,吉田隼, 1.4, 52,  -3,  -9,16,216.6, ⑱⑱,,,,,,,,,,,,,16, 4, シルクライジング,---,黛弘人, 2.4, 42,  -8, -18,11, 82.5,⑱⑱⑱,16, 3,Ｎテントゥワン, 70,二本柳, 1.9, 72,   0,   7,14,161.2, ⑰⑰
17,18,Ｐキタノサング, 36,草野太, 2.0, 46,   1, -22,17,314.1, ⑮⑯,,,,,,,,,,,,,17,16,Ｎダイワナデシコ, 44,北村宏, 3.8, 29,  -4, -45,18,219.0,⑪⑭⑰,17,11,Ｑバトルスタｰボウ, 60,柴山雄, 2.3, 66,   2,  -5,16,201.8, ⑬⑬
18, 7,Ｎメイクボックス, 49,小野次, 2.4, 43,* 10, -39,14,158.9, ②②,,,,,,,,,,,,,18, 8,Ｋシナトラ, 53,勝浦正, 8.8,-34,*  2, ---,15,127.1,②③⑥,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:1,140円 複勝:02=360円 10=180円 03=1,330円 枠連:640円",,,,,,,,,,,,"単勝:490円 複勝:10=190円 08=310円 14=160円 枠連:1,710円",,,,,,,,,,,,"単勝:530円 複勝:10=180円 12=210円 03=150円 枠連:1,630円",,,,,,,,,,,,"単勝:1,470円 複勝:02=450円 16=170円 17=380円 枠連:700円",,,,,,,,,,,
"馬連:2,400円 ワイド:02-10=1,140円 02-03=5,390円 03-10=2,920円",,,,,,,,,,,,"馬連:2,790円 ワイド:08-10=950円 10-14=360円 08-14=800円",,,,,,,,,,,,"馬連:2,260円 ワイド:10-12=770円 03-10=440円 03-12=470円",,,,,,,,,,,,"馬連:3,230円 ワイド:02-16=1,270円 02-17=2,450円 16-17=980円",,,,,,,,,,,
"馬単:5,110円 3連複:34,820円 3連単:178,900円",,,,,,,,,,,,"馬単:4,410円 3連複:3,320円 3連単:19,680円",,,,,,,,,,,,"馬単:4,000円 3連複:2,690円 3連単:20,610円",,,,,,,,,,,,"馬単:6,850円 3連複:10,980円 3連単:67,940円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■11R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,柳都ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａダｰクシャナオｰ, 74,田中勝,, 75,*  1,* 12, 2,  3.1, ①①, 1,18, サンデｰジョウ,---,川田将,, 57,* -3,* -7, 5,  8.4, ⑦④, 1,13,Ｊサマｰミッドナイト, 65,黛弘人,, 72,*  5,   4, 5, 21.3, ③②, 1,15,Ｆトシナギサ, 85,松岡正,, 87,*  3,* 26, 2,  4.0,①①①
 2, 9,Ｂジニオマッジョｰレ, 68,松岡正, 0.3, 72,* -1,* 11, 1,  2.3, ②②, 2,11, シｰズバレンタイン,---,柴田善, 0.3, 53,* -3, -12, 1,  3.8, ③③, 2, 7,Ａザッハｰマイン, 85,伊藤工, 0.0, 69,*  4,   4, 1,  1.8, ②③, 2,12,Ｄエアマックｰル, 86,後藤浩, 0.2, 86,*  3,  25, 1,  3.4,③②②
 3, 7,Ｄエフロレス, 63,内田博, 0.6, 71,  -6,* 13, 3,  3.9, ⑧⑧, 3,14, ブレイクチャンス,---,松岡正, 0.5, 51,  -4, -12, 4,  8.0, ⑥⑦, 3, 8,Ｂエルサフィｰル, 78,田中勝, 0.0, 70,   1,   7, 3,  6.3, ⑥④, 3, 9,Ｅグランプリサクセス, 85,田中勝, 0.6, 85,   2,  25, 7, 22.4,⑧⑥⑥
 4, 3,Ｅドリｰムアスパイア, 61,木幡初, 0.9, 66,  -5,   9, 6, 18.6, ⑥⑤, 4,10, オメガブルｰライン,---,北村宏, 0.5, 49,  -8,* -7, 9, 17.6, ⑪⑪, 4, 5,Ｄロｰブドヴルｰル, 74,勝浦正, 0.1, 70,  -5,* 12, 4,  7.9, ⑩⑩, 4,14,Ａボクノタイヨウ, 88,内田博, 0.7, 85,*  2,  22, 5,  6.7,⑤③⑤
 5, 2,Ｃレイアシチｰ, 64,吉田隼, 1.0, 67,  -4,   8, 4, 13.9, ⑤④, 5, 9, スコアズビｰ,---,蛯名正, 0.7, 49,  -4, -14, 2,  4.7, ⑤⑥, 5,11,Ｃトムアウトランダｰ, 74,吉田豊, 0.3, 68,  -2,   7, 2,  4.3, ⑨⑨, 5, 2,Ｃテイエムザエックス, 86,戸崎圭, 0.7, 84,   1,  23, 4,  6.5,②④③
 6,12,Ｆコパノファンタメ, 56,戸崎圭, 1.1, 65,  -4,   6, 5, 15.6, ④⑥, 6, 1, デｰトマスタｰ,---,内田博, 0.7, 49,* -2, -19, 3,  5.7, ①①, 6, 6,Ｌガクニホシ, 61,蛯名正, 0.9, 62,  -3,   3,10, 99.7, ⑧⑧, 6, 5,Ｇアグネスネクタル, 85,柴山雄, 0.8, 84,  -1,* 27,11,125.4,⑨⑪⑫
 7, 6,Ｊホワイトコマンダｰ, 45,西田雄, 2.0, 57,  -6,   0,10,276.1, ⑦⑦, 7, 3, オルレアンノオトメ,---,戸崎圭, 0.8, 46, -11,* -7, 7, 16.8, ⑬⑭, 7, 4,Ｈキスアンドクライ, 66,石橋脩, 0.9, 62,   1,  -1, 8, 62.9, ④⑤, 7,13,Ｂアルバレスト, 87,田辺裕, 0.9, 82,   0,* 26, 6, 18.3,⑬⑫⑬
 8, 1,Ｍチェリｰズバッグ, 30,高山太, 2.4, 54,  -3,  -6, 7, 89.4, ③③, 8, 6, ゴｰルドジャパン,---,木幡初, 0.8, 47,* -3, -19, 6, 13.7, ②②, 8, 3,Ｏロｰテブリジャｰル, 39,木幡初, 1.0, 62,*  5,  -5,12,119.9, ①①, 8, 8,Ｌマイプリティワン, 81,江田照, 1.0, 82,   0,  25,15,263.6,⑪⑬⑪
 9, 4,Ｈレオフュｰジョン, 49,江田照, 2.4, 54,  -6,  -2, 9,156.4, ⑨⑨, 9,15, クラリン,---,青木芳, 0.9, 45, -14,* -3,15,130.5, ⑯⑯, 9, 1,Ｍフジマサエｰス, 58,柴山雄, 1.0, 63,  -2,   2,13,209.6, ⑦⑦, 9, 7,Ｊブライアンズエッセ, 83,蛯名正, 1.1, 83,  -2,* 27, 8, 25.0,⑮⑮⑮
10,15,Ｉトｰセンエイゼル, 46,加藤士, 2.6, 52,  -8,  -4,14,494.9, ⑩⑪,10,12, レイディオドリｰム,---,大庭和, 1.0, 46,  -6, -14,11, 57.9, ⑨⑩,10,12,Ｋブルｰスコｰピオン, 61,草野太, 1.2, 59, -10,   6,15,585.3, ⑬⑪,10, 4,Ｎウォｰタｰマｰク, 78,柴田善, 1.1, 81,   1,  20,12,154.6,④⑤④
11, 5,Ｇクｰルレディ, 52,小林淳, 2.6, 52, -14,   3,15,498.7, ⑫⑫,11, 2, レチタティｰヴォ,---,勝浦正, 1.0, 46,  -4, -18,12,112.0, ④⑤,11,14,Ｇハｰバｰクイｰン, 66,西田雄, 1.3, 59,  -9,   4, 9, 83.5, ⑫⑫,11,11,Ｈエタｰナルスマイル, 84,伊藤直, 1.2, 82,  -1,  25,10,114.3,⑭⑭⑭
12, 8,Ｋグラステクニック, 42,伊藤工, 2.6, 50, -16,   4,11,289.5, ⑬⑬,12, 5, ランバレｰノ,---,伊藤工, 1.2, 41, -15,  -8,10, 19.9, ⑮⑮,12,15,Ｆガリレオシチｰ, 69,柴田善, 1.4, 58, -14,*  9, 6, 26.4, ⑭⑭,12, 3,Ｍロリンザｰユｰザｰ, 79,吉田豊, 1.4, 78,   0,  19, 9,110.3,⑦⑧⑧
13,11,Ｌオｰデパルファン, 31,丹内祐, 3.1, 51,  -9,  -4,12,384.6, ⑪⑩,13,13, アイアイレインボｰ,---,西田雄, 1.3, 41,  -7, -20,13,114.2, ⑩⑧,13, 9,Ｉリネンピュア, 66,村田一, 1.6, 57,   2,  -8, 7, 47.6, ⑤⑥,13,10,Ｏレインボｰペガサス, 76,北村宏, 1.5, 77,   0,  19, 3,  4.5,⑫⑩⑨
14,13, コｰトデュロｰヌ,---,草野太, 3.4, 45, -17,  -2, 8,151.8, ⑭⑭,14,17, プランソレイユ,---,小林淳, 1.5, 39, -12, -14,14,121.0, ⑭⑬,14,10,Ｎワｰルドグランプリ, 46,平沢健, 2.5, 48,  -8,  -7,14,426.7, ⑪⑬,14, 1,Ｉサンマルセイコｰ, 84,大野拓, 1.5, 78,   0,  18,14,182.7,⑥⑦⑦
15,14, キンゲンテイ,---,大野拓, 6.5, 17, -48,   0,13,403.6, ⑮⑮,15, 8, キタノサイレンス,---,後藤浩, 1.7, 37,  -8, -22, 8, 17.4, ⑫⑫,15, 2,Ｅブラックシチｰ, 70,池崎祐,10.3,-23, -32, -53,11,105.7, ⑮⑮,15, 6,Ｋヤマタケゴｰルデン, 81,武士沢, 1.6, 76,   1,  18,13,181.1,⑩⑨⑩
,,,,,,,,,,,,16, 4, トｰセンクラッチ,---,江田照, 1.8, 36,  -7, -26,17,144.6, ⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,16, ビッグメッセｰジ,---,大野拓, 2.1, 34, -18, -14,18,210.5, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 7, サｰラウェイ,---,吉田隼, 3.5,  8, -23, -24,16,140.3, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:不良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:不良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:不良(指数:-6),,,,,,,,,,,
単勝:310円 複勝:10=120円 09=110円 07=120円 枠連:350円,,,,,,,,,,,,"単勝:840円 複勝:18=240円 11=140円 14=280円 枠連:1,460円",,,,,,,,,,,,"単勝:2,130円 複勝:13=380円 07=120円 08=170円 枠連:1,750円",,,,,,,,,,,,単勝:400円 複勝:15=180円 12=140円 09=420円 枠連:400円,,,,,,,,,,,
馬連:340円 ワイド:09-10=160円 07-10=240円 07-09=180円,,,,,,,,,,,,"馬連:1,680円 ワイド:11-18=490円 14-18=1,360円 11-14=730円",,,,,,,,,,,,"馬連:1,860円 ワイド:07-13=720円 08-13=1,280円 07-08=260円",,,,,,,,,,,,"馬連:870円 ワイド:12-15=420円 09-15=1,630円 09-12=940円",,,,,,,,,,,
"馬単:880円 3連複:330円 3連単:1,960円",,,,,,,,,,,,"馬単:4,120円 3連複:5,360円 3連単:33,430円",,,,,,,,,,,,"馬単:6,640円 3連複:2,700円 3連単:34,350円",,,,,,,,,,,,"馬単:1,860円 3連複:5,040円 3連単:21,870円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■12R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,閃光特別,,,,,,,,,,,,,,,,,,,,,,
