09年 7月18日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月18日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃキストゥクラウン, 64,黛弘人,, 70,*  6,*  2, 2,  4.0,②②②, 1,11, アｰバンウィナｰ,---,田中勝,, 65, -20,* 16, 6,  9.3, ⑦⑧, 1, 3,Ａコスモイライザ, 73,内田博,, 64,*  0,  -3, 1,  2.3,   , 1,15,Ｄモンテアルベルト, 76,柴田善,, 83,  11,   6, 2,  3.5, ⑩⑩
 2, 5,Ｂニシノロイポス, 67,柴山雄, 0.2, 69,*  7,  -1, 5,  9.1,①①①, 2, 6, メジロジェラルド,---,吉田豊, 0.1, 48,* -4, -21, 4,  5.9, ①①, 2,18,Ｅファンタジックキｰ, 64,丹内祐, 0.0, 63,  -4,*  0, 5, 12.4,   , 2,18,Ｃヒラボクシャトル, 76,後藤浩, 0.1, 83,   8,* 11, 3,  5.3, ⑬⑬
 3,10,Ａネオコルテックス, 70,吉田豊, 0.3, 69,   5,*  2, 4,  8.2,⑤⑤⑤, 3, 7, キングスバウンティ,---,後藤浩, 0.4, 57, -19,   7, 2,  4.2, ⑤⑤, 3,15,Ｏライセンシｰ, 55,吉田豊, 0.1, 63, -15,*  5,11, 49.4,   , 3,12,Ｅダイメイザバリヤル, 75,木幡初, 0.2, 82,   7,* 11, 5, 17.6, ⑭⑭
 4, 2,Ｋマキシムギンガ, 51,草野太, 1.0, 63,   2,   0,14,241.8,⑦⑦⑦, 4, 2, ウエスタンブラボｰ,---,柴田善, 0.5, 59, -22,* 11, 7, 22.3, ⑧⑥, 4, 1,Ｂレイクエルフ, 70,的場勇, 0.1, 63,  -7,*  2, 2,  5.2,   , 4, 3,Ｂキョウエイストｰム, 77,蛯名正, 0.2, 82,  14,   0, 1,  2.9, ⑤⑤
 5, 4,Ｊシルクブルｰムｰン, 54,大野拓, 1.2, 63,   0,*  3, 8, 33.4,⑭⑪⑪, 5, 8, クロスファイト,---,石橋脩, 1.5, 45, -20,  -5,12,156.5, ⑨⑦, 5,12,Ｍホリノティアラ, 57,江田照, 0.3, 59,*  2,  -8, 6, 17.7,   , 5,11,Ｆスペック, 71,田中勝, 0.2, 82,  11,   3, 6, 24.7, ⑨⑧
 6,13,Ｆケイズパステル, 61,勝浦正, 1.2, 62,*  6,  -8, 7, 19.0,④④④, 6, 5, タケショウナイト,---,丹内祐, 1.6, 38, -16, -15, 5,  7.8, ③③, 6,10,Ｄナスザン, 65,勝浦正, 0.5, 56,  -7,  -6, 7, 22.4,   , 6, 6,Ｇロｰドクリムゾン, 69,大野拓, 0.4, 81,   6,* 11,14, 91.5, ⑯⑰
 7, 9,Ｈムｰンライトソング, 58,伊藤工, 1.3, 60,  -1,*  4, 6, 14.6,⑮⑭⑬, 7, 3, モｰベイン,---,北村宏, 1.6, 44, -24,   1,10, 60.5, ⑬⑫, 7, 9,Ｊセレスマン, 61,田中勝, 0.7, 53,  -8,  -7, 8, 23.2,   , 7, 5,Ａドリｰムスカイラブ, 77,伊藤工, 0.5, 78,   5,*  9, 4,  7.5, ⑮⑮
 8,14,Ｅイフリｰタ, 62,松岡正, 1.4, 59,   4,  -7, 1,  3.2,⑧⑥⑥, 8, 1, ニュｰコネクション,---,大野拓, 1.7, 43, -25,  -1, 9, 53.7, ⑫⑨, 8,16,Ｌシュウザンゴｰルド, 57,柴田善, 0.7, 52,  -4, -10,15,113.2,   , 8,14,Ｉトウカイフィット, 67,柴山雄, 0.5, 78,  12,  -4, 7, 25.1, ⑧⑦
 9,11,Ｄアッフェルバンダム, 63,内田博, 1.7, 60,*  6, -13, 3,  4.3,③③③, 9,10, ヴィｰヴァギブソン,---,戸崎圭, 1.8, 40, -22,  -8, 1,  4.0, ⑩⑪, 9,13,Ｆギンザマスタング, 63,後藤浩, 0.9, 50,*  0, -15, 4,  8.4,   , 9,17,Ｋアナナス, 66,吉田隼, 0.6, 78,   6,   8,12, 54.1, ⑰⑯
10, 3,Ｇダッパｰユウ, 60,田中勝, 1.9, 58,   2,  -6, 9, 41.4,⑫⑩⑩,10,13, エｰシンガレオン,---,柴山雄, 2.2, 36, -23, -11,11, 70.4, ⑪⑬,10, 8,Ｃノボジュピタｰ, 65,川田将, 1.0, 47,  -8, -11, 3,  7.8,   ,10,16,Ｌマイネルカルナバル, 66,戸崎圭, 0.7, 75,   9,  -1,11, 46.3, ⑪⑫
11, 7,Ｌヨイチセレブ, 50,江田照, 2.0, 56,   1,  -7,12,209.8,⑩⑧⑧,11, 9, パラダイスモデル,---,松岡正, 2.8, 24, -16, -33, 3,  4.4, ④④,11, 7, ティｰエムヒロイン,---,戸崎圭, 1.0, 48, -16,  -6,13, 64.7,   ,11, 2,Ｎミサトバレｰ, 63,武士沢, 0.8, 74,   4,   8,15,102.8, ⑱⑱
12,12,Ｏスタｰフォｰユｰ, 33,的場勇, 2.9, 53,   2, -15,13,226.0,⑥⑨⑨,12,12, サンデｰチャｰジ,---,内田博, 3.0, 24, -19, -30, 8, 33.1, ⑥⑩,12, 5,Ｎタイキティアラ, 56,二本柳, 1.1, 47, -14,  -8,17,157.7,   ,12,13,Ｊマイネルランペｰジ, 66,松岡正, 0.8, 74,  12,  -7, 8, 27.2, ⑦⑨
13, 8,Ｎミエノキララ, 43,北村宏, 3.5, 47,  -1, -14,11, 78.3,⑬⑮⑭,13, 4, ケｰジｰカツタロウ,---,村田一, 8.2,-50,* -4, ---,13,264.5, ②②,13, 2,Ｈドリｰムブランチ, 62,伊藤直, 1.3, 43, -14, -11, 9, 25.6,   ,13, 9,Ｍレｰシングレデイｰ, 65,池崎祐, 0.9, 70,* 22, -28, 9, 40.9, ②②
14,15,Ｉゴｰルドラプソディ, 56,蛯名正, 3.6, 47,   1, -19,10, 47.2,⑪⑫⑫,,,,,,,,,,,,,14, 6,Ｋカルストントップオ, 60,小林淳, 1.3, 43,  -8, -15,14, 87.0,   ,14, 4,Ｏマックスオネスティ, 62,的場勇, 1.0, 69,  16, -17,16,106.5, ③③
15, 6,Ｍトゥｰルザンレｰル, 46,石橋脩, 4.0, 44,  -1, -18,15,284.7,⑨⑬⑮,,,,,,,,,,,,,15,11,Ｐブライティアパｰル, 52,北村宏, 1.4, 40, -11, -14,18,199.4,   ,15, 7,Ｑリバｰインバウンド, 58,江田照, 1.5, 66,   8, -10,17,248.9, ⑫⑪
