09年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-16,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,秋風ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａラルティスタ, 63,岩田康,, 69,*  4,* -2, 1,  2.1, ①①, 1, 8, シロイキセキ,---,内田博,, 66,  -2,*  3, 2,  3.3, ⑤⑤, 1, 3,Ｂパワｰストラグル, 76,藤田伸,, 78,*  8,*  7, 1,  2.5,①①①, 1,15,Ｃマイネルファルケ, 83,松岡正,, 85,* 11,   4, 2,  4.2,①①①
 2,12,Ｅストロングリゲル, 46,津村明, 0.7, 59,*  2, -11, 4, 10.7, ②②, 2, 7, タマビッグボス,---,松岡正, 0.7, 60,*  1,  -5, 1,  2.9, ①①, 2, 5,Ｅキャトルマン, 73,内田博, 0.3, 77,*  7,   5, 7, 19.3,⑨③④, 2, 3,Ｂスピリタス, 83,安藤勝, 0.0, 90,  -1,* 26, 1,  2.2,⑭⑮⑫
 3, 1,Ｋミヤギマジック, 40,木幡初, 0.9, 57,  -4,  -6, 8, 23.6, ④④, 3, 4, アポロジャスミン,---,吉田隼, 0.8, 60,   0,  -4, 6, 10.6, ④②, 3, 4,Ｆマイネルハヤト, 73,田辺裕, 0.7, 74,   5,*  7, 5, 10.4,⑩⑩⑧, 3,14,Ｉケイアイドウソジン, 79,藤田伸, 0.0, 86,* 10,   9, 5, 13.7,③④②
 4, 4,Ｇアポロサニｰナ, 43,勝浦正, 0.9, 58,  -8,* -2, 3,  8.5, ⑥⑤, 4, 3, サトノイｰグル,---,北村宏, 1.6, 46, -18,*  4, 3,  6.5, ⑨⑨, 4, 1,Ａエイブルベガ, 78,岩田康, 0.8, 72,   6,   3, 2,  3.5,③④②, 4, 1,Ｎマイネヴェロナ, 75,津村明, 0.1, 85,   7,  11,10, 41.2,⑤⑦⑤
 5,16,Ｃクナンガン, 47,松岡正, 1.0, 56, -13,*  0, 2,  5.2, ⑪⑨, 5, 1, スマイルウィン,---,吉田豊, 1.8, 48,  -5,  -9,10, 36.2, ⑥⑥, 5,10,Ｃシルクアルバス, 75,吉田豊, 1.1, 71,   5,   5, 6, 15.6,⑪⑫⑩, 5,11,Ｆファイアｰフロｰト, 81,三浦皇, 0.2, 84,* 10,   6, 6, 13.9,②③③
 6, 2,Ｂサンワｰドネオ, 50,西田雄, 1.0, 56,*  0, -11, 5, 10.9, ③③, 6, 6, ダイアナサン,---,三浦皇, 1.8, 47,  -5, -10, 5,  9.9, ⑦⑦, 6,14,Ｄサクセスアｰチ, 73,安藤勝, 1.1, 70,*  9,  -1, 4,  9.8,④②③, 6, 4,Ｌタイガｰストｰン, 78,四位洋, 0.3, 84,   6,  12, 3,  8.3,⑥⑨⑧
 7,13,Ｊミラクルコンバット, 42,三浦皇, 1.3, 52, -14,* -3, 6, 11.0, ⑬⑫, 7, 5, マイハｰトスロブス,---,武士沢, 2.2, 43, -12,  -6,11,177.3, ⑧⑧, 7, 7,Ｇステディｰラブ, 72,田中博, 1.2, 71,   5,   1, 9, 29.9,⑭⑧⑦, 7,10,Ｈショウナンライジン, 79,吉田豊, 0.5, 83,  -2,* 20, 9, 36.6,⑮⑯⑯
 8, 7,Ｄボストンプラチナ, 46,内田博, 1.4, 51, -12,  -5,11, 79.3, ⑩⑪, 8, 9, ケイアイジンベイ,---,田辺裕, 2.4, 45,*  0, -19, 9, 28.5, ②③, 8, 9,Ｈアドマイヤワンダ, 72,的場勇, 1.3, 70,   7,  -1, 8, 29.5,②⑤⑤, 8, 2,Ｋカゼノコウテイ, 78,柴田善, 0.6, 81,  -1,* 17,12, 97.1,⑯⑭⑮
