09年12月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  ダ2300m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,つわぶき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａパルラメンタｰレ, 80,北村友,, 72,*  3,* 11, 1,  1.1,①①①, 1, 1,Ａクレバｰサンデｰ, 64,国分恭,, 67,   5,* -5, 3,  3.7, ⑤⑤, 1, 3,Ａベルモントサｰガ, 78,デムｰ,, 75,*  8,*  6, 1,  1.8,③③③, 1, 2,Ｆドリｰムフォワｰド, 65,川田将,, 74,  10,   0, 3,  6.1, ③②
 2, 1,Ｄスマｰトスペンサｰ, 57,川田将, 1.5, 63,   1,   3, 7, 54.8,④③③, 2, 2,Ｋアイビｰフォｰルド, 48,川田将, 0.2, 68,*  9, -12,11, 49.7, ③③, 2, 7,Ｂマルタカワンタッチ, 77,中舘英, 0.4, 72,*  8,*  2, 2,  4.0,②②②, 2,11,Ｄエｰシンダックマン, 66,中舘英, 0.1, 75,* 15,  -7, 1,  3.0, ①①
 3,11,Ｊリズミックビｰト, 48,池添謙, 1.6, 60,*  3,  -3, 4, 30.6,②②②, 3,10,Ｇキルシュバウム, 57,中舘英, 0.4, 67,* 12, -17, 4,  7.8, ①①, 3, 4,Ｄスマｰトパルス, 74,国分恭, 0.9, 69,*  8,  -3, 3,  7.1,①①①, 3, 8,Ｂシュテルンタｰラｰ, 70,丸田恭, 0.2, 66,   1,*  5, 7, 20.2, ⑪⑪
 4,14,Ｇラド, 54,北村宏, 2.2, 56,  -5,*  6, 8, 60.6,⑮⑫⑫, 4, 7,Ｆテイエムファイヤｰ, 57,田嶋翔, 0.5, 62,*  8, -15, 2,  3.6, ④④, 4,12,Ｏファｰトゥム, 60,丸田恭, 1.4, 68,   7,  -3,11, 64.0,⑩⑤⑤, 4, 9,Ｇセイウンオウサム, 65,的場勇, 0.2, 67,   7,   0, 6, 17.9, ⑦⑥
 5,15,Ｃラスティングソング, 61,鮫島良, 2.5, 57,  -4,   3, 3, 17.8,⑫⑩⑩, 5,16,Ｈリビングプルｰフ, 56,池添謙, 0.6, 60,   3, -10, 6, 18.8, ⑦⑦, 5, 6,Ｇテイエムカイブツ, 72,丸山元, 1.5, 66,   7,  -5,12, 64.6,⑤④④, 5, 3,Ｃアｰリｰデイズ, 67,藤岡康, 0.5, 66,   9,  -7, 4,  9.1, ④④
 6, 8,Ｉトレノジャイアント, 50,小野寺, 3.0, 51,  -2,  -5,12,269.8,⑧⑦⑥, 6,12,Ｄセレスワンラヴ, 61,デムｰ, 0.6, 58,   0,  -8, 1,  3.4, ⑩⑨, 6,14,Ｈマイネルアｰバニタ, 71,柴山雄, 1.8, 66,   5,   1, 9, 35.7,⑮⑫⑩, 6,14,Ａダノンカスガ, 72,デムｰ, 0.5, 65,   8,  -5, 2,  3.0, ⑤⑤
 7, 7,Ｈカツヨプリンセス, 50,武士沢, 3.2, 50,  -3,  -6,14,334.6,⑨⑤⑤, 7,13,Ｌデイズオブメモリｰ, 47,田中健, 0.7, 56,  -5,* -4, 7, 33.9, ⑯⑭, 7, 1,Ｆフジヤマワカムシャ, 72,高田潤, 2.0, 64,   5,  -1,13, 75.7,⑨⑨⑨, 7,10,Ｋメイショウヘミング, 59,池添謙, 0.7, 65,* 11, -10, 9, 23.2, ②③
 8, 3,Ｋオミヤゲ, 47,国分恭, 3.4, 49,  -2,  -9, 9,120.8,⑤⑥⑦, 8, 4,Ｑエルキャンディｰ, 37,武英智, 0.9, 53,  -4,  -8,16,155.9, ⑫⑫, 8,10,Ｅアルウェット, 73,上村洋, 2.3, 62,   4,  -4, 4, 12.7,⑬⑪⑧, 8, 5,Ｎカルロスバロｰズ, 53,角田晃, 0.8, 59,  -3,*  1,10, 39.8, ⑬⑫
 9,10,Ｆコスモマハトマ, 54,デムｰ, 3.4, 49,  -4,  -7, 6, 37.7,⑯⑨⑧, 9,14,Ｉラヴァリｰトゥルｰ, 56,古川吉, 0.9, 56,   5, -17, 9, 42.8, ⑥⑥, 9, 2,Ｊシャイニｰキング, 68,古川吉, 2.4, 61,   5,  -8,10, 57.6,⑥⑦⑥, 9,15,Ｉクロワラモｰ, 61,上村洋, 0.9, 59,   4,  -7, 5, 17.0, ⑨⑨
10, 6,Ｅブルｰムｰンピサ, 54,中舘英, 3.8, 45,   1, -18, 2, 13.7,⑥④④,10, 9,Ｅシンボリルルド, 58,北村宏, 1.2, 49,  -1, -14, 8, 42.7, ⑪⑩,10,15,Ｌメイショウシンドウ, 67,大下智, 2.4, 64,   3,   0, 7, 32.9,⑯⑬⑫,10,12,Ｍメグリ, 54,大野拓, 1.2, 54,  -6,   0,12, 99.8, ⑭⑭
