09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,13, 8, ヴォｰタン,---,角田晃, 1.6, 19,  -8, -39, 3,  7.0, ⑧⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 7, ネオスペチアｰレ,---,武豊  , 1.8,-14, -50,* -3, 2,  4.1, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,16, カノヤピュｰ,---,浜中俊, 5.6,-63, -50, -51,14, 86.4, ⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 9, マルシゲダンディ,---,小牧太, 6.0,-69, -49, -58,15, 91.8, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,18, カシノビヨンセ,---,松山弘,126.6,,,, 8, 16.1, ③⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-7),,,,,,,,,,,
"単勝:1,650円 複勝:09=300円 04=160円 02=110円 枠連:1,040円",,,,,,,,,,,,"単勝:840円 複勝:13=240円 12=800円 15=160円 枠連:2,370円",,,,,,,,,,,,"単勝:560円 複勝:07=220円 10=490円 04=290円 枠連:2,500円",,,,,,,,,,,,単勝:670円 複勝:08=140円 06=110円 10=110円 枠連:790円,,,,,,,,,,,
"馬連:2,980円 ワイド:04-09=650円 02-09=500円 02-04=270円",,,,,,,,,,,,"馬連:20,180円 ワイド:12-13=5,580円 13-15=530円 12-15=2,400円",,,,,,,,,,,,"馬連:4,470円 ワイド:07-10=1,300円 04-07=610円 04-10=1,610円",,,,,,,,,,,,馬連:910円 ワイド:06-08=260円 08-10=220円 06-10=130円,,,,,,,,,,,
"馬単:7,910円 3連複:1,730円 3連単:22,780円",,,,,,,,,,,,"馬単:36,540円 3連複:17,870円 3連単:153,840円",,,,,,,,,,,,"馬単:8,450円 3連複:8,580円 3連単:52,990円",,,,,,,,,,,,"馬単:2,180円 3連複:360円 3連単:3,750円",,,,,,,,,,,
