09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 3,11,Ａタケカジョウオｰ, 69,松山弘, 0.1, 66,*  3,  -4, 1,  3.2,①①①, 3, 2,Ｆスリｰロゼット, 56,松山弘, 0.1, 62,  -9,   5, 4, 13.5,③④③, 3, 7,Ｈセキサンダンスイン, 67,浜中俊, 0.2, 72,  -8,* 14, 5,  9.1,⑧⑧⑧, 3,16,Ａメイショウイッキ, 81,武豊  , 0.2, 73,  -2,* 16, 1,  2.1,⑫⑧⑧
 4,15,Ｇゴッドダンシング, 57,武豊  , 0.1, 67,  -3,*  6, 5, 11.6,⑧⑧⑧, 4, 8,Ｇアラタマポケット, 55,石橋守, 0.3, 63, -10,*  8, 8, 56.8,⑥⑥④, 4, 3,Ｇマイファｰストラヴ, 69,福永祐, 0.2, 69,  -5,   8, 3,  6.1,③③④, 4,12,Ｃマッシヴエンペラｰ, 76,熊沢重, 0.2, 72,*  0,  12, 2,  5.2,④③④
 5, 3,Ｉアｰリｰスプリング, 56,福永祐, 0.1, 67,  -3,*  5, 6, 12.5,⑦⑦⑦, 5, 4,Ｃユウリョク, 63,太宰啓, 0.7, 59, -11,   5, 3,  6.0,⑦⑦⑦, 5, 9,Ｉエメラルドミスト, 65,鮫島良, 0.5, 70, -10,* 13, 8, 18.9,⑭⑫⑫, 5,10,Ｇタマモクリエイト, 68,幸英明, 0.6, 69,  -3,  14, 7, 37.7,⑧⑨⑨
 6, 4,Ｌドロップミアライン, 51,佐藤哲, 0.2, 65,  -4,*  7, 4,  9.6,⑩⑩⑩, 6, 3,Ｅミスズジャック, 57,武豊  , 0.7, 58, -13,*  6, 5, 13.9,⑧⑧⑧, 6,10,Ｊシルクナデシコ, 63,藤岡康, 0.5, 66,  -6,   7, 7, 12.3,⑤⑥⑥, 6,11,Ｍカシノマルス, 62,高野容, 1.1, 64,*  0,   3,12,100.1,②②②
 7, 1,Ｋサンレイシャｰマン, 51,難波剛, 0.3, 66,  -3,   4,12, 57.5,⑨⑨⑨, 7, 6,Ｄマイネエアリｰ, 61,佐藤哲, 1.4, 45, -10,  -9, 6, 18.5,⑤⑤⑤, 7, 2,Ｂプティマカロン, 73,武豊  , 0.5, 66,  -7,   7, 2,  3.9,⑩⑤⑦, 7,13,Ｆオメガクエスト, 68,浜中俊, 1.2, 65,  -2,   6, 9, 67.9,⑥⑥⑦
 8, 9,Ｃカノヤグッドラック, 63,和田竜, 0.5, 63,   0,  -4, 2,  3.5,⑥⑥⑥, 8, 5, サクラフジビュｰ,---,浜中俊, 1.9, 45, -13,  -8, 7, 26.5,⑨⑨⑨, 8, 6,Ｎハロｰスカｰレット, 43,和田竜, 0.8, 66, -12,  11,11, 64.9,⑬⑬⑬, 8, 9,Ｐシルクライトアップ, 52,鈴来直, 1.3, 66,  -4,  10,14,149.7,⑪⑬⑪
 9,12,Ｄネオカｰニバル, 60,高橋亮, 0.6, 60,*  3, -11, 7, 13.2,②②②, 9, 9,Ｈマルサンマウジｰ, 50,熊沢重, 2.7, 33,* -7, -33, 9,142.5,②②⑥, 9, 5,Ａフレノカトリｰヌ, 79,酒井学, 0.8, 64, -11,   9, 9, 40.0,⑪⑪⑪, 9, 5,Ｌメイショウラフログ, 62,田嶋翔, 1.4, 63,*  1,   1, 5, 11.5,①①①
10,10,Ｍカシノスフィンクス, 49,大下智, 0.7, 59,*  1, -10,13,207.1,④④③,,,,,,,,,,,,,10,12,Ｃモンサンミシェル, 72,幸英明, 1.1, 60,  -8,   2, 6, 10.7,⑨⑨⑨,10, 2,Ｂシｰクレバｰ, 77,国分恭, 1.6, 65,  -9,* 14, 6, 12.7,⑯⑮⑮
11,13,Ｂオカゲサマデ, 63,幸英明, 0.7, 62,  -4,   0,10, 30.2,⑫⑫⑫,,,,,,,,,,,,,11,13,Ｆプリティｰキャット, 69,田中克, 1.4, 53,  -5,  -9,10, 57.7,④④③,11, 8,Ｈエｰティｰドン, 67,太宰啓, 1.6, 61,  -2,   3,10, 82.0,⑤⑤⑥
12, 6,Ｆシャｰペンエッジ, 57,国分恭, 0.8, 61,  -6,   3, 3,  7.0,⑬⑬⑬,,,,,,,,,,,,,12, 1,Ｋメイショウリビエラ, 57,難波剛, 1.5, 54, -10,  -3,12,147.2,⑦⑩⑩,12, 6,Ｊジョニｰバロｰズ, 64,角田晃, 2.2, 61,  -3,   2,11, 83.6,⑭⑫⑩
13, 8,Ｈハナゴロモ, 56,赤木高, 0.9, 59,  -6,   0, 9, 27.4,⑭⑭⑭,,,,,,,,,,,,,13, 4,Ｍキクノフレア, 52,角田晃, 1.8, 48,* -2, -21,13,207.5,①①①,13, 4,Ｏフォｰシｰズンゴｰ, 53,藤岡康, 2.4, 58,  -5,   2,15,234.0,⑬⑭⑭
14, 5,Ｎシルクジャスパｰ, 46,渡辺薫, 2.0, 48,  -4, -19,15,270.8,⑪⑪⑪,,,,,,,,,,,,,14,11,Ｌアピｰル, 53,高野容, 1.9, 52, -13,  -1,14,231.0,⑫⑭⑭,14,15,Ｉカミツキ, 64,赤木高, 2.8, 52,  -3,  -6,13,100.5,⑨⑩⑫
15,14, レモネｰドバンブｰ,---,浜中俊, 3.5, 33,  -8, -30,14,250.0,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｎシュウホｰサンデｰ, 59,田中健, 3.7, 48,  -4, -12, 8, 53.1,⑩⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｋワイルドキング, 64,酒井学, 4.1, 49, -12,  -1,16,266.7,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,
"単勝:5,710円 複勝:07=830円 02=340円 11=160円 枠連:1,710円",,,,,,,,,,,,単勝:240円 複勝:07=110円 01=110円 02=220円 枠連:240円,,,,,,,,,,,,単勝:640円 複勝:14=230円 08=160円 07=230円 枠連:930円,,,,,,,,,,,,"単勝:550円 複勝:07=160円 03=200円 16=120円 枠連:1,570円",,,,,,,,,,,
"馬連:35,170円 ワイド:02-07=6,880円 07-11=2,080円 02-11=880円",,,,,,,,,,,,馬連:230円 ワイド:01-07=140円 02-07=470円 01-02=390円,,,,,,,,,,,,"馬連:1,440円 ワイド:08-14=620円 07-14=1,170円 07-08=520円",,,,,,,,,,,,"馬連:1,810円 ワイド:03-07=610円 07-16=330円 03-16=350円",,,,,,,,,,,
"馬単:78,310円 3連複:29,710円 3連単:424,180円",,,,,,,,,,,,"馬単:460円 3連複:800円 3連単:2,380円",,,,,,,,,,,,"馬単:3,530円 3連複:4,210円 3連単:24,010円",,,,,,,,,,,,"馬単:3,320円 3連複:1,570円 3連単:12,280円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
