09年 2月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かささぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｅヒラボクワイルド, 56,松田大,, 66,   5,*  2, 2,  4.0,④⑤⑤, 1,12,Ｂメイショウジンム, 65,的場勇,, 71,   5,* 10, 6, 24.7,⑯⑬⑫, 1,18,Ｋオｰスミビｰナス, 62,西田雄,, 78,*  6,   8,12, 82.0, ②②, 1, 7,Ａノアウイニング, 70,田中健,, 62,* -9,   3, 3,  5.8, ②②
 2, 2,Ａナムラブレット, 65,太宰啓, 0.8, 59,   5,  -4, 3,  5.3,⑥④④, 2, 3,Ｅニシノラブキング, 57,長谷川, 0.3, 67,* 11,  -9, 4, 17.6,④④③, 2,11,Ｇテイエムカゲムシャ, 66,浜中俊, 0.1, 78,*  4,   8, 1,  2.9, ③③, 2, 1,Ｋコウユｰルｰジュ, 52,安藤光, 0.1, 61,* -8,   0,11, 40.1, ①①
 3, 5,Ｆタマモウィナｰ, 54,黛弘人, 0.9, 59,*  6,  -8, 6, 18.4,①①①, 3,15,Ｃイネオレオ, 61,藤岡康, 0.7, 62,* 12, -17, 3,  4.8,⑦③②, 3, 5,Ｂケイアイアストン, 70,宮崎北, 0.1, 77,*  7,   5, 2,  5.6, ①①, 3,17,Ｂコリコパット, 70,中舘英, 0.3, 60, -18,*  8, 2,  5.0, ⑪⑨
 4,10,Ｂメイショウロッコｰ, 62,中舘英, 0.9, 58,*  6,  -7, 1,  2.3,③③③, 4, 6,Ｈパワｰルｰルズ, 49,荻野琢, 0.9, 64,   2,*  4, 9, 34.2,⑱⑱⑮, 4, 6,Ｅニホンピログッデン, 67,鮫島克, 0.3, 74,   1,*  9, 5,  8.7, ⑤⑤, 4,18,Ｃマッキｰコバルト, 69,野元昭, 0.3, 58, -16,   5, 4,  5.8, ⑥⑧
 5, 4,Ｇエイシンワｰルド, 54,田辺裕, 1.0, 56,   3,* -3, 8, 38.9,⑦⑥⑥, 5, 8,Ｎウィズインウエク, 45,古川吉, 1.2, 60,   6, -12,18,249.0,⑫⑩⑧, 5,12,Ｃエムオｰミラクル, 68,田辺裕, 0.5, 71,  -2,*  9, 9, 24.4, ⑨⑦, 5, 3,Ｈビスカヤ, 63,浜中俊, 0.4, 60, -21,* 10,10, 29.4, ⑫⑩
 6,12,Ｃステルススキャン, 59,宮崎北, 1.4, 54,   3,  -7, 5, 12.3,⑧⑦⑦, 6, 2,Ｌマサゴｰルド, 46,太宰啓, 1.3, 60,   6, -11, 8, 28.0,⑩⑪⑩, 6, 3,Ａエリモサリュｰト, 73,田嶋翔, 0.7, 69,  -3,   8, 4,  8.2, ⑩⑪, 6, 9,Ｇアｰバンテｰスト, 64,宮崎北, 0.4, 57,*-12,   0, 8, 17.0, ③③
 7, 8,Ｌブラックバロン, 45,小林久, 2.2, 49,*  6, -19,12,201.9,②②②, 7,10,Ｇサクラレｰヌ, 50,丸田恭, 1.5, 53,   9, -23,10, 40.1,⑥⑤⑤, 7, 7,Ｈバクシンミノル, 65,鮫島良, 0.8, 68,  -9,* 12, 7, 17.7, ⑭⑭, 7,11,Ｅサルバドｰルアスカ, 66,西田雄, 0.4, 57, -17,   5, 7, 15.5, ⑦⑥
 8,11,Ｊティダアパアパ, 49,鮫島克, 2.3, 50,  -1,  -8,10, 63.9,⑪⑪⑪, 8,13,Ｍフジマサエンブレム, 45,小林久, 1.5, 59,   4,  -6,17,243.7,⑰⑰⑬, 8, 2,Ｉモンルｰジュ, 64,北村友, 0.9, 66,  -2,   4, 6, 16.4, ⑧⑥, 8,12,Ｆセブンシｰクィｰン, 65,鮫島良, 0.5, 56, -17,   4, 1,  3.8, ⑧⑦
