09年 4月18日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 4月18日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,総武ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃヴェリｰハｰド, 59,武士沢,, 58,  -7,*  8, 2,  7.4, ⑪⑩, 1,15,Ｃメジロポピンズ, 54,吉田豊,, 54,* -8,  -6, 7, 13.1,①①①, 1, 5,Ａヒカリマｰガレット, 75,松岡正,, 72,  -2,* 18, 1,  2.8, ⑦④, 1, 3,Ｉエアマックｰル, 81,後藤浩,, 83,  16,* 10, 3,  5.1,⑥⑦⑥
 2,13,Ｂトウカイアリュｰル, 62,柴山雄, 0.2, 57,  -2,*  2, 1,  1.3, ④③, 2, 7,Ｄファｰストタッチ, 54,武士沢, 0.1, 57, -14,*  3, 5,  9.5,⑨⑦⑧, 2,13,Ｃヤマニンプロロｰグ, 70,後藤浩, 0.2, 70,*  0,  14, 5, 16.2, ③①, 2, 4,Ｂボクノタイヨウ, 87,三浦皇, 0.1, 83,  16,* 10, 2,  3.9,⑧⑧⑨
 3, 1,Ｈサウロビスティｰ, 52,勝浦正, 0.8, 52,  -2,  -3, 8, 55.4, ③④, 3, 3,Ｉトレノブレｰヴィ, 43,後藤浩, 0.1, 54, -12,   0, 1,  4.0,④⑤⑤, 3, 3,Ｅアルフェラッツ, 69,柴山雄, 0.9, 65,  -7,  14,12, 61.2, ⑨⑦, 3, 6,Ｆツルマルビビッド, 83,勝浦正, 0.2, 83,  14,* 12, 6, 22.8,⑮⑫⑫
 4, 9,Ｄエムオｰイｰグル, 54,小林淳, 0.9, 51,*  1,  -6,11,115.8, ①①, 4, 2, レッドストリング,---,北村宏, 0.2, 50, -12,  -2, 2,  4.2,③④④, 4,12,Ｉマイネフルｰレ, 63,伊藤工, 1.3, 61, -13,* 17,11, 56.4, ⑫⑫, 4, 5,Ｅマルブツクロス, 84,北村宏, 0.9, 76,  15,   4, 7, 26.9,⑫⑨⑩
 5, 6, スタｰリングムｰン,---,内田博, 1.0, 50,*  0,  -6, 4, 26.8, ②②, 5,12,Ｅチュｰベロｰズ, 51,松岡正, 0.3, 53, -14,   0, 6, 10.0,⑩⑩⑦, 5,11,Ｇアクアリング, 67,三浦皇, 1.4, 60,*  1,   3, 6, 17.1, ②③, 5, 9,Ａスマｰトサイクロン, 87,吉田隼, 0.9, 77,  16,   1, 4,  5.7,⑦⑥⑤
 6,11,Ｆグランプリセイハ, 53,北村宏, 1.0, 49,  -4,  -3, 5, 33.2, ⑨⑥, 6, 9,Ｂマリｰンルｰジュ, 54,柴山雄, 0.3, 54, -14,*  1, 8, 18.0,⑦⑧⑨, 6, 4,Ｄマルチメトリック, 69,吉田豊, 1.5, 59,  -7,   9, 2,  3.2, ⑩⑨, 6, 7,Ｊグッドフロマｰジュ, 80,松岡正, 1.1, 77,  12,   8,15,149.0,⑬⑭⑬
 7, 2,Ｋマスタｰプラン, 46,松岡正, 1.3, 47,  -4,  -5, 9, 60.7, ⑥⑦, 7, 5, エレガントマナｰ,---,内田博, 0.5, 52, -17,*  2, 3,  5.9,⑫⑫⑫, 7, 2,Ｊフラミニアンウェイ, 62,江田照, 1.8, 58,  -1,   2,13,121.6, ④⑤, 7,11,Ｃコロナグラフ, 87,内田博, 1.1, 77,* 19,  -5, 1,  3.0,①①①
 8,10,Ｌスリｰコｰスト, 44,吉田隼, 1.4, 47, -11,   1, 7, 42.7, ⑬⑬, 8,13,Ａマスタｰコｰク, 60,蛯名正, 0.6, 48, -12,  -7, 4,  6.7,⑥⑥⑥, 8, 9,Ｆエフティメガミ, 68,蛯名正, 2.0, 54,  -9,   7, 3,  5.1, ⑪⑩, 8, 2,Ｈヤマタケゴｰルデン, 82,武士沢, 1.2, 76,  15,   3,11, 58.3,⑩⑩⑦
