09年 6月20日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月20日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2750m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,さくらんぼ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａエイコオミリオン, 72,村田一,, 70,* -2,*  9, 1,  1.6, ①①, 1, 7, ゴｰルドヘラクレス,,宗像徹,,,,, 2,  5.1,③①①, 1, 5,Ｄフライバイワイヤｰ, 51,吉田豊,, 68, -10,* 12, 4,  7.1,③⑤⑤, 1,15,Ａサンクスノｰト, 86,内田博,, 81,*  8,*  7, 2,  3.6, ③③
 2, 6,Ｆプリティｰパイン, 54,伊藤工, 1.2, 56,* -2,  -2, 3, 10.0, ③④, 2, 3, モルフェサイレンス,,大江原,179.1,,,, 4,  6.4,⑧③②, 2, 7,Ｈティアップムトオｰ, 50,松岡正, 0.0, 65,* -7,   6, 2,  4.6,①①①, 2, 5,Ｂショウナンカザン, 77,柴田善, 0.0, 82,   1,* 14, 1,  2.2, ⑧⑦
 3, 3,Ｊブロｰドスマイル, 44,田辺裕, 1.2, 56,  -9,*  4, 8, 61.3, ⑪⑨, 3, 5, サンベルナｰル,,高野和,180.1,,,, 3,  5.7,⑦⑤③, 3,15,Ｃヒビケジンダイコ, 55,後藤浩, 0.3, 62,* -9,   5, 5, 11.5,⑤④④, 3, 3,Ｍトミノドリｰム, 66,鷹野宏, 0.6, 73,* 10,  -3,13,142.4, ①①
 4, 2,Ｂマスタｰプラン, 57,松岡正, 1.5, 56,  -3,  -3, 2,  4.1, ⑤③, 4,12, ユウタｰストライプ,,穂苅寿,182.0,,,, 9, 51.2,②④④, 4,13,Ａブラックリッチ, 66,田辺裕, 0.5, 59,* -8,   2, 1,  3.4,④③③, 4, 1,Ｅタｰニングポイント, 74,後藤浩, 0.9, 70,   7,  -3, 4,  7.6, ④④
 5, 5,Ｄジャルダンドゥロゼ, 54,柴田善, 1.5, 56,* -2,  -4, 4, 14.2, ②②, 5, 2, クイックステップ,,柴田未,182.6,,,,12,117.0,⑨⑦⑦, 5,14,Ｊマスタｰハルバｰド, 46,伊藤工, 0.7, 62, -14,* 10,13, 78.0,⑪⑪⑩, 5, 4,Ｇクリｰルバレット, 69,黛弘人, 1.0, 68,  -8,* 10,10, 71.4, ⑮⑮
 6, 1,Ｃスズノプロスタｰ, 55,郷原洋, 1.9, 52,  -6,  -4, 5, 14.4, ⑨⑤, 6, 1, ユウフジ,,柴田大,183.7,,,, 8, 34.9,①②⑤, 6,16,Ｅケイオｰキング, 50,鈴来直, 0.8, 59, -13,   6, 8, 21.5,⑨⑩⑨, 6,12,Ｋスワンキｰポｰチ, 66,田中勝, 1.1, 67,   0,   1, 6, 25.6, ⑨⑩
 7,10,Ｈロｰズエンジェル, 46,大野拓, 2.0, 51,  -4,  -7, 6, 26.6, ⑥⑥, 7,14, エイワヴァｰジニア,,浜野谷,184.4,,,, 1,  2.3,⑤⑧⑧, 7, 8,Ｂサスライノテイオｰ, 61,北村宏, 0.8, 55, -10,   2, 7, 15.0,⑧⑥⑦, 7, 6,Ｆスマｰトエッジ, 71,石神深, 1.2, 66,  -3,   2, 8, 35.4, ⑫⑪
 8,12,Ｅミカエフェクト, 54,岩部純, 2.0, 52,  -9,  -1,13,163.1, ⑬⑬, 8,13, コスモラナップ,,平沢健,184.5,,,, 6, 15.8,④⑥⑥, 8,12, オヤマノタイショウ,---,黛弘人, 0.9, 62, -17,* 14,14,119.4,⑮⑭⑬, 8, 7,Ｄコンゴウリュウオｰ, 74,北村宏, 1.3, 62,  -6,   3, 5, 19.4, ⑬⑭
 9,16,Ｇフジノプリンス, 48,的場勇, 2.2, 51,  -2,  -9, 7, 47.9, ⑦⑧, 9, 8, オジジアンクリス,,江田勇,184.6,,,,13,151.1,⑪⑨⑨, 9,11,Ｉチュラヌウジ, 48,勝浦正, 1.0, 58, -10,   2,12, 30.6,⑦⑦⑥, 9,11,Ｈエムオｰミラクル, 68,大野拓, 1.3, 64,  -2,  -1, 7, 29.5, ⑩⑧
10, 8,Ｍボｰダｰライン, 38,丹内祐, 2.4, 47, -17,   0, 9,116.2, ⑭⑭,10, 6, レオレクサス,,石神深,184.9,,,,10, 59.1,⑬⑫⑪,10, 4,Ｇセカンドフラッシュ, 50,草野太, 1.3, 51, -11,  -4, 6, 12.3,⑫⑧⑧,10, 9,Ｉウインドストｰム, 67,吉田隼, 1.3, 64,  -7,   4,14,157.8, ⑭⑬
