09年 5月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湯沢特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａミッキｰシュタルク, 70,小野次,, 63,*  1,   2, 1,  1.6, ②②, 1,14,Ａフライングビｰン, 65,的場勇,, 61,*  9,  -8, 3,  5.0, ②②, 1, 3,Ｃオメガロンド, 69,中舘英,, 77,*  9,*  5, 4,  8.7, ①①, 1, 9,Ａユキノハボタン, 69,丸田恭,, 60,  -8,*  9, 1,  3.0, ⑫⑫
 2, 7,Ｃハｰドイチオｰ, 62,西田雄, 0.1, 63,  -5,*  6, 3,  7.6, ⑧⑧, 2, 6,Ｄワカギミ, 57,丸田恭, 0.2, 54,   1,  -3, 6, 17.6, ⑥⑥, 2, 5,Ｆアズライト, 67,松山弘, 0.8, 65,  -6,* 11, 3,  6.9, ⑭⑭, 2,10,Ｈオサナゴコロノキミ, 59,西田雄, 0.2, 59,   3,  -4,13, 56.4, ④⑤
 3,12,Ｉスリｰコンビナｰト, 48,松山弘, 0.4, 60,  -8,*  6,10, 76.8, ⑩⑩, 3, 5,Ｃタマモリバｰ, 58,小野次, 0.5, 56,* 10, -16, 1,  2.6, ①①, 3,12,Ｂルｰシｰショｰ, 69,吉田隼, 0.9, 69,*  7,  -3, 1,  2.3, ②②, 3,12,Ｋタニノゴッドマザｰ, 57,田中博, 0.2, 59,   1,  -3, 9, 22.4, ⑥⑥
 4,14,Ｂコスモジブリル, 64,池崎祐, 0.6, 59,* -1,  -1, 4,  8.9, ④③, 4, 3,Ｂハツノボリ, 63,石橋脩, 0.6, 52,   1,  -8, 2,  3.8, ⑤⑤, 4, 7,Ｍリッショウユｰザｰ, 61,荻野琢, 1.0, 68,   2,   3,10, 38.1, ⑧⑧, 4, 2,Ｎポパイザセｰラマン, 53,二本柳, 0.3, 57,   1,  -4, 8, 22.1, ⑤④
 5, 3,Ｆテイエムカゲトラ, 53,古川吉, 0.6, 60,  -3,   0, 9, 51.0, ⑥⑤, 5, 1,Ｐタマモヒマワリ, 32,岩部純, 0.6, 53,   5, -12,15,161.1, ③③, 5, 2,Ａウレッコ, 70,赤木高, 1.3, 62,  -3,*  5, 5, 12.4, ⑬⑬, 5, 7,Ｆサラトガティプトン, 61,中舘英, 0.3, 58, -13,* 10, 3, 10.6, ⑭⑬
 6, 6,Ｋオンワｰドアコｰル, 46,国分優, 0.9, 56,  -7,   1,15,253.0, ⑨⑦, 6,12,Ｌヴォｰグ, 41,古川吉, 0.6, 53,   5, -12, 7, 18.6, ④④, 6, 9,Ｇアクアリング, 66,小野次, 1.5, 61,   3,  -3, 6, 14.1, ⑦⑦, 6,15,Ｃキングオブロマネ, 67,田辺裕, 0.4, 56,  -4,   0, 4, 11.3, ⑩⑨
 7, 2,Ｄファストストリｰム, 59,柴原央, 0.9, 56,  -2,  -3, 5, 15.3, ③④, 7, 4,Ｊトｰセンザメイデン, 44,津村明, 0.6, 48,  -9,*  2,10, 43.7, ⑫⑫, 7,11,Ｉギブミｰアチャンス, 64,田辺裕, 1.6, 58,  -3,   1,12, 39.8, ⑫⑫, 7, 5,Ｄナムラブｰム, 64,古川吉, 0.4, 56,  -2,  -3, 5, 11.6, ⑦⑦
 8, 4,Ｅピクチャｰオブユｰ, 58,黛弘人, 1.0, 55,*  1,  -7, 2,  7.0, ①①, 8,16,Ｇスリｰテンペスト, 52,赤木高, 0.7, 49,   1,  -9,11, 49.4, ⑦⑦, 8,15,Ｎチチブヨマツリ, 58,池崎祐, 1.7, 59,   0,  -2,15,209.7, ⑨⑩, 8,11,Ｍリオ, 55,的場勇, 0.4, 55,*  6, -10, 7, 20.1, ②②
