09年 5月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
 9,15,Ｇエリモキスミｰ, 52,安藤光, 2.0, 45,  -2, -13, 7, 25.8, ⑤⑥, 9,13,Ｈトｰホｰグロリア, 50,南田雅, 0.7, 49,  -2,  -5, 9, 41.3, ⑨⑨, 9, 1,Ｄサマｰミッドナイト, 68,黛弘人, 2.0, 57,  -1,  -4, 2,  6.3, ⑩⑨, 9, 3,Ｂバトルラヴ, 68,大野拓, 0.5, 54,*  8, -13, 2,  3.2, ①①
10, 1,Ｌメイキャンドル, 46,丹内祐, 2.1, 48, -11,  -4,12,108.9, ⑫⑫,10,10,Ｏカプリシャス, 37,小野寺, 0.7, 48,  -4,  -4,16,163.7, ⑧⑧,10, 6,Ｋブライティアメッセ, 62,五十嵐, 2.1, 55,  -3,  -3,14,176.2, ⑪⑪,10, 1,Ｉケイエスバウアｰ, 59,芹沢純, 0.5, 55,  -7,   1,11, 36.2, ⑪⑪
11,11,Ｍダイワサンルｰジュ, 44,的場勇, 2.2, 45, -13,  -5, 8, 31.6, ⑬⑭,11,11,Ｎハヤブサリｰフ, 37,草野太, 0.7, 47,  -5,  -3,13, 96.4, ⑪⑪,11,14,Ｅテングジョウ, 67,柄崎将, 2.6, 53,*  6, -16, 9, 29.5, ④③,11, 6,Ｏジュｰシｰジｰン, 52,吉田隼, 0.5, 55, -17,* 11, 6, 15.5, ⑮⑮
12, 9, ロｰズエンジェル,---,大野拓, 2.2, 44, -10,  -8, 6, 25.2, ⑪⑪,12, 7,Ｅアグネスミラｰジュ, 53,太宰啓, 0.9, 45,  -6,  -4, 5, 13.2, ⑩⑩,12, 4,Ｏシルキｰチュチュ, 52,丸田恭, 2.7, 51,   3, -14, 7, 15.1, ⑥⑥,12,14,Ｅアキノジャブ, 61,藤岡康, 0.6, 54,  -1,  -5,12, 37.4, ⑧⑧
13, 8,Ｊワスラフ, 46,田中博, 2.7, 40, -13,  -8,11, 99.0, ⑭⑬,13, 2,Ｉトウショウビリｰヴ, 49,松山弘, 1.0, 42, -11,* -2, 4, 10.8, ⑭⑭,13,13,Ｌウインプラチナム, 62,国分優, 2.8, 51,*  6, -17, 8, 20.9, ③④,13,13,Ｇエミネンツァベルタ, 60,太宰啓, 0.9, 50,*  6, -17,10, 27.5, ③③
14,10,Ｈスズカアパッシュ, 49,佐藤哲, 2.9, 39,  -2, -19,14,129.8, ⑦⑨,14,15,Ｋジョテイ, 42,田面木, 1.0, 44,  -9,  -2,12, 87.3, ⑬⑬,14,10,Ｊアデニウム, 63,岩部純, 3.0, 47,  -6,  -7,11, 38.6, ⑮⑮,14,16,Ｐシｰワンダフル, 51,安藤光, 0.9, 51, -12,   1,15,122.5, ⑬⑭
15, 5, シルクベルカント,---,中村将, 3.9, 30, -17, -14,13,116.2, ⑮⑮,15, 9,Ｆヨイチセレブ, 52,大野拓, 1.6, 36, -16,  -4, 8, 35.8, ⑯⑯,15, 8,Ｈバｰドダムｰル, 65,西田雄, 4.0, 40,   3, -25,13,148.0, ⑤⑤,15, 4,Ｌラピッドガｰル, 56,武英智, 1.3, 45,  -3, -13,16,129.6, ⑨⑩
,,,,,,,,,,,,16, 8,Ｍナムラアワｰド, 39,荻野琢, 2.0, 32, -13, -12,14,151.7, ⑮⑮,,,,,,,,,,,,,16, 8,Ｊエクストラシチｰ, 58,佐藤哲, 1.3, 45, -18,   3,14, 84.2, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:4),,,,,,,,,,,
単勝:160円 複勝:13=110円 07=200円 12=970円 枠連:610円,,,,,,,,,,,,単勝:500円 複勝:14=210円 06=310円 05=130円 枠連:470円,,,,,,,,,,,,"単勝:870円 複勝:03=200円 05=220円 12=120円 枠連:1,490円",,,,,,,,,,,,"単勝:300円 複勝:09=170円 10=1,270円 12=680円 枠連:12,790円",,,,,,,,,,,
"馬連:600円 ワイド:07-13=310円 12-13=1,390円 07-12=3,690円",,,,,,,,,,,,"馬連:5,480円 ワイド:06-14=1,370円 05-14=280円 05-06=750円",,,,,,,,,,,,"馬連:3,720円 ワイド:03-05=1,050円 03-12=320円 05-12=370円",,,,,,,,,,,,"馬連:13,470円 ワイド:09-10=2,900円 09-12=1,430円 10-12=9,380円",,,,,,,,,,,
"馬単:900円 3連複:8,490円 3連単:25,540円",,,,,,,,,,,,"馬単:7,860円 3連複:3,390円 3連単:27,990円",,,,,,,,,,,,"馬単:7,780円 3連複:1,930円 3連単:20,020円",,,,,,,,,,,,"馬単:17,910円 3連複:72,290円 3連単:338,980円",,,,,,,,,,,
■ 2R  芝1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1000m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,邁進特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａスタｰリｰスカイ, 65,柴原央,, 65,  -8,* 12, 1,  1.9, ⑦⑦, 1,11,Ｂマイネルメビウス, 65,太宰啓,, 71,  -4,* 13, 1,  2.4,⑨⑥④, 1, 9,Ｈロｰドキャニオン, 67,吉田隼,, 72,  17,* -4, 7, 13.9, ⑨⑧, 1, 8,Ｎパッションロｰズ, 58,芹沢純,, 75,* 12,  -4,11, 32.1,   
 2, 6, ロッシェノワｰル,---,古川吉, 0.1, 66, -11,* 15, 5, 12.4, ⑩⑩, 2,12,Ｆトドロキエンジェル, 56,田辺裕, 0.0, 73,  -5,* 16, 8, 26.3,⑪⑩⑨, 2, 4,Ａシングルショット, 75,国分恭, 0.3, 67,  17,  -8, 1,  3.2, ⑦⑦, 2,14,Ｈトキノムテキ, 69,安藤光, 0.0, 73,   9,  -2, 4,  9.3,   
 3, 3,Ｇネオイユドゥレｰヌ, 51,太宰啓, 0.1, 62,  -7,   8, 3,  9.4, ④④, 3, 9,Ｃエｰシンモアオバｰ, 64,中舘英, 0.0, 71,* -2,   9, 2,  2.7,②②②, 3, 7,Ｄキングオブチャド, 73,武英智, 0.4, 67,  13,* -1, 2,  4.9, ⑮⑮, 3,13,Ｌロックオブサリサ, 61,中舘英, 0.0, 72,   6,*  1, 6, 11.8,   
 4, 7,Ｋメイスンヴィグラス, 41,中舘英, 0.1, 63,* -4,   4,13,116.1, ①①, 4, 8,Ａキタサンチｰフ, 65,藤岡康, 0.4, 64,* -1,   1, 3,  7.1,①①①, 4,16,Ｂフミノウインダム, 73,藤岡康, 0.4, 66,  16,  -8, 4,  8.4, ⑩⑩, 4,15,Ａキヲウエタオトコ, 77,佐藤哲, 0.1, 66,   2,*  2, 1,  3.8,   
 5,16,Ｉキュｰトトリックス, 43,国分恭, 0.3, 61,  -9,   9, 8, 30.4, ⑨⑨, 5, 3,Ｇゴｰルドウェｰヴ, 55,田中博, 0.5, 67,  -5,   9, 7, 21.7,⑥⑨⑧, 5, 6,Ｆマッカラン, 70,小野次, 0.5, 67,  16,  -8, 3,  6.9, ⑪⑪, 5,16,Ｉエフティアクトレス, 67,柴田大, 0.3, 63,   0,*  1, 5,  9.3,   
 5,12,Ｈスイｰトライラ, 50,安藤光, 0.3, 59,* -4,   2,11, 53.4, ②②, 6, 2,Ｋコンフェルヴォｰレ, 42,津村明, 0.7, 64,  -3,   2,12,170.4,④④⑤, 6, 3,Ｍミサトフリｰト, 62,大野拓, 0.6, 63,  18, -17,11, 53.7, ⑤⑤, 6, 5,Ｃスマｰトエッジ, 75,石神深, 0.3, 68,   8,  -5, 9, 14.5,   
 7, 2,Ｂヴィｰヴァブｰケ, 63,津村明, 0.5, 63, -12,* 13, 2,  4.7, ⑬⑬, 7,13,Ｅマラｰド, 58,佐藤哲, 1.0, 61,  -7,   6, 5, 18.0,⑫⑬⑫, 7,11,Ｃファイトザパワｰ, 73,上野翔, 0.6, 65,  14,  -7,10, 37.0, ⑬⑭, 7, 7,Ｇヌｰサ, 70,古川吉, 0.3, 63,  -3,*  2,13, 48.2,   
 8, 1, ファｰレサルティ,---,藤岡康, 0.5, 57,  -9,   6, 6, 16.9, ⑥⑥, 8, 6,Ｈシルクナトゥｰル, 45,松山弘, 1.3, 56,  -4,  -7,10, 59.3,⑤⑤⑥, 8,13,Ｉミスフェイスフル, 67,松山弘, 0.6, 64,  19, -18,15,147.6, ③④, 8, 9,Ｊゼネラルメデュｰム, 65,石橋脩, 0.4, 66,   5,  -5,10, 20.3,   
 9, 5,Ｆプラチナムブルｰ, 52,赤木高, 0.6, 54,  -7,   0, 7, 21.5, ③③, 9, 1,Ｄヤマニンスクワｰル, 59,古川吉, 1.4, 56,* -3, -10, 4, 13.3,③③③, 9,14,Ｇショウナンアルス, 69,田中博, 0.8, 62,  15, -14,12, 58.9, ⑫⑫, 9, 6,Ｅサクライダテン, 73,丸田恭, 0.6, 58,   0,  -3, 3,  6.5,   
10, 8,Ｅメイストｰム, 55,丸田恭, 0.8, 53, -11,   5,10, 51.4, ⑪⑪,10, 4,Ｉカシノクリス, 45,池崎祐, 1.4, 57,  -5,  -4,11,169.0,⑦⑦⑦,10,15,Ｋマルタカインプレス, 65,丹内祐, 0.9, 61,  18, -20, 9, 36.9, ⑥⑥,10, 3,Ｂセレスダイナミック, 75,大野拓, 0.7, 59,   5,  -9, 7, 13.4,   
11,15,Ｌリｰゾラビアンコ, 34,松山弘, 0.9, 50,  -7,  -4,12, 81.6, ⑤⑤,11, 7,Ｌアスカノホウザン, 36,国分恭, 1.6, 54,  -5,  -7, 6, 19.9,⑧⑧⑪,11,12,Ｏハッピｰプレゼント, 48,太宰啓, 1.1, 59,* 22, -31, 6, 10.0, ②②,11,12,Ｋオｰスチンロｰズ, 63,高山太, 0.7, 65,* 13, -14,14, 48.4,   
12,10,Ｃセカンドフラッシュ, 56,小野寺, 1.4, 45,  -9,  -8, 4, 11.4, ⑧⑧,12,10,Ｊレジェンドヘヴン, 44,高山太, 3.2, 39,  -7, -25,13,177.1,⑩⑫⑬,12,10,Ｌマイアイビギニング, 62,西田雄, 1.3, 57,  17, -23,14,106.6, ⑧⑨,12,11,Ｍシセイヒカリ, 61,中村将, 0.8, 55,  -3,  -5,15, 64.3,   
13, 9,Ｄショウナンアンサｰ, 55,吉田隼, 1.6, 45, -13,  -4, 9, 44.3, ⑭⑭,13, 5, トウショウエルスト,---,石橋脩, 3.8, 35,  -5, -38, 9, 37.7,⑬⑪⑩,13, 1,Ｅエイシンチョｰテン, 71,荻野琢, 1.8, 51,* 23, -45, 5,  9.2, ①①,13, 4,Ｆレイクエルフ, 73,的場勇, 0.8, 58,   6, -10, 2,  6.4,   
14,13,Ｊブロｰドスマイル, 43,田中博, 1.8, 41, -11,  -8,14,203.1, ⑫⑫,,,,,,,,,,,,,14, 8,Ｎシュルヴィｰヴル, 61,柴原央, 1.9, 53,   8, -12,16,247.9, ⑯⑯,14,10,Ｄセフティバｰニング, 74,藤岡康, 1.1, 58,* 12, -18, 8, 13.9,   
15,14,Ｎマヤノサラバンド, 29,荻野琢, 1.9, 43, -12,  -6,16,533.9, ⑮⑮,,,,,,,,,,,,,15, 2,Ｊマルカレガｰト, 67,中舘英, 2.2, 51,  19, -40, 8, 14.2, ④③,15, 1,Ｐソロタｰン, 43,黛弘人, 1.7, 50,* 12, -27,12, 35.4,   
16, 4,Ｍピンクマラコイデス, 29,松田大, 1.9, 43, -15,  -4,15,281.9, ⑯⑯,,,,,,,,,,,,,16, 5,Ｐマリンスノｰ, 47,田辺裕, 3.1, 43,  15, -42,13, 75.9, ⑭⑬,16, 2,Ｏヤマニンパルファン, 55,小野寺, 1.8, 45, -19,  -8,16,209.6,   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:4),,,,,,,,,,,
単勝:190円 複勝:11=110円 06=340円 03=260円 枠連:650円,,,,,,,,,,,,"単勝:240円 複勝:11=120円 12=300円 09=110円 枠連:1,390円",,,,,,,,,,,,"単勝:1,390円 複勝:09=380円 04=160円 07=170円 枠連:2,330円",,,,,,,,,,,,"単勝:3,210円 複勝:08=980円 14=280円 13=400円 枠連:4,370円",,,,,,,,,,,
"馬連:1,330円 ワイド:06-11=530円 03-11=390円 03-06=1,600円",,,,,,,,,,,,"馬連:2,830円 ワイド:11-12=800円 09-11=150円 09-12=870円",,,,,,,,,,,,"馬連:2,410円 ワイド:04-09=1,030円 07-09=1,180円 04-07=330円",,,,,,,,,,,,"馬連:13,360円 ワイド:08-14=2,770円 08-13=5,800円 13-14=1,470円",,,,,,,,,,,
"馬単:2,020円 3連複:3,150円 3連単:12,980円",,,,,,,,,,,,"馬単:3,940円 3連複:1,700円 3連単:12,710円",,,,,,,,,,,,"馬単:4,670円 3連複:4,090円 3連単:30,150円",,,,,,,,,,,,"馬単:31,720円 3連複:56,880円 3連単:360,450円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 6R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,春日山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｇトｰホウオｰディン, 55,太宰啓,, 64,* -2,*  7, 5,  9.2,①①①, 1, 7,Ｄリワｰドボｰガン, 58,五十嵐,, 67,*  9,  -5, 4, 10.2, ①①, 1, 7,Ａエバｰモア, 80,田辺裕,, 72,   5,* 15, 1,  2.0,③③⑤, 1,10,Ｅサバｰス, 70,的場勇,, 67,* -7,*  5, 2,  4.4, ④④
 2,10,Ｂプロヴィデンス, 65,中舘英, 0.3, 60,* -3,*  5, 2,  4.0,②②②, 2,13,Ｃヤマニンオクタゴン, 58,柴田大, 0.1, 66,*  6,  -3, 6, 19.0, ②②, 2, 8,Ｋポｰトスピｰド, 68,柴原央, 0.2, 73,   5,  13, 7, 27.0,⑤⑤④, 2, 6,Ａヒカルマンテンボシ, 76,藤岡康, 0.0, 67,* -7,   4, 5,  6.6, ②②
 3, 5,Ｃニホンピロララバイ, 62,石橋脩, 0.9, 56,  -4,   2, 1,  3.4,⑦④④, 3,16,Ｂエｰスダイヤ, 60,吉田隼, 0.4, 60,  -4,*  7, 3,  5.5, ⑬⑬, 3,13,Ｄエイブルベガ, 74,中舘英, 0.2, 72,*  6,  11, 2,  4.1,②②②, 3, 4,Ｃグランドカラｰ, 72,菊沢隆, 0.1, 67,  -8,*  6, 3,  5.4, ⑧⑧
 4,12,Ｉマイネルレクシス, 55,丸田恭, 1.1, 55,  -4,   0, 8, 20.0,④⑤⑤, 4, 8,Ａゼットオｰラ, 67,松田大, 0.4, 61,   2,  -2, 2,  3.5, ⑤⑤, 4,15,Ｇピエナミッチｰ, 71,佐藤哲, 1.0, 68,   4,   9, 7, 27.0,⑦⑥⑦, 4, 3,Ｄメジロジｰニｰ, 71,芹沢純, 0.1, 69,* -7,   4, 4,  6.0, ③③
 5,11,Ｈスズカアリュｰル, 55,佐藤哲, 1.2, 55,  -5,   2, 4,  5.7,⑧⑦⑧, 5, 3,Ｈコスモカサブランカ, 53,石橋脩, 0.6, 60,*  5,  -7,10, 35.7, ④④, 5, 3,Ｊクリノコブオｰ, 68,古川吉, 1.1, 71,   4,   9, 6, 20.6,⑧⑧⑥, 5, 9,Ｆセイカカリンバ, 69,太宰啓, 0.2, 65,* -5,  -2, 1,  4.0, ①①
 6, 1,Ｄラヴインザダｰク, 62,国分恭, 1.2, 55,  -4,  -1, 3,  4.9,③③③, 6,12,Ｌコウギョウサクラ, 48,中舘英, 0.7, 59,   1,  -4,11, 41.9, ⑥⑥, 6,14,Ｂシｰクレバｰ, 75,太宰啓, 1.3, 67,   3,   8, 3,  7.8,⑩⑨⑨, 6, 5,Ｂイケドラゴン, 73,大野拓, 0.5, 63,  -8,   1, 6,  7.5, ⑥⑦
 7, 8,Ａシゲルサヌキフジ, 67,赤木高, 1.4, 53,  -6,   1, 6, 17.7,⑥⑧⑥, 7, 2,Ｇムッシュオメガ, 55,松山弘, 0.8, 56,   1,  -5, 5, 15.1, ⑦⑦, 7, 2,Ｆベルモントゴラッソ, 73,吉田隼, 1.3, 68,   0,  14, 4, 11.3,⑬⑬⑪, 7, 8,Ｇナムラシンドバッド, 66,田辺裕, 0.7, 60,  -8,  -3, 8, 22.7, ⑦⑥
 8, 7, マチカネヒヨドリ,---,的場勇, 1.7, 57,  -8,*  5,10, 75.6,⑫⑫⑫, 8,15,Ｊヨイチラブソング, 52,大野拓, 0.8, 56,*  5, -11,12, 61.2, ③③, 8, 5,Ｅエイユｰパッション, 74,丸田恭, 1.4, 68,  -2,* 17,11,119.4,⑮⑮⑮, 8, 7,Ｉショウナンアヤカ, 63,小野次, 0.9, 59,  -8,  -6, 9, 42.0, ⑤⑤
 9, 9,Ｆシュンリキ, 58,小野次, 1.9, 50,  -6,  -2, 7, 18.3,⑪⑩⑨, 9,11,Ｆドリｰムクラフト, 56,津村明, 0.9, 55,  -4,*  1, 1,  2.8, ⑫⑪, 9, 6,Ｎショウナンナイト, 63,小野次, 1.5, 67,  -2,* 16,12,121.1,⑭⑭⑭, 9, 2,Ｈホｰクウィンザｰ, 66,赤木高, 1.0, 60,  -9,  -2, 7, 16.0, ⑩⑩
10, 4,Ｊヨシキタドッコイ, 46,小林淳, 2.6, 47,  -7,  -5,13,214.2,⑨⑪⑪,10, 4,Ｋレオタイムリｰ, 51,黛弘人, 1.1, 52,  -2,  -6, 8, 26.0, ⑨⑨,10, 4,Ｃニュｰジェットラン, 75,石橋脩, 1.6, 63,*  6,   0, 5, 11.3,④④③,10, 1,Ｊマスベルマン, 56,高山太, 1.7, 50,  -9, -13,10, 81.4, ⑨⑨
11, 6,Ｌマカリイ, 38,土谷智, 3.6, 40,  -6, -16,12,192.4,⑩⑨⑩,11, 6,Ｐアンサｰファイト, 26,菊沢隆, 1.4, 47,  -7,  -3,16,231.9, ⑮⑮,11,10,Ｈパッセジャｰレ, 71,田中博, 1.9, 63,   1,   5,13,156.1,⑫⑩⑩,,,,,,,,,,,,
12,13,Ｋアイビスランド, 45,嘉藤貴, 4.0, 36,  -4, -25,11,165.5,⑤⑥⑦,12,10,Ｉトｰセンドミナス, 52,西田雄, 1.5, 47,  -7,  -4, 9, 29.2, ⑭⑭,12, 9,Ｍウォルトンコクカ, 66,藤岡康, 2.0, 64,   1,   7,10, 78.5,⑨⑪⑫,,,,,,,,,,,,
,,,,,,,,,,,,13, 5,Ｎマイネチェルシｰ, 39,丹内祐, 1.5, 47,  -8,  -2,13,130.7, ⑯⑯,13, 1,Ｌヨシモンドノスケ, 67,五十嵐, 2.3, 60,   3,  -1,14,162.5,⑥⑦⑧,,,,,,,,,,,,
,,,,,,,,,,,,14, 9,Ｅチュラヌウジ, 57,田中博, 1.8, 47,  -1, -13, 7, 21.8, ⑩⑩,14,12,Ｉマヤノカタナ, 68,松田大, 2.6, 59,*  6,  -9, 9, 34.4,①①①,,,,,,,,,,,,
,,,,,,,,,,,,15,14,Ｍヤマイチボム, 45,南田雅, 1.8, 45,   0, -16,15,226.6, ⑧⑧,15,11,Ｏワイズプロロｰグ, 57,国分恭, 3.0, 56,   0,  -1,15,196.4,⑪⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,16, 1,Ｏウィステリアスカイ, 34,太宰啓, 2.6, 36,  -3, -23,14,193.9, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,
