09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 6,Ｌナムラエリス, 23,太宰啓, 3.4, 45,*  4, -28,11, 65.5,③③⑤,,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｈカネトシツヨシオｰ, 83,小牧太, 1.1, 81,   2,* 13, 6, 20.7, ⑯⑯
14, 5,Ｊエリモハッピｰ, 48,佐久間, 3.5, 46,*  4, -29,16,187.8,②②④,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｃライブコンサｰト, 89,福永祐, 1.1, 79,   9,   2, 1,  3.2, ⑨⑨
15,14, ナリタルミ,---,上村洋, 3.6, 46,   0, -21,12, 86.4,⑯⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｉマイケルバロｰズ, 82,武豊  , 1.3, 76,   6,   3,11, 46.0, ⑫⑫
16,13, セレナｰデシチｰ,---,生野賢, 7.9, 24,  -3, -53,15,175.1,⑩⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｇリキアイサイレンス, 86,和田竜, 1.4, 77,   1,   9,15,158.6, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｑトウショウパワｰズ, 71,安藤光, 1.7, 72,   3,   1,17,298.1, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,
"単勝:950円 複勝:01=380円 08=410円 15=1,140円 枠連:500円",,,,,,,,,,,,単勝:160円 複勝:03=110円 09=130円 01=910円 枠連:220円,,,,,,,,,,,,単勝:160円 複勝:08=110円 03=160円 02=160円 枠連:450円,,,,,,,,,,,,"単勝:2,110円 複勝:13=590円 16=410円 06=1,510円 枠連:3,340円",,,,,,,,,,,
"馬連:4,250円 ワイド:01-08=1,530円 01-15=4,120円 08-15=4,440円",,,,,,,,,,,,"馬連:230円 ワイド:03-09=150円 01-03=1,640円 01-09=2,100円",,,,,,,,,,,,馬連:390円 ワイド:03-08=190円 02-08=220円 02-03=540円,,,,,,,,,,,,"馬連:10,070円 ワイド:13-16=3,280円 06-13=11,010円 06-16=8,250円",,,,,,,,,,,
"馬単:9,170円 3連複:47,340円 3連単:254,610円",,,,,,,,,,,,"馬単:300円 3連複:4,530円 3連単:8,830円",,,,,,,,,,,,"馬単:590円 3連複:660円 3連単:2,280円",,,,,,,,,,,,"馬単:22,670円 3連複:204,190円 3連単:1,026,170円",,,,,,,,,,,
