09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4, 6, メジロラスタバン,,五十嵐,207.5,,,,10, 43.4,⑨⑨⑧, 4, 7,Ｃタガノブリガデイロ, 61,橋本美, 0.7, 58,*  2, -15, 3,  7.0, ②②, 4, 2,Ｅヴォレハクユウ, 78,角田晃, 0.3, 80,   7,*  9, 6, 11.7, ⑦⑥, 4, 1,Ｅディアアゲイン, 74,松山弘, 0.1, 72,  -1,   9, 3,  5.2, ⑫⑨
 5, 9, マンノレｰシング,,金折知,207.6,,,, 3,  6.2,⑫⑦⑥, 5,14,Ａカノヤグッドラック, 64,田中健, 0.7, 61, -12,*  9, 6, 17.5, ⑰⑱, 5, 7,Ｆホットフレイバｰ, 76,武豊  , 0.9, 74,   5,   6, 3,  6.1, ⑪⑪, 5, 9,Ｍシゲルスペランツァ, 62,国分恭, 0.4, 70,   1,   4,13, 75.5, ⑥⑥
 6, 5, ジャイアンツエｰル,,白浜雄,208.1,,,, 2,  4.0,⑪⑤⑤, 6,11, アウサンガテ,---,佐藤哲, 0.9, 55,* -1, -12, 2,  4.8, ④④, 6,12,Ｋハギノプレシャス, 75,鮫島良, 0.9, 75,   2,* 12,12,117.6, ⑮⑮, 6, 7,Ｂスカイビュｰティｰ, 79,武豊  , 0.5, 69,  -8,* 12, 2,  3.9, ⑮⑬
 7, 8, ニホンピロザプラウ,,黒岩悠,208.4,,,, 6, 12.3,⑬⑪⑨, 7, 3,Ｊマチカネゲンペイ, 52,和田竜, 0.9, 59,  -5,  -4, 7, 42.2, ⑪⑩, 7,11,Ｍケイアイガｰベラ, 69,福永祐, 1.0, 75,  10,   0, 2,  3.8, ③③, 7,13,Ｈグリッタｰアイス, 69,安藤光, 0.5, 68,   0,   4,12, 69.4, ⑦⑧
 8,13, ウォｰタｰトリトン,,佐久間,208.8,,,,12, 62.4,⑦⑥⑦, 8,18,Ｈウェザｰサイド, 55,鮫島良, 0.9, 58,  -5,  -5, 5, 15.3, ⑩⑨, 8, 3,Ｃベストオブミｰ, 83,藤岡康, 1.1, 74,   4,   8, 5,  9.5, ⑬⑫, 8, 3,Ｃウルドサリエ, 76,福永祐, 0.6, 68,*  4,   0, 1,  3.8, ②②
 9,12, メイショウラダック,,今村康,208.9,,,, 4,  7.7,②③③, 9,16,Ｄロイヤルポケット, 60,上村洋, 1.0, 59,  -6,  -3,13,119.5, ⑯⑬, 9, 5,Ｄエイシンハンコック, 81,佐藤哲, 1.3, 71,   7,   1, 8, 28.4, ⑨⑦, 9,10,Ｎパワｰウェｰブ, 61,角田晃, 0.6, 69,  -9,* 12,10, 58.0, ⑯⑯
10, 1, ランドベスト,,植野貴,210.2,,,, 9, 23.0,⑤⑫⑪,10, 2,Ｇマサゴｰルド, 57,太宰啓, 1.2, 53,  -4, -13,10, 57.3, ⑦⑤,10, 6,Ｏスリｰサンフレンチ, 68,石橋守, 1.4, 73,   6,   1,13,217.0, ⑫⑧,10, 6,Ｇシゲルカサギヤマ, 71,太宰啓, 0.6, 67,*  3,   1, 5,  8.0, ③③
11,11, アザンクｰル,,西谷誠,212.3,,,, 8, 18.1,⑩⑩⑫,11, 8,Ｉアヤナグレイス, 53,安藤光, 1.5, 51,  -9,  -7,12,105.1, ⑫⑭,11, 4,Ｎグロｰリｰソング, 68,北沢伸, 1.5, 70,   5,   2,15,404.9, ⑩⑨,11,14,Ｆキｰミヤビ, 73,佐藤哲, 0.7, 66,  -4,   7, 9, 52.8, ⑬⑭
12, 2, アウトオブサイト,,出津孝,214.4,,,,13,142.5,③⑧⑩,12,17, ジュリアｰド,---,浜中俊, 1.7, 48,  -8, -13, 9, 56.1, ⑭⑫,12,10,Ｊサｰユウジｰン, 75,国分恭, 1.6, 69,   3,   3,14,312.1, ⑭⑭,12, 2,Ｋテンシノボストン, 64,酒井学, 0.9, 66,   2,  -1,15,144.0, ⑤④
,,,,,,,,,,,,13,10,Ｌメメミルキッシュ, 45,国分恭, 1.9, 46,  -5, -19,16,201.7, ⑨⑪,13, 1,Ｇスティリスタ, 76,和田竜, 1.8, 68,  10,  -7, 9, 30.2, ④⑤,13,11,Ｉアンジェラスキッス, 69,藤岡康, 1.3, 62,  -2,  -1, 8, 47.2, ⑩⑫
,,,,,,,,,,,,14, 1,Ｋネオランジュ, 46,福永祐, 2.0, 44,* -1, -28, 8, 53.2, ③③,14, 9,Ｉハｰドウォン, 75,安藤光, 2.0, 65,   6,  -4,11, 39.9, ⑧⑬,14, 5,Ｐウォルトンブッチ, 54,渡辺薫, 2.0, 57,  -7,  -1,16,245.4, ⑭⑮
,,,,,,,,,,,,15, 6,Ｎシゲルカブトヤマ, 38,酒井学, 2.3, 41,  -4, -28,15,149.2, ⑥⑥,15, 8,Ｂメイショウゴルゴ, 84,太宰啓, 2.6, 60,   7, -11, 7, 18.4, ⑥⑩,15, 4,Ｌドラゴンホｰラｰ, 63,飯田祐, 2.2, 53,   0, -11,11, 68.3, ⑧⑦
,,,,,,,,,,,,16,12,Ｐウィンディアン, 31,小坂忠, 2.5, 38,  -4, -32,14,142.3, ⑤⑦,,,,,,,,,,,,,16, 8,Ｏワンダｰアムｰル, 61,田中健, 4.1, 37,   2, -30,14,113.3, ④⑤
,,,,,,,,,,,,17, 4,Ｏラブリｰカｰル, 34,渡辺薫, 2.6, 40, -12, -19,17,416.1, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 9,Ｍウォｰタｰセキト, 41,芹沢純, 3.1, 33, -11, -28,18,504.7, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:830円 複勝:07=290円 10=170円 04=270円 枠連:1,400円",,,,,,,,,,,,"単勝:5,840円 複勝:15=670円 05=250円 13=110円 枠連:940円",,,,,,,,,,,,"単勝:910円 複勝:14=310円 15=150円 13=670円 枠連:1,340円",,,,,,,,,,,,"単勝:920円 複勝:16=320円 12=700円 15=210円 枠連:2,740円",,,,,,,,,,,
"馬連:2,050円 ワイド:07-10=840円 04-07=1,230円 04-10=820円",,,,,,,,,,,,"馬連:11,360円 ワイド:05-15=2,440円 13-15=1,080円 05-13=460円",,,,,,,,,,,,"馬連:1,200円 ワイド:14-15=540円 13-14=3,090円 13-15=1,450円",,,,,,,,,,,,"馬連:13,920円 ワイド:12-16=4,460円 15-16=840円 12-15=2,420円",,,,,,,,,,,
"馬単:4,180円 3連複:5,050円 3連単:28,630円",,,,,,,,,,,,"馬単:34,980円 3連複:7,360円 3連単:96,210円",,,,,,,,,,,,"馬単:3,030円 3連複:9,950円 3連単:53,930円",,,,,,,,,,,,"馬単:23,180円 3連複:18,320円 3連単:147,160円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
